index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,AyEjWQJcWU4,Bill Ackman - The Next Warren Buffett | Full Documentary,https://www.youtube.com/watch?v=AyEjWQJcWU4,33:24,Bill Ackman - The Next Warren Buffett - Full Documentary.md,27240,NotebookLM YouTube transcript import,
2,notebooklm_import_error,y1PYvaCa2o4,Untitled,https://www.youtube.com/watch?v=y1PYvaCa2o4,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
3,saved,CLjKP1v2Rwk,Bill Ackman Full Exclusive Interview on Charlie Rose About Investing & Carl Icahn,https://www.youtube.com/watch?v=CLjKP1v2Rwk,32:41,Bill Ackman Full Exclusive Interview on Charlie Rose About Investing & Carl Icahn.md,38655,NotebookLM YouTube transcript import,
4,saved,_wT1lXWtCqE,Bill Ackman (CNBC FULL VIDEO): PSTH SPAC merger failure with Universal Music Group,https://www.youtube.com/watch?v=_wT1lXWtCqE,26:27,Bill Ackman (CNBC FULL VIDEO)- PSTH SPAC merger failure with Universal Music Group.md,28979,NotebookLM YouTube transcript import,
5,saved,mU0DrHB6u9s,"William A. Ackman, CEO and Portfolio Manager of Pershing Square Capital Management L.P.",https://www.youtube.com/watch?v=mU0DrHB6u9s,1:02:39,"William A. Ackman, CEO and Portfolio Manager of Pershing Square Capital Management L.P.md",58167,NotebookLM YouTube transcript import,
6,saved,1qhaTir8hRQ,DealBook 2016: The Long and Short of Activist Investing,https://www.youtube.com/watch?v=1qhaTir8hRQ,34:03,DealBook 2016- The Long and Short of Activist Investing.md,38264,NotebookLM YouTube transcript import,
7,saved,FHgLzkJYsMY,Bill Ackman on Why Board Change at Target is Needed (Part 1 of 3),https://www.youtube.com/watch?v=FHgLzkJYsMY,9:14,Bill Ackman on Why Board Change at Target is Needed (Part 1 of 3).md,10821,NotebookLM YouTube transcript import,
8,saved,GHK0jChuBHo,Bill Ackman on Why Board Change at Target is Needed (Part 2 of 3),https://www.youtube.com/watch?v=GHK0jChuBHo,9:46,Bill Ackman on Why Board Change at Target is Needed (Part 2 of 3).md,11847,NotebookLM YouTube transcript import,
9,saved,dvj_Lpz7YSA,Bill Ackman on the Nominees for Shareholder Choice (Part 3 of 3),https://www.youtube.com/watch?v=dvj_Lpz7YSA,4:17,Bill Ackman on the Nominees for Shareholder Choice (Part 3 of 3).md,20259,NotebookLM YouTube transcript import,
10,saved,9VIotHrGANc,Bill Ackman on Kraft-Cadbury Deal Part 2,https://www.youtube.com/watch?v=9VIotHrGANc,9:17,Bill Ackman on Kraft-Cadbury Deal Part 2.md,10385,NotebookLM YouTube transcript import,
11,notebooklm_import_error,AFxCBFfcLKo,Untitled,https://www.youtube.com/watch?v=AFxCBFfcLKo,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
12,saved,yWv210QWOFE,Pershing Square's Bill Ackman Says Benefits of Oil Price Drop Outweigh Costs,https://www.youtube.com/watch?v=yWv210QWOFE,17:04,Pershing Square's Bill Ackman Says Benefits of Oil Price Drop Outweigh Costs.md,20165,NotebookLM YouTube transcript import,
13,saved,8cNNCx-i7AQ,"Bill Ackman on China's economy, U.S. minimum wage",https://www.youtube.com/watch?v=8cNNCx-i7AQ,9:21,"Bill Ackman on China's economy, U.S. minimum wage.md",10501,NotebookLM YouTube transcript import,
14,saved,rJFNMlXOCaQ,Bill Ackman: 2017 Sohn Investment Conference (full version),https://www.youtube.com/watch?v=rJFNMlXOCaQ,18:04,Bill Ackman- 2017 Sohn Investment Conference (full version).md,20250,NotebookLM YouTube transcript import,
15,saved,cr8_xYvXQDk,Bill Ackman Interview On Donald Trump And Handling Mistakes Bill Ackman Interview,https://www.youtube.com/watch?v=cr8_xYvXQDk,34:34,Bill Ackman Interview On Donald Trump And Handling Mistakes Bill Ackman Interview.md,37265,NotebookLM YouTube transcript import,
16,notebooklm_import_error,uwo72TilumU,Untitled,https://www.youtube.com/watch?v=uwo72TilumU,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
17,notebooklm_import_error,ZMlpPl-DaNM,Untitled,https://www.youtube.com/watch?v=ZMlpPl-DaNM,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
18,saved,TGatQk1JSas,Pershing Square’s Bill Ackman: Battling Complacency? | Mad Money | CNBC,https://www.youtube.com/watch?v=TGatQk1JSas,11:55,Pershing Square’s Bill Ackman- Battling Complacency- - Mad Money - CNBC.md,14587,NotebookLM YouTube transcript import,
