index,video_id,title,url,duration,upload_date
1,AyEjWQJcWU4,Bill Ackman - The Next Warren Buffett | Full Documentary,https://www.youtube.com/watch?v=AyEjWQJcWU4,33:24,
2,y1PYvaCa2o4,Untitled,https://www.youtube.com/watch?v=y1PYvaCa2o4,,
3,CLjKP1v2Rwk,Bill Ackman Full Exclusive Interview on Charlie Rose About Investing & Carl Icahn,https://www.youtube.com/watch?v=CLjKP1v2Rwk,32:41,
4,_wT1lXWtCqE,Bill Ackman (CNBC FULL VIDEO): PSTH SPAC merger failure with Universal Music Group,https://www.youtube.com/watch?v=_wT1lXWtCqE,26:27,
5,mU0DrHB6u9s,"William A. Ackman, CEO and Portfolio Manager of Pershing Square Capital Management L.P.",https://www.youtube.com/watch?v=mU0DrHB6u9s,1:02:39,
6,1qhaTir8hRQ,DealBook 2016: The Long and Short of Activist Investing,https://www.youtube.com/watch?v=1qhaTir8hRQ,34:03,
7,FHgLzkJYsMY,Bill Ackman on Why Board Change at Target is Needed (Part 1 of 3),https://www.youtube.com/watch?v=FHgLzkJYsMY,9:14,
8,GHK0jChuBHo,Bill Ackman on Why Board Change at Target is Needed (Part 2 of 3),https://www.youtube.com/watch?v=GHK0jChuBHo,9:46,
9,dvj_Lpz7YSA,Bill Ackman on the Nominees for Shareholder Choice (Part 3 of 3),https://www.youtube.com/watch?v=dvj_Lpz7YSA,4:17,
10,9VIotHrGANc,Bill Ackman on Kraft-Cadbury Deal Part 2,https://www.youtube.com/watch?v=9VIotHrGANc,9:17,
11,AFxCBFfcLKo,Untitled,https://www.youtube.com/watch?v=AFxCBFfcLKo,,
12,yWv210QWOFE,Pershing Square's Bill Ackman Says Benefits of Oil Price Drop Outweigh Costs,https://www.youtube.com/watch?v=yWv210QWOFE,17:04,
13,8cNNCx-i7AQ,"Bill Ackman on China's economy, U.S. minimum wage",https://www.youtube.com/watch?v=8cNNCx-i7AQ,9:21,
14,rJFNMlXOCaQ,Bill Ackman: 2017 Sohn Investment Conference (full version),https://www.youtube.com/watch?v=rJFNMlXOCaQ,18:04,
15,cr8_xYvXQDk,Bill Ackman Interview On Donald Trump And Handling Mistakes Bill Ackman Interview,https://www.youtube.com/watch?v=cr8_xYvXQDk,34:34,
16,uwo72TilumU,Untitled,https://www.youtube.com/watch?v=uwo72TilumU,,
17,ZMlpPl-DaNM,Untitled,https://www.youtube.com/watch?v=ZMlpPl-DaNM,,
18,TGatQk1JSas,Pershing Square’s Bill Ackman: Battling Complacency? | Mad Money | CNBC,https://www.youtube.com/watch?v=TGatQk1JSas,11:55,
19,582U-WBwMBc,Bill Ackman on His Fight for ADP Board Seats,https://www.youtube.com/watch?v=582U-WBwMBc,17:10,
20,mRNGRS5dVO8,Bill Ackman Reacts to Losing Bid for ADP Board Seats,https://www.youtube.com/watch?v=mRNGRS5dVO8,13:08,
21,G2m76UH_cGY,Most Heated Exchanges: Hedge Fund Giant Bill Ackman And Investor Carl Icahn Square Off | CNBC,https://www.youtube.com/watch?v=G2m76UH_cGY,3:49,
22,kHcK53XM4pk,Clash Of Titans: Carl Icahn Vs. Bill Ackman Five Years After Epic Showdown | CNBC,https://www.youtube.com/watch?v=kHcK53XM4pk,6:10,
23,U3cf5NAgKC0,Bill Ackman & Bethany McLean on Charlie Rose (2015),https://www.youtube.com/watch?v=U3cf5NAgKC0,32:39,
24,oSsxCsDiqKE,Bill Ackman & Nelson Peltz full Interview on CNBC (2015),https://www.youtube.com/watch?v=oSsxCsDiqKE,28:31,
25,ZHQhXedaPl4,Bill Ackman: Free Cashflow is All You Should Care About,https://www.youtube.com/watch?v=ZHQhXedaPl4,4:12,
26,mf0fDXVek8U,Untitled,https://www.youtube.com/watch?v=mf0fDXVek8U,,
27,FItEjc6VtuU,Bill Ackman's plea to President Donald Trump to save U.S. from coronavirus' economic destruction,https://www.youtube.com/watch?v=FItEjc6VtuU,13:07,
