index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,Mg7PC6LforY,Carl Icahn - The Most Feared Man on Wall Street!,https://www.youtube.com/watch?v=Mg7PC6LforY,23:14,Carl Icahn - The Most Feared Man on Wall Street!.md,19089,NotebookLM YouTube transcript import,
2,saved,l9nc4DvD-0U,Carl Icahn billionaire investor case study,https://www.youtube.com/watch?v=l9nc4DvD-0U,16:57,Carl Icahn billionaire investor case study.md,19080,NotebookLM YouTube transcript import,
3,saved,QTgFi62FJ4k,"On Investing, Markets and his Life | Carl Icahn",https://www.youtube.com/watch?v=QTgFi62FJ4k,48:14,"On Investing, Markets and his Life - Carl Icahn.md",47918,NotebookLM YouTube transcript import,
4,saved,GsN0WVLjpcs,DealBook Conference 2015 - Activist Investing,https://www.youtube.com/watch?v=GsN0WVLjpcs,40:43,DealBook Conference 2015 - Activist Investing.md,40591,NotebookLM YouTube transcript import,
5,saved,02xY5M8v5jo,Carl Icahn: The Icahn Lift Documentary with 60 Minutes,https://www.youtube.com/watch?v=02xY5M8v5jo,13:31,Carl Icahn- The Icahn Lift Documentary with 60 Minutes.md,12387,NotebookLM YouTube transcript import,
6,saved,tDH4Yeq6rHc,Carl Icahn Short Documentary On 60 Minutes,https://www.youtube.com/watch?v=tDH4Yeq6rHc,22:31,Carl Icahn Short Documentary On 60 Minutes.md,20673,NotebookLM YouTube transcript import,
7,saved,NQB8esGy9nM,Fast 15: Carl Icahn breaks down his latest investments,https://www.youtube.com/watch?v=NQB8esGy9nM,12:54,Fast 15- Carl Icahn breaks down his latest investments.md,11948,NotebookLM YouTube transcript import,
8,saved,ZR_P3Gi3CiM,"Icahn on Renewables Investing, Cryptocurrencies, Allstate",https://www.youtube.com/watch?v=ZR_P3Gi3CiM,35:36,"Icahn on Renewables Investing, Cryptocurrencies, Allstate.md",33709,NotebookLM YouTube transcript import,
9,saved,wiQWqzWQEpc,Full interview with Carl Icahn,https://www.youtube.com/watch?v=wiQWqzWQEpc,32:05,Full interview with Carl Icahn.md,28933,NotebookLM YouTube transcript import,
10,notebooklm_import_error,y1PYvaCa2o4,[Private video],https://www.youtube.com/watch?v=y1PYvaCa2o4,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
11,saved,eWT-OG1sUy8,"Carl Icahn Talks Trump, EPA Rules, Asset Markets and AIG",https://www.youtube.com/watch?v=eWT-OG1sUy8,40:14,"Carl Icahn Talks Trump, EPA Rules, Asset Markets and AIG.md",39042,NotebookLM YouTube transcript import,
12,saved,_AAM1P-kqFs,"Carl Icahn Takes On Apple, Tim Cook | CNBC",https://www.youtube.com/watch?v=_AAM1P-kqFs,33:02,"Carl Icahn Takes On Apple, Tim Cook - CNBC.md",29578,NotebookLM YouTube transcript import,
13,saved,WSatPoD2W-o,"Carl Icahn: ""I Fired 12 Floors of People""",https://www.youtube.com/watch?v=WSatPoD2W-o,8:35,Carl Icahn- -I Fired 12 Floors of People-.md,9263,NotebookLM YouTube transcript import,
14,saved,e-jAa1fKV1w,Carl Icahn On His Latest Investments | CNBC,https://www.youtube.com/watch?v=e-jAa1fKV1w,26:31,Carl Icahn On His Latest Investments - CNBC.md,21683,NotebookLM YouTube transcript import,
15,saved,w7LHY6-i22s,Carl Icahn's First Ever Interview | 1985,https://www.youtube.com/watch?v=w7LHY6-i22s,14:58,Carl Icahn's First Ever Interview - 1985.md,1229,NotebookLM YouTube transcript import,
16,saved,HlfgQ4_7EYA,15. Guest Lecture by Carl Icahn,https://www.youtube.com/watch?v=HlfgQ4_7EYA,42:23,15. Guest Lecture by Carl Icahn.md,34476,NotebookLM YouTube transcript import,
17,saved,4yWT-R676fo,Carl Icahn 80s rare interview,https://www.youtube.com/watch?v=4yWT-R676fo,35:19,Carl Icahn 80s rare interview.md,34766,NotebookLM YouTube transcript import,
18,saved,q5oLUDGyHxI,"Carl Icahn On Bill Ackman Pulling Out Of His Position In Herbalife, President Donald Trump | CNBC",https://www.youtube.com/watch?v=q5oLUDGyHxI,25:05,"Carl Icahn On Bill Ackman Pulling Out Of His Position In Herbalife, President Donald Trump - CNBC.md",22458,NotebookLM YouTube transcript import,
19,notebooklm_import_error,FcWg4897yIM,[Private video],https://www.youtube.com/watch?v=FcWg4897yIM,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
20,saved,n2wW8DvPGto,"T. Boone Pickens talks Energy, Security and Shop with Carl Icahn",https://www.youtube.com/watch?v=n2wW8DvPGto,24:34,"T. Boone Pickens talks Energy, Security and Shop with Carl Icahn.md",22769,NotebookLM YouTube transcript import,
21,notebooklm_import_error,Xpj1YDUKxyE,"Billionaire Carl Icahn on Investments, CMBX 6 Short, Oil Buy",https://www.youtube.com/watch?v=Xpj1YDUKxyE,23:12,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
22,saved,9FrFbpJ8BQw,Watch CNBC's full interview with billionaire activist investor Carl Icahn,https://www.youtube.com/watch?v=9FrFbpJ8BQw,23:03,Watch CNBC's full interview with billionaire activist investor Carl Icahn.md,20354,NotebookLM YouTube transcript import,
23,notebooklm_import_error,tA1EbehbXaY,"Carl Icahn Role Shows Common Thread In Scott Pruitt Ethics, Policy Scandals | Rachel Maddow | MSNBC",https://www.youtube.com/watch?v=tA1EbehbXaY,22:32,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
24,saved,WJ9XkNqK1bs,Carl Icahn 80s Interview by The MacNeilLehrer NewsHour,https://www.youtube.com/watch?v=WJ9XkNqK1bs,57:54,Carl Icahn 80s Interview by The MacNeilLehrer NewsHour.md,50787,NotebookLM YouTube transcript import,
25,saved,BAMIQVY6GNE,104 TIP: Billionaire Carl Icahn - W/ Mark Stevens,https://www.youtube.com/watch?v=BAMIQVY6GNE,37:32,104 TIP- Billionaire Carl Icahn - W- Mark Stevens.md,36087,NotebookLM YouTube transcript import,
26,saved,LVpoA_Raxrw,Financial Markets by Yale. Week 4. Guest Speaker - Carl Icahn,https://www.youtube.com/watch?v=LVpoA_Raxrw,20:00,Financial Markets by Yale. Week 4. Guest Speaker - Carl Icahn.md,17077,NotebookLM YouTube transcript import,
