index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,HKxLvxqWPz0,Tiger Global's Control,https://www.youtube.com/watch?v=HKxLvxqWPz0,11:48,Tiger Global's Control.md,12763,NotebookLM YouTube transcript import,
2,saved,rky4Nv-yEG4,Chase Coleman: The $10B Tiger King (and his 2021 portfolio),https://www.youtube.com/watch?v=rky4Nv-yEG4,5:03,Chase Coleman- The $10B Tiger King (and his 2021 portfolio).md,5221,NotebookLM YouTube transcript import,
3,saved,_nIM9HMWY7o,#SecretsSelfmadeBillionaires0676 ChaseColeman MostSuccessfulTigerCub 8Lessons,https://www.youtube.com/watch?v=_nIM9HMWY7o,4:24,#SecretsSelfmadeBillionaires0676 ChaseColeman MostSuccessfulTigerCub 8Lessons.md,3457,NotebookLM YouTube transcript import,
4,saved,koDKxjHe_Kk,"How Tiger Global is outpacing VC with fast, cheap capital ft. Founders Fund’s Everett Randle | E1207",https://www.youtube.com/watch?v=koDKxjHe_Kk,52:46,"How Tiger Global is outpacing VC with fast, cheap capital ft. Founders Fund’s Everett Randle - E1207.md",57004,NotebookLM YouTube transcript import,
5,saved,IBCsQvF-AZY,What type of fund is Tiger Global? Why are they going upstream into VC? | This Week in Startups,https://www.youtube.com/watch?v=IBCsQvF-AZY,9:33,What type of fund is Tiger Global- Why are they going upstream into VC- - This Week in Startups.md,10386,NotebookLM YouTube transcript import,
6,saved,Rm4LxOEXg8s,Chase Coleman III's wife gushed about wealth in 2003 doc 'Born Rich',https://www.youtube.com/watch?v=Rm4LxOEXg8s,8:22,Chase Coleman III's wife gushed about wealth in 2003 doc 'Born Rich'.md,7626,NotebookLM YouTube transcript import,
7,saved,lN-fAO23isc,How Billionaire Chase Coleman Invests His Money In 2021 (PortfolioInsider.com),https://www.youtube.com/watch?v=lN-fAO23isc,8:00,How Billionaire Chase Coleman Invests His Money In 2021 (PortfolioInsider.com).md,6682,NotebookLM YouTube transcript import,
8,notebooklm_import_error,yszeG_wcfro,This Credit Hedge Fund Takes a Cue From Tiger Global,https://www.youtube.com/watch?v=yszeG_wcfro,5:04,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
9,saved,yY9jSkTVrNg,Meet the Tiger Cub Who Amassed a $4.6 Billion Fortune,https://www.youtube.com/watch?v=yY9jSkTVrNg,1:45,Meet the Tiger Cub Who Amassed a $4.6 Billion Fortune.md,2554,NotebookLM YouTube transcript import,
10,saved,BxlE8wzwXoI,Tiger Global's short selling explained,https://www.youtube.com/watch?v=BxlE8wzwXoI,2:56,Tiger Global's short selling explained.md,2811,NotebookLM YouTube transcript import,
11,saved,6TEnurNnQaY,"Chase Coleman: Billionaire's Investment Portfolio REVEALED | JD.com, FB, SunRun, MSFT, Crowdstrike",https://www.youtube.com/watch?v=6TEnurNnQaY,13:03,"Chase Coleman- Billionaire's Investment Portfolio REVEALED - JD.com, FB, SunRun, MSFT, Crowdstrike.md",13999,NotebookLM YouTube transcript import,
