index,video_id,title,url,duration,upload_date
1,HKxLvxqWPz0,Tiger Global's Control,https://www.youtube.com/watch?v=HKxLvxqWPz0,11:48,
2,rky4Nv-yEG4,Chase Coleman: The $10B Tiger King (and his 2021 portfolio),https://www.youtube.com/watch?v=rky4Nv-yEG4,5:03,
3,_nIM9HMWY7o,#SecretsSelfmadeBillionaires0676 ChaseColeman MostSuccessfulTigerCub 8Lessons,https://www.youtube.com/watch?v=_nIM9HMWY7o,4:24,
4,koDKxjHe_Kk,"How Tiger Global is outpacing VC with fast, cheap capital ft. Founders Fund’s Everett Randle | E1207",https://www.youtube.com/watch?v=koDKxjHe_Kk,52:46,
5,IBCsQvF-AZY,What type of fund is Tiger Global? Why are they going upstream into VC? | This Week in Startups,https://www.youtube.com/watch?v=IBCsQvF-AZY,9:33,
6,Rm4LxOEXg8s,Chase Coleman III's wife gushed about wealth in 2003 doc 'Born Rich',https://www.youtube.com/watch?v=Rm4LxOEXg8s,8:22,
7,lN-fAO23isc,How Billionaire Chase Coleman Invests His Money In 2021 (PortfolioInsider.com),https://www.youtube.com/watch?v=lN-fAO23isc,8:00,
8,yszeG_wcfro,This Credit Hedge Fund Takes a Cue From Tiger Global,https://www.youtube.com/watch?v=yszeG_wcfro,5:04,
9,yY9jSkTVrNg,Meet the Tiger Cub Who Amassed a $4.6 Billion Fortune,https://www.youtube.com/watch?v=yY9jSkTVrNg,1:45,
10,BxlE8wzwXoI,Tiger Global's short selling explained,https://www.youtube.com/watch?v=BxlE8wzwXoI,2:56,
11,6TEnurNnQaY,"Chase Coleman: Billionaire's Investment Portfolio REVEALED | JD.com, FB, SunRun, MSFT, Crowdstrike",https://www.youtube.com/watch?v=6TEnurNnQaY,13:03,
