index,status,video_id,title,url,duration,output_file,transcript_chars
1,saved,fIFLGyjzIDA,The Hard Truths of a 50 Year Trading Career · Peter Robbins,https://www.youtube.com/watch?v=fIFLGyjzIDA,57:58,Source_data/transcript/chat_with_traders_notebooklm_transcripts/The Hard Truths of a 50 Year Trading Career · Peter Robbins.md,59203
2,saved,vP6GK_HsnDM,Starbucks Barista to 8-figure Short Selling Strategy · Alex Temiz,https://www.youtube.com/watch?v=vP6GK_HsnDM,1:01:55,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Starbucks Barista to 8-figure Short Selling Strategy · Alex Temiz.md,61044
3,saved,AIcm2ZqhVqk,What 43 Years in the Markets Teaches You · Stephen Kalayjian,https://www.youtube.com/watch?v=AIcm2ZqhVqk,1:05:57,Source_data/transcript/chat_with_traders_notebooklm_transcripts/What 43 Years in the Markets Teaches You · Stephen Kalayjian.md,55483
4,saved,KuGCeyZQhbQ,"$1,900 Small Cap Trader Hit $2.9 Mil in Profits · Eduardo Briceño",https://www.youtube.com/watch?v=KuGCeyZQhbQ,1:41:18,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/$1,900 Small Cap Trader Hit $2.9 Mil in Profits · Eduardo Briceño.md",78210
5,saved,HvRI_lOZvJw,Sports Betting and Prediction Markets—Through a Trading Lens · Stefan Stadie,https://www.youtube.com/watch?v=HvRI_lOZvJw,1:14:19,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Sports Betting and Prediction Markets—Through a Trading Lens · Stefan Stadie.md,66882
6,saved,Q7iodaNi46Q,From the Copper Pits to Crypto Derivatives: How Trading Edge Evolves · Sam Gaer,https://www.youtube.com/watch?v=Q7iodaNi46Q,1:01:08,Source_data/transcript/chat_with_traders_notebooklm_transcripts/From the Copper Pits to Crypto Derivatives- How Trading Edge Evolves · Sam Gaer.md,54295
7,saved,Z11E6Rl5OdY,The Shift to Systematic Trading — Building Backtested Confidence · Dave Mabe,https://www.youtube.com/watch?v=Z11E6Rl5OdY,53:42,Source_data/transcript/chat_with_traders_notebooklm_transcripts/The Shift to Systematic Trading — Building Backtested Confidence · Dave Mabe.md,49528
8,saved,D8XmqDvy9ZA,The One That Shows Up — The Identity You Practice · John Assaraf,https://www.youtube.com/watch?v=D8XmqDvy9ZA,58:01,Source_data/transcript/chat_with_traders_notebooklm_transcripts/The One That Shows Up — The Identity You Practice · John Assaraf.md,49011
9,saved,sRE0YIh6Pxs,Chat With Traders Episode 316 The Turning Points that Shaped Great Traders,https://www.youtube.com/watch?v=sRE0YIh6Pxs,21:55,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Chat With Traders Episode 316 The Turning Points that Shaped Great Traders.md,18622
10,saved,KvP_u-ytSH0,"From Early Crypto to 0DTE Options: Fast Money, Fast Reality · Jamaal Ghauri",https://www.youtube.com/watch?v=KvP_u-ytSH0,56:46,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/From Early Crypto to 0DTE Options- Fast Money, Fast Reality · Jamaal Ghauri.md",52868
11,saved,4L8INtjKnFo,In the Middle: The Demons We Trade With,https://www.youtube.com/watch?v=4L8INtjKnFo,6:14,Source_data/transcript/chat_with_traders_notebooklm_transcripts/In the Middle- The Demons We Trade With.md,4758
12,saved,dU5652qz70c,"Liquidations, Leverage, and Market Structure Under Stress · Doug Colkitt",https://www.youtube.com/watch?v=dU5652qz70c,1:05:34,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/Liquidations, Leverage, and Market Structure Under Stress · Doug Colkitt.md",66865
13,saved,OUo3tZJUObQ,Battling Irrational Markets · Vincent Bruzzese (aka Hari Seldon of Real Day Trading),https://www.youtube.com/watch?v=OUo3tZJUObQ,1:25:37,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Battling Irrational Markets · Vincent Bruzzese (aka Hari Seldon of Real Day Trading).md,73833
14,saved,ltVYpfNf9jk,The Calm Before the Break · Christian Carreon,https://www.youtube.com/watch?v=ltVYpfNf9jk,1:15:39,Source_data/transcript/chat_with_traders_notebooklm_transcripts/The Calm Before the Break · Christian Carreon.md,66798
15,saved,v-0Hf2hd-qs,Fingerprinting the Big Players: Inside the Hidden Order Flow · Dr. Efrat Levy,https://www.youtube.com/watch?v=v-0Hf2hd-qs,1:32:57,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Fingerprinting the Big Players- Inside the Hidden Order Flow · Dr. Efrat Levy.md,64750
16,saved,D7brUyY3UWA,Winning Through Losing: When 30% Is Enough · Diego Cortes Lopez,https://www.youtube.com/watch?v=D7brUyY3UWA,59:55,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Winning Through Losing- When 30% Is Enough · Diego Cortes Lopez.md,46488
17,saved,-yYc3lI_N4M,"Market Wizards, Measured: Inside the Criteria, Craft, and Grit · Jack Schwager and Emanuel Balarie",https://www.youtube.com/watch?v=-yYc3lI_N4M,55:30,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/Market Wizards, Measured- Inside the Criteria, Craft, and Grit · Jack Schwager and Emanuel Balarie.md",46951
18,saved,KGPoAR8Epg0,The Gamer’s Edge: High-Win Scalping in Pre-Market Madness · Mario Dimitroff,https://www.youtube.com/watch?v=KGPoAR8Epg0,1:11:29,Source_data/transcript/chat_with_traders_notebooklm_transcripts/The Gamer’s Edge- High-Win Scalping in Pre-Market Madness · Mario Dimitroff.md,70880
19,saved,gFN3HQsNaE0,Prop Goes the Trader · Michael Katz,https://www.youtube.com/watch?v=gFN3HQsNaE0,55:08,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Prop Goes the Trader · Michael Katz.md,43753
20,saved,hWx_d6gAhPQ,"When Story, Fundamentals, and Technicals Align · Julian Komar",https://www.youtube.com/watch?v=hWx_d6gAhPQ,1:26:58,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/When Story, Fundamentals, and Technicals Align · Julian Komar.md",74279
21,saved,WgBFlbLZeeU,"$4.5M | Process, Patience, and Prop Firms · Kyle Ng aka JadeCap",https://www.youtube.com/watch?v=WgBFlbLZeeU,1:16:36,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/$4.5M - Process, Patience, and Prop Firms · Kyle Ng aka JadeCap.md",74870
22,saved,Rmuqqd5bjW8,"From Tick to Trend, Day Trading to Wave Riding · Chris Vermeulen",https://www.youtube.com/watch?v=Rmuqqd5bjW8,1:07:04,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/From Tick to Trend, Day Trading to Wave Riding · Chris Vermeulen.md",68597
23,saved,QA0On_YpJ6E,Go Where Orders Flow · Dylan Maltman,https://www.youtube.com/watch?v=QA0On_YpJ6E,1:10:14,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Go Where Orders Flow · Dylan Maltman.md,68903
24,saved,_KnhYh9lT_Q,Trading Earnings Volatility with Options · Erik Smolinski,https://www.youtube.com/watch?v=_KnhYh9lT_Q,1:21:11,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Trading Earnings Volatility with Options · Erik Smolinski.md,73711
25,saved,RSfMFwHKoZs,We Should Not Die as Traders · Patrick Petersson,https://www.youtube.com/watch?v=RSfMFwHKoZs,1:24:44,Source_data/transcript/chat_with_traders_notebooklm_transcripts/We Should Not Die as Traders · Patrick Petersson.md,68987
26,saved,eGWzfvUFuCc,Intersection of Emotional Intelligence and Tactics · Michael Martin,https://www.youtube.com/watch?v=eGWzfvUFuCc,1:33:05,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Intersection of Emotional Intelligence and Tactics · Michael Martin.md,90773
27,saved,TS6WisXUICg,"The Power in Fixed-Sized, Non-Compounding FX Plays · Christian Mayer",https://www.youtube.com/watch?v=TS6WisXUICg,1:02:34,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/The Power in Fixed-Sized, Non-Compounding FX Plays · Christian Mayer.md",52921
28,saved,0kTkzEoGBKs,"Slow, Medium, and Fast Money Strategies · Cody Yeh",https://www.youtube.com/watch?v=0kTkzEoGBKs,1:08:36,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/Slow, Medium, and Fast Money Strategies · Cody Yeh.md",64790
29,saved,eNc9KLWbTSM,Trade Like You: Why Playing to Your Strengths Works Better · Dr. Brett Steenbarger,https://www.youtube.com/watch?v=eNc9KLWbTSM,1:03:44,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Trade Like You- Why Playing to Your Strengths Works Better · Dr. Brett Steenbarger.md,47626
30,saved,CpWJ2Zn2GvM,"Animal Speed, Size, and Being Right at the Right Time · Steve Ruffley",https://www.youtube.com/watch?v=CpWJ2Zn2GvM,1:08:25,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/Animal Speed, Size, and Being Right at the Right Time · Steve Ruffley.md",72823
31,saved,28LOSLtoJdA,Stock Leaders and Timeless Strategies Still Effective Today · Ross Haber,https://www.youtube.com/watch?v=28LOSLtoJdA,1:12:52,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Stock Leaders and Timeless Strategies Still Effective Today · Ross Haber.md,67991
32,saved,HOYS3rdl1C8,The Art of the Wait: Merger-Arbitrage Killer Moves · Rick Bandazian Jr.,https://www.youtube.com/watch?v=HOYS3rdl1C8,1:02:43,Source_data/transcript/chat_with_traders_notebooklm_transcripts/The Art of the Wait- Merger-Arbitrage Killer Moves · Rick Bandazian Jr.md,56685
33,missing,eQGfCT6-lxs,Running 55+ Systematic Trading Strategies Simultaneously · Laurens Bensdorp,https://www.youtube.com/watch?v=eQGfCT6-lxs,55:56,,
34,saved,ZCmCoYRJwi0,Small Cap Quant Trader Grows $10K into $3.8M in 3 Years · Sam Miesse,https://www.youtube.com/watch?v=ZCmCoYRJwi0,1:06:04,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Small Cap Quant Trader Grows $10K into $3.8M in 3 Years · Sam Miesse.md,58920
35,saved,MtI1PThXoaU,"Price-Action, Swing Trading Equities from the Long Side · Mark Ritchie II",https://www.youtube.com/watch?v=MtI1PThXoaU,54:18,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/Price-Action, Swing Trading Equities from the Long Side · Mark Ritchie II.md",50640
36,saved,z38idGR5D1g,Beyond Being Right - A Shift to Framework Thinking · Alfonso Peccatiello (MacroAlf),https://www.youtube.com/watch?v=z38idGR5D1g,1:02:45,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Beyond Being Right - A Shift to Framework Thinking · Alfonso Peccatiello (MacroAlf).md,58364
37,saved,P8QJMz4fBSY,"When Confluences Align, Confidence Follows · Steve B",https://www.youtube.com/watch?v=P8QJMz4fBSY,1:03:33,"Source_data/transcript/chat_with_traders_notebooklm_transcripts/When Confluences Align, Confidence Follows · Steve B.md",66752
38,saved,phVGWccsGPk,Consistency Beats Intelligence Every Time · Robb Reinhold,https://www.youtube.com/watch?v=phVGWccsGPk,1:04:19,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Consistency Beats Intelligence Every Time · Robb Reinhold.md,55537
39,saved,s1T_anYeGUk,Overcrowded Trades: What Everyone Else is Not Seeing · Jason Shapiro,https://www.youtube.com/watch?v=s1T_anYeGUk,56:51,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Overcrowded Trades- What Everyone Else is Not Seeing · Jason Shapiro.md,52067
40,saved,bevoC3cwDpQ,Cashing in Through Exploiting Volatility · Greg Magadini,https://www.youtube.com/watch?v=bevoC3cwDpQ,1:16:48,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Cashing in Through Exploiting Volatility · Greg Magadini.md,72612
41,saved,CjfKFkyma98,GME: Uncovering the Complexity & Opportunity | Erik Smolinski,https://www.youtube.com/watch?v=CjfKFkyma98,1:08:38,Source_data/transcript/chat_with_traders_notebooklm_transcripts/GME- Uncovering the Complexity & Opportunity - Erik Smolinski.md,64206
42,saved,ymc6ZsywOvk,Rising Above a Trader’s Inner Turbulence · Sam Daghash,https://www.youtube.com/watch?v=ymc6ZsywOvk,1:17:28,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Rising Above a Trader’s Inner Turbulence · Sam Daghash.md,77158
43,saved,rcIC_VjprQ0,Trading Football Dreams for Stock Market Touchdowns,https://www.youtube.com/watch?v=rcIC_VjprQ0,53:43,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Trading Football Dreams for Stock Market Touchdowns.md,40025
44,saved,gK8fS36VRtM,Staying Selective and Being Adaptable in the Trading Landscape · Tony Greer,https://www.youtube.com/watch?v=gK8fS36VRtM,1:11:31,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Staying Selective and Being Adaptable in the Trading Landscape · Tony Greer.md,68312
45,saved,VQEOgOVZhSA,Navigating the Crops and Grain Futures Market w/ Trent Klarenbach | CWT Community Interview,https://www.youtube.com/watch?v=VQEOgOVZhSA,46:51,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Navigating the Crops and Grain Futures Market w- Trent Klarenbach - CWT Community Interview.md,39708
46,saved,vhx3yeFBlNA,The Purely Systematic Wizard Trader · Marsten Parker,https://www.youtube.com/watch?v=vhx3yeFBlNA,1:04:43,Source_data/transcript/chat_with_traders_notebooklm_transcripts/The Purely Systematic Wizard Trader · Marsten Parker.md,59535
47,saved,eyd3WqevVBQ,Trading Strategies in the U.S. Election Cycle Year w/ Robert Miner | CWT Community Discussion,https://www.youtube.com/watch?v=eyd3WqevVBQ,44:27,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Trading Strategies in the U.S. Election Cycle Year w- Robert Miner - CWT Community Discussion.md,34814
48,saved,kfRlBPKvJlg,Decoding the Drivers of Inflation and Markets · Steve Hanke,https://www.youtube.com/watch?v=kfRlBPKvJlg,1:12:19,Source_data/transcript/chat_with_traders_notebooklm_transcripts/Decoding the Drivers of Inflation and Markets · Steve Hanke.md,55922
49,saved,FH4XY12cSek,(Part 2) - Options Trading for Stock Traders w/ Erik Smolinski | CWT Community Discussion,https://www.youtube.com/watch?v=FH4XY12cSek,1:20:45,Source_data/transcript/chat_with_traders_notebooklm_transcripts/(Part 2) - Options Trading for Stock Traders w- Erik Smolinski - CWT Community Discussion.md,69826
