index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,5daXfre6sxE,How to Start a Hedge Fund - A CEO's Guide,https://www.youtube.com/watch?v=5daXfre6sxE,19:54,How to Start a Hedge Fund - A CEO's Guide.md,20886,NotebookLM YouTube transcript import,
2,saved,5daXfre6sxE,How to Start a Hedge Fund - A CEO's Guide,https://www.youtube.com/watch?v=5daXfre6sxE,19:54,How to Start a Hedge Fund - A CEO's Guide.md,20886,NotebookLM YouTube transcript import,
3,saved,VF4FaGZQpBM,"M&P Ep. 168: Christina Qi, Founder & CEO of Databento",https://www.youtube.com/watch?v=VF4FaGZQpBM,31:06,"M&P Ep. 168- Christina Qi, Founder & CEO of Databento.md",36372,NotebookLM YouTube transcript import,
4,saved,JEE9ffnUz6w,Recent Trends in High Frequency Trading (Christina Qi),https://www.youtube.com/watch?v=JEE9ffnUz6w,37:37,Recent Trends in High Frequency Trading (Christina Qi).md,40035,NotebookLM YouTube transcript import,
5,saved,5ChurodcmsQ,Starting a Hedge Fund in MIT Dorm -Domeyard Founder Christina Qi,https://www.youtube.com/watch?v=5ChurodcmsQ,29:28,Starting a Hedge Fund in MIT Dorm -Domeyard Founder Christina Qi.md,28497,NotebookLM YouTube transcript import,
6,notebooklm_import_error,eBZT49nTSGE,[Deleted video],https://www.youtube.com/watch?v=eBZT49nTSGE,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
7,saved,qUA0N77mXhY,"Dorm Room Start-Up Defies Odds, Rises as Large-Scale Quant Fund · Christina Qi",https://www.youtube.com/watch?v=qUA0N77mXhY,1:04:27,"Dorm Room Start-Up Defies Odds, Rises as Large-Scale Quant Fund · Christina Qi.md",66509,NotebookLM YouTube transcript import,
8,notebooklm_import_error,IHKBwLo_bWE,2018 FMC/Christina Qi Interview,https://www.youtube.com/watch?v=IHKBwLo_bWE,5:52,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
9,saved,z6InJUbGOUQ,"Big Data Fireside Chat: Christina Qi, Ceo of Databento",https://www.youtube.com/watch?v=z6InJUbGOUQ,57:45,"Big Data Fireside Chat- Christina Qi, Ceo of Databento.md",69004,NotebookLM YouTube transcript import,
10,saved,dk9fVo2bTbg,"Women in FinTech: Spotlight on Christina Qi, Domeyard",https://www.youtube.com/watch?v=dk9fVo2bTbg,16:53,"Women in FinTech- Spotlight on Christina Qi, Domeyard.md",18849,NotebookLM YouTube transcript import,
11,saved,Py1ciFsxwiI,"Christina Qi at BDF 2015 | ""Fast and Smart: A Paradox in Quantitative Trading""",https://www.youtube.com/watch?v=Py1ciFsxwiI,25:51,Christina Qi at BDF 2015 - -Fast and Smart- A Paradox in Quantitative Trading-.md,24383,NotebookLM YouTube transcript import,
12,saved,JWndj1N3FJc,LIVE from CAIS20 Studio: Christina Qi,https://www.youtube.com/watch?v=JWndj1N3FJc,7:30,LIVE from CAIS20 Studio- Christina Qi.md,8641,NotebookLM YouTube transcript import,
13,saved,qxWObfV0IZM,Domeyard  2   Eliminating Luck from Making Good Trades,https://www.youtube.com/watch?v=qxWObfV0IZM,4:38,Domeyard 2 Eliminating Luck from Making Good Trades.md,5060,NotebookLM YouTube transcript import,
14,saved,p86gdKRULLA,Christina Qi // Ep 4 // From Dorm Room Project to Hedge Fund Trading Up to $7.1B USD Daily,https://www.youtube.com/watch?v=p86gdKRULLA,1:00:45,Christina Qi -- Ep 4 -- From Dorm Room Project to Hedge Fund Trading Up to $7.1B USD Daily.md,67529,NotebookLM YouTube transcript import,
15,saved,X3VjWWYbvWs,CAIS19: Christine Qi sets the record straight on high frequency trading,https://www.youtube.com/watch?v=X3VjWWYbvWs,7:40,CAIS19- Christine Qi sets the record straight on high frequency trading.md,9403,NotebookLM YouTube transcript import,
16,saved,LXjswzh96Co,"Meet Christina Qi, Co-Founder and Partner of Domeyard LP",https://www.youtube.com/watch?v=LXjswzh96Co,4:40,"Meet Christina Qi, Co-Founder and Partner of Domeyard LP.md",5347,NotebookLM YouTube transcript import,
17,notebooklm_import_error,YJazO3MZbME,"#41 Christina Qi - High Frequency Trading, Hedge Funds, and Women in Finance",https://www.youtube.com/watch?v=YJazO3MZbME,48:41,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
18,saved,ltOB3-MmjwU,Industry Keynote   Christina Qi,https://www.youtube.com/watch?v=ltOB3-MmjwU,8:43,Industry Keynote Christina Qi.md,9206,NotebookLM YouTube transcript import,
19,saved,RamzjPW4iNI,We HEAR Her: I’ve Never Had a Job Working for Someone Else with Christina Qi,https://www.youtube.com/watch?v=RamzjPW4iNI,18:08,We HEAR Her- I’ve Never Had a Job Working for Someone Else with Christina Qi.md,19832,NotebookLM YouTube transcript import,
20,saved,wVKPqezhGXc,Impact with John Shegerian - Christina Qi,https://www.youtube.com/watch?v=wVKPqezhGXc,1:03:32,Impact with John Shegerian - Christina Qi.md,74494,NotebookLM YouTube transcript import,
21,saved,S7yyYP-Whsk,"From Dorm Room to Billion Dollar Hedge Fund: Christina Qi, CEO of Databento, Founder of Domeyard",https://www.youtube.com/watch?v=S7yyYP-Whsk,53:16,"From Dorm Room to Billion Dollar Hedge Fund- Christina Qi, CEO of Databento, Founder of Domeyard.md",59667,NotebookLM YouTube transcript import,
22,saved,Y8TeBjvLWag,"Domeyard Founder Christina Qi on Fundraising, Founding Databento, and Advice to Students",https://www.youtube.com/watch?v=Y8TeBjvLWag,31:53,"Domeyard Founder Christina Qi on Fundraising, Founding Databento, and Advice to Students.md",32455,NotebookLM YouTube transcript import,
23,saved,fjE7FD-pydE,"Podcast with Christina Qi, CEO of Databento",https://www.youtube.com/watch?v=fjE7FD-pydE,0:30,"Podcast with Christina Qi, CEO of Databento.md",889,NotebookLM YouTube transcript import,
24,saved,mWNgPK7LNEI,Domeyard Founder Christina Qi on Her Team and Success as a Female Founder,https://www.youtube.com/watch?v=mWNgPK7LNEI,39:29,Domeyard Founder Christina Qi on Her Team and Success as a Female Founder.md,39886,NotebookLM YouTube transcript import,
25,saved,l_amGMZJb_0,"Meet Databento ceo and Domeyard founding partner, Christina Qi",https://www.youtube.com/watch?v=l_amGMZJb_0,59:49,"Meet Databento ceo and Domeyard founding partner, Christina Qi.md",70420,NotebookLM YouTube transcript import,
26,saved,hMAagKX4f_Y,Nugget of the week - taking charge of your career with Christina Qi from Domeyard,https://www.youtube.com/watch?v=hMAagKX4f_Y,1:01,Nugget of the week - taking charge of your career with Christina Qi from Domeyard.md,1561,NotebookLM YouTube transcript import,
27,saved,AhTI3fiFKAk,"Sloan Alumni Online: Christina Qi, SB '13",https://www.youtube.com/watch?v=AhTI3fiFKAk,59:58,"Sloan Alumni Online- Christina Qi, SB '13.md",60873,NotebookLM YouTube transcript import,
28,saved,fjN7DWNFD4Q,Christina Qi congrats to the...,https://www.youtube.com/watch?v=fjN7DWNFD4Q,5:36,Christina Qi congrats to the.md,5232,NotebookLM YouTube transcript import,
29,saved,Q1V5XmOzM_g,The Algorithmic Hedge Fund,https://www.youtube.com/watch?v=Q1V5XmOzM_g,30:09,The Algorithmic Hedge Fund.md,31229,NotebookLM YouTube transcript import,
30,saved,jaQczDaRVHg,How to Start a Hedge Fund (even if you have NO experience),https://www.youtube.com/watch?v=jaQczDaRVHg,18:57,How to Start a Hedge Fund (even if you have NO experience).md,20316,NotebookLM YouTube transcript import,
31,saved,z-69IsRFqxk,Domeyard's Flat Structure Enables a Technologically Empowered Approach,https://www.youtube.com/watch?v=z-69IsRFqxk,2:01,Domeyard's Flat Structure Enables a Technologically Empowered Approach.md,2007,NotebookLM YouTube transcript import,
32,saved,jmnGlnQDDtg,Eliminating Luck from Making Good Trades,https://www.youtube.com/watch?v=jmnGlnQDDtg,4:47,Eliminating Luck from Making Good Trades.md,4879,NotebookLM YouTube transcript import,
33,saved,rWUfZCo4BdM,Developing a Smarter Low Latency HFT System,https://www.youtube.com/watch?v=rWUfZCo4BdM,3:46,Developing a Smarter Low Latency HFT System.md,3742,NotebookLM YouTube transcript import,
34,saved,gfpSjAbtsAM,ILP Provides Many Opportunities for the Growing Startup,https://www.youtube.com/watch?v=gfpSjAbtsAM,3:39,ILP Provides Many Opportunities for the Growing Startup.md,3628,NotebookLM YouTube transcript import,
35,saved,ZaIbxIxvMyY,Domeyard 1   A Quantitative Approach to High Frequency Trading,https://www.youtube.com/watch?v=ZaIbxIxvMyY,2:47,Domeyard 1 A Quantitative Approach to High Frequency Trading.md,3017,NotebookLM YouTube transcript import,
36,saved,jpvgbAUnVWo,Changing the FinTech Culture One Woman at a Time,https://www.youtube.com/watch?v=jpvgbAUnVWo,1:26,Changing the FinTech Culture One Woman at a Time.md,1210,NotebookLM YouTube transcript import,
