index,video_id,title,url,duration,upload_date
1,5daXfre6sxE,How to Start a Hedge Fund - A CEO's Guide,https://www.youtube.com/watch?v=5daXfre6sxE,19:54,
2,5daXfre6sxE,How to Start a Hedge Fund - A CEO's Guide,https://www.youtube.com/watch?v=5daXfre6sxE,19:54,
3,VF4FaGZQpBM,"M&P Ep. 168: Christina Qi, Founder & CEO of Databento",https://www.youtube.com/watch?v=VF4FaGZQpBM,31:06,
4,JEE9ffnUz6w,Recent Trends in High Frequency Trading (Christina Qi),https://www.youtube.com/watch?v=JEE9ffnUz6w,37:37,
5,5ChurodcmsQ,Starting a Hedge Fund in MIT Dorm -Domeyard Founder Christina Qi,https://www.youtube.com/watch?v=5ChurodcmsQ,29:28,
6,eBZT49nTSGE,[Deleted video],https://www.youtube.com/watch?v=eBZT49nTSGE,,
7,qUA0N77mXhY,"Dorm Room Start-Up Defies Odds, Rises as Large-Scale Quant Fund · Christina Qi",https://www.youtube.com/watch?v=qUA0N77mXhY,1:04:27,
8,IHKBwLo_bWE,2018 FMC/Christina Qi Interview,https://www.youtube.com/watch?v=IHKBwLo_bWE,5:52,
9,z6InJUbGOUQ,"Big Data Fireside Chat: Christina Qi, Ceo of Databento",https://www.youtube.com/watch?v=z6InJUbGOUQ,57:45,
10,dk9fVo2bTbg,"Women in FinTech: Spotlight on Christina Qi, Domeyard",https://www.youtube.com/watch?v=dk9fVo2bTbg,16:53,
11,Py1ciFsxwiI,"Christina Qi at BDF 2015 | ""Fast and Smart: A Paradox in Quantitative Trading""",https://www.youtube.com/watch?v=Py1ciFsxwiI,25:51,
12,JWndj1N3FJc,LIVE from CAIS20 Studio: Christina Qi,https://www.youtube.com/watch?v=JWndj1N3FJc,7:30,
13,qxWObfV0IZM,Domeyard  2   Eliminating Luck from Making Good Trades,https://www.youtube.com/watch?v=qxWObfV0IZM,4:38,
14,p86gdKRULLA,Christina Qi // Ep 4 // From Dorm Room Project to Hedge Fund Trading Up to $7.1B USD Daily,https://www.youtube.com/watch?v=p86gdKRULLA,1:00:45,
15,X3VjWWYbvWs,CAIS19: Christine Qi sets the record straight on high frequency trading,https://www.youtube.com/watch?v=X3VjWWYbvWs,7:40,
16,LXjswzh96Co,"Meet Christina Qi, Co-Founder and Partner of Domeyard LP",https://www.youtube.com/watch?v=LXjswzh96Co,4:40,
17,YJazO3MZbME,"#41 Christina Qi - High Frequency Trading, Hedge Funds, and Women in Finance",https://www.youtube.com/watch?v=YJazO3MZbME,48:41,
18,ltOB3-MmjwU,Industry Keynote   Christina Qi,https://www.youtube.com/watch?v=ltOB3-MmjwU,8:43,
19,RamzjPW4iNI,We HEAR Her: I’ve Never Had a Job Working for Someone Else with Christina Qi,https://www.youtube.com/watch?v=RamzjPW4iNI,18:08,
20,wVKPqezhGXc,Impact with John Shegerian - Christina Qi,https://www.youtube.com/watch?v=wVKPqezhGXc,1:03:32,
21,S7yyYP-Whsk,"From Dorm Room to Billion Dollar Hedge Fund: Christina Qi, CEO of Databento, Founder of Domeyard",https://www.youtube.com/watch?v=S7yyYP-Whsk,53:16,
22,Y8TeBjvLWag,"Domeyard Founder Christina Qi on Fundraising, Founding Databento, and Advice to Students",https://www.youtube.com/watch?v=Y8TeBjvLWag,31:53,
23,fjE7FD-pydE,"Podcast with Christina Qi, CEO of Databento",https://www.youtube.com/watch?v=fjE7FD-pydE,0:30,
24,mWNgPK7LNEI,Domeyard Founder Christina Qi on Her Team and Success as a Female Founder,https://www.youtube.com/watch?v=mWNgPK7LNEI,39:29,
25,l_amGMZJb_0,"Meet Databento ceo and Domeyard founding partner, Christina Qi",https://www.youtube.com/watch?v=l_amGMZJb_0,59:49,
26,hMAagKX4f_Y,Nugget of the week - taking charge of your career with Christina Qi from Domeyard,https://www.youtube.com/watch?v=hMAagKX4f_Y,1:01,
27,AhTI3fiFKAk,"Sloan Alumni Online: Christina Qi, SB '13",https://www.youtube.com/watch?v=AhTI3fiFKAk,59:58,
28,fjN7DWNFD4Q,Christina Qi congrats to the...,https://www.youtube.com/watch?v=fjN7DWNFD4Q,5:36,
29,Q1V5XmOzM_g,The Algorithmic Hedge Fund,https://www.youtube.com/watch?v=Q1V5XmOzM_g,30:09,
30,jaQczDaRVHg,How to Start a Hedge Fund (even if you have NO experience),https://www.youtube.com/watch?v=jaQczDaRVHg,18:57,
31,z-69IsRFqxk,Domeyard's Flat Structure Enables a Technologically Empowered Approach,https://www.youtube.com/watch?v=z-69IsRFqxk,2:01,
32,jmnGlnQDDtg,Eliminating Luck from Making Good Trades,https://www.youtube.com/watch?v=jmnGlnQDDtg,4:47,
33,rWUfZCo4BdM,Developing a Smarter Low Latency HFT System,https://www.youtube.com/watch?v=rWUfZCo4BdM,3:46,
34,gfpSjAbtsAM,ILP Provides Many Opportunities for the Growing Startup,https://www.youtube.com/watch?v=gfpSjAbtsAM,3:39,
35,ZaIbxIxvMyY,Domeyard 1   A Quantitative Approach to High Frequency Trading,https://www.youtube.com/watch?v=ZaIbxIxvMyY,2:47,
36,jpvgbAUnVWo,Changing the FinTech Culture One Woman at a Time,https://www.youtube.com/watch?v=jpvgbAUnVWo,1:26,
37,Hs5unUxIi6Y,Domeyard   5   Domeyard's Flat Structure Enables Stronger Employee Culture,https://www.youtube.com/watch?v=Hs5unUxIi6Y,1:52,
38,3SOcVNQoNUg,Domeyard   4   ILP Provides Many Opportunities for the Growing Startup,https://www.youtube.com/watch?v=3SOcVNQoNUg,3:28,
39,HAiDIooduiM,Domeyard   3   Developing a Smarter Low Latency HFT System,https://www.youtube.com/watch?v=HAiDIooduiM,3:35,
40,waZCWfH7wyQ,Hedge Funds and Data with Christina Qi,https://www.youtube.com/watch?v=waZCWfH7wyQ,44:05,
41,a2KpYxS3K-U,Guest Retro: DomeYard with Christina Qi,https://www.youtube.com/watch?v=a2KpYxS3K-U,1:21:54,
42,5Z8UCIJqjsg,MIT Board Member Christina Qi Databento CEO & Domeyard LP Founder,https://www.youtube.com/watch?v=5Z8UCIJqjsg,25:04,
43,q_C3eSzRPy8,Christina Qi - Innovator Award,https://www.youtube.com/watch?v=q_C3eSzRPy8,3:11,
44,6MG7bhOfyGc,[Private video],https://www.youtube.com/watch?v=6MG7bhOfyGc,,
45,ILgOc-d9y2Y,Humans & Machines: The Next Generation,https://www.youtube.com/watch?v=ILgOc-d9y2Y,6:15,
46,3X_g7plKeeg,"犹他科协小企业课堂第1期：From $0 to $7 billion: Harsh Lessons from the Startup World, by Christina Qi",https://www.youtube.com/watch?v=3X_g7plKeeg,38:13,
47,7XeRwyzQgIQ,Staying Ahead In Todays Market,https://www.youtube.com/watch?v=7XeRwyzQgIQ,31:51,
48,kRJG6P3oPIQ,Lessons Learned from Launching a Hedge Fund,https://www.youtube.com/watch?v=kRJG6P3oPIQ,59:15,
49,sGu92nZoP6k,Why Databento uses a private cloud in data centers instead of a public cloud - Christina Qi CEO,https://www.youtube.com/watch?v=sGu92nZoP6k,23:13,
50,gJ-4ilHMYwE,From MIT College Dorm Room to Billion Dollar Hedge Fund - Christina Xi Domeyard LP Interview,https://www.youtube.com/watch?v=gJ-4ilHMYwE,50:47,
