index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,uK7dETASXsc,Ghost Patterns – D.E. Shaw’s Quant Strategy Explained,https://www.youtube.com/watch?v=uK7dETASXsc,7:41,Ghost Patterns – D.E. Shaw’s Quant Strategy Explained.md,7222,NotebookLM YouTube transcript import,
2,saved,L2hg0ES_Qx0,DeShaw Desis,https://www.youtube.com/watch?v=L2hg0ES_Qx0,5:07,DeShaw Desis.md,3688,NotebookLM YouTube transcript import,
3,saved,vHJcEQSONRk,#SecretSelfmadeBillionaires0306 #DavidShaw #MathGenius #QuantKing #&Research #HedgeFund #StanfordU,https://www.youtube.com/watch?v=vHJcEQSONRk,7:30,#SecretSelfmadeBillionaires0306 #DavidShaw #MathGenius #QuantKing #&Research #HedgeFund #StanfordU.md,6005,NotebookLM YouTube transcript import,
4,saved,z7-eYt3m6-M,Inside quant trading,https://www.youtube.com/watch?v=z7-eYt3m6-M,2:49,Inside quant trading.md,3081,NotebookLM YouTube transcript import,
5,saved,GdlO8MwLGy0,"2016 National Lecturer with David E. Shaw, PhD",https://www.youtube.com/watch?v=GdlO8MwLGy0,3:51,"2016 National Lecturer with David E. Shaw, PhD.md",3938,NotebookLM YouTube transcript import,
6,saved,qE2bFl3um-M,DE Shaw & Co. Recruitment Process,https://www.youtube.com/watch?v=qE2bFl3um-M,4:50,DE Shaw & Co. Recruitment Process.md,5046,NotebookLM YouTube transcript import,
7,saved,7l0cURDYT5s,Zack on Culture & Colleagues (The D. E. Shaw Group),https://www.youtube.com/watch?v=7l0cURDYT5s,1:13,Zack on Culture & Colleagues (The D. E. Shaw Group).md,1294,NotebookLM YouTube transcript import,
8,saved,U7CJqfMGR58,Marianna on Work & Process (The D. E. Shaw Group),https://www.youtube.com/watch?v=U7CJqfMGR58,1:02,Marianna on Work & Process (The D. E. Shaw Group).md,1234,NotebookLM YouTube transcript import,
9,saved,vfG4yzjV5ZQ,"Fireside Chat: Pedro Domingos, Head of Machine Learning, DE Shaw (FirstMark's Data Driven NYC)",https://www.youtube.com/watch?v=vfG4yzjV5ZQ,39:29,"Fireside Chat- Pedro Domingos, Head of Machine Learning, DE Shaw (FirstMark's Data Driven NYC).md",42842,NotebookLM YouTube transcript import,
10,saved,Ve5xdqoh1bs,New Architectures for a New Biology,https://www.youtube.com/watch?v=Ve5xdqoh1bs,1:23:35,New Architectures for a New Biology.md,84034,NotebookLM YouTube transcript import,
11,notebooklm_import_error,nMzRxeSKrvs,David Shaw Talk,https://www.youtube.com/watch?v=nMzRxeSKrvs,1:17:46,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
12,saved,ceQ6Kqz8VoY,Archive: High Speed Protein Simulations with Anton,https://www.youtube.com/watch?v=ceQ6Kqz8VoY,58:29,Archive- High Speed Protein Simulations with Anton.md,56046,NotebookLM YouTube transcript import,
13,saved,PGqCeSjNuTY,Anton: A Special-Purpose Machine That Achieves a Hundred-Fold Speedup in Biomolecular Simulations,https://www.youtube.com/watch?v=PGqCeSjNuTY,1:20:35,Anton- A Special-Purpose Machine That Achieves a Hundred-Fold Speedup in Biomolecular Simulations.md,73958,NotebookLM YouTube transcript import,
14,saved,OK1POuFOH2Y,3D SIG Keynote: Long molecular... - David E. Shaw - Special Interest Groups (SIGs) - ISMB 2016,https://www.youtube.com/watch?v=OK1POuFOH2Y,1:35:37,3D SIG Keynote- Long molecular... - David E. Shaw - Special Interest Groups (SIGs) - ISMB 2016.md,83612,NotebookLM YouTube transcript import,
15,saved,G4czdUqBbRM,NEXTracker & D. E. Shaw Co-Present at Bloomberg New Energy Finance Summit,https://www.youtube.com/watch?v=G4czdUqBbRM,9:06,NEXTracker & D. E. Shaw Co-Present at Bloomberg New Energy Finance Summit.md,8447,NotebookLM YouTube transcript import,
