index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,notebooklm_import_error,SKl5KBIuEpI,Missing Data and Unique Values,https://www.youtube.com/watch?v=SKl5KBIuEpI,12:41,,,,Error: Timed out waiting for imported source or chat summary: Missing Data and Unique Values
2,saved,-PpiojCzfLE,Model Compexity vs Management,https://www.youtube.com/watch?v=-PpiojCzfLE,5:15,Model Compexity vs Management.md,5849,NotebookLM YouTube transcript import,
3,saved,9NhxZpaPPmo,WARNING - Fake AI Textbooks,https://www.youtube.com/watch?v=9NhxZpaPPmo,3:14,WARNING - Fake AI Textbooks.md,3391,NotebookLM YouTube transcript import,
4,saved,qfmXM7P8Q_s,Fancy Quant Honorable Mention 2026,https://www.youtube.com/watch?v=qfmXM7P8Q_s,11:42,Fancy Quant Honorable Mention 2026.md,13361,NotebookLM YouTube transcript import,
5,saved,b3qBCcTSf78,Write a Better Resume with Enhancv,https://www.youtube.com/watch?v=b3qBCcTSf78,7:16,Write a Better Resume with Enhancv.md,8900,NotebookLM YouTube transcript import,
6,saved,K_JRMjEj12w,Current Quant Job Market - 5 Lessons,https://www.youtube.com/watch?v=K_JRMjEj12w,13:17,Current Quant Job Market - 5 Lessons.md,15139,NotebookLM YouTube transcript import,
7,saved,JrirA_qoV4A,How Much to Host a Conference?,https://www.youtube.com/watch?v=JrirA_qoV4A,14:19,How Much to Host a Conference-.md,15151,NotebookLM YouTube transcript import,
8,saved,rP4H3w2MQs4,Ponder Don't Race,https://www.youtube.com/watch?v=rP4H3w2MQs4,4:42,Ponder Don't Race.md,5443,NotebookLM YouTube transcript import,
9,notebooklm_import_error,8_MF7Som5uc,Engineering the Alpha: Standing on the Shoulders of Giants,https://www.youtube.com/watch?v=8_MF7Som5uc,37:42,,,,Error: Timed out waiting for imported source or chat summary: Engineering the Alpha: Standing on the Shoulders of Giants
10,saved,96A5CfhhkMc,Model Usage Complexity and Issues,https://www.youtube.com/watch?v=96A5CfhhkMc,13:04,Model Usage Complexity and Issues.md,14036,NotebookLM YouTube transcript import,
11,saved,1Gu_YcC7Kfs,Which Masters Programs Are Closing?,https://www.youtube.com/watch?v=1Gu_YcC7Kfs,1:48,Which Masters Programs Are Closing-.md,1640,NotebookLM YouTube transcript import,
12,saved,fq5lmTwB6dQ,Social Media and Behavioral Finance,https://www.youtube.com/watch?v=fq5lmTwB6dQ,5:49,Social Media and Behavioral Finance.md,6500,NotebookLM YouTube transcript import,
13,saved,Qzrkux1rqD8,Banking's Hype History and Balancing Reality,https://www.youtube.com/watch?v=Qzrkux1rqD8,40:03,Banking's Hype History and Balancing Reality.md,45802,NotebookLM YouTube transcript import,
14,saved,OHKl8jinUWQ,"Prediction Markets, Securitizations, and Social Media Data",https://www.youtube.com/watch?v=OHKl8jinUWQ,17:29,"Prediction Markets, Securitizations, and Social Media Data.md",20213,NotebookLM YouTube transcript import,
15,saved,eDlKGuZvApM,Seeking Risk and Research Roles,https://www.youtube.com/watch?v=eDlKGuZvApM,8:47,Seeking Risk and Research Roles.md,9850,NotebookLM YouTube transcript import,
16,saved,VW8Tt7ODhgs,Securitization - Quant Overview,https://www.youtube.com/watch?v=VW8Tt7ODhgs,37:59,Securitization - Quant Overview.md,45167,NotebookLM YouTube transcript import,
17,saved,7_2on2WF9Gs,Partial Moments in Quantitative Finance,https://www.youtube.com/watch?v=7_2on2WF9Gs,53:27,Partial Moments in Quantitative Finance.md,36313,NotebookLM YouTube transcript import,
18,saved,6crUY-eHpjw,Synthetic WOE,https://www.youtube.com/watch?v=6crUY-eHpjw,26:34,Synthetic WOE.md,28724,NotebookLM YouTube transcript import,
19,saved,G1oQrSOqgik,QQC Topics Revealed - April 10th 2026,https://www.youtube.com/watch?v=G1oQrSOqgik,6:47,QQC Topics Revealed - April 10th 2026.md,7605,NotebookLM YouTube transcript import,
20,notebooklm_import_error,15gkOD3M6Kk,Model User Failure,https://www.youtube.com/watch?v=15gkOD3M6Kk,21:32,,,,Error: Timed out waiting for imported source or chat summary: Model User Failure
21,saved,Wt92O84OQ2o,Control Systems and Electrical Engineering to AI in Finance,https://www.youtube.com/watch?v=Wt92O84OQ2o,55:48,Control Systems and Electrical Engineering to AI in Finance.md,62591,NotebookLM YouTube transcript import,
22,saved,neIv7BMb2oM,Quaint Quant Conference - Free Tickets by Rutgers,https://www.youtube.com/watch?v=neIv7BMb2oM,1:28,Quaint Quant Conference - Free Tickets by Rutgers.md,1442,NotebookLM YouTube transcript import,
23,saved,wQ_kRuf9Ycc,Quant Undergrad Books and Curriculum,https://www.youtube.com/watch?v=wQ_kRuf9Ycc,5:28,Quant Undergrad Books and Curriculum.md,5089,NotebookLM YouTube transcript import,
24,saved,mlcC0T1PMoM,Quant Books and Curriculum Design,https://www.youtube.com/watch?v=mlcC0T1PMoM,28:15,Quant Books and Curriculum Design.md,33695,NotebookLM YouTube transcript import,
25,saved,ENAlNI-rR0U,Quant Graduate Books and Curriculum,https://www.youtube.com/watch?v=ENAlNI-rR0U,9:16,Quant Graduate Books and Curriculum.md,10765,NotebookLM YouTube transcript import,
26,saved,M4_1DCBU4Yw,Systematic Fixed Income with Jeffrey Rosenberg,https://www.youtube.com/watch?v=M4_1DCBU4Yw,54:55,Systematic Fixed Income with Jeffrey Rosenberg.md,52921,NotebookLM YouTube transcript import,
27,saved,yHNuZM2ffGQ,Quaint Quant Conference   Free Tickets by CMU,https://www.youtube.com/watch?v=yHNuZM2ffGQ,2:26,Quaint Quant Conference Free Tickets by CMU.md,2622,NotebookLM YouTube transcript import,
28,saved,UOXeAq4HixY,Adding and Dropping Columns and Rows of a Matrix in R (E27),https://www.youtube.com/watch?v=UOXeAq4HixY,8:49,Adding and Dropping Columns and Rows of a Matrix in R (E27).md,8879,NotebookLM YouTube transcript import,
29,saved,BjHGA93QBiA,Poet to Wall Street Engineer - Michael Jordan Pilgreen,https://www.youtube.com/watch?v=BjHGA93QBiA,1:04:48,Poet to Wall Street Engineer - Michael Jordan Pilgreen.md,58058,NotebookLM YouTube transcript import,
30,saved,0cDvZ8JuK1o,How to Build a Corporate Vision,https://www.youtube.com/watch?v=0cDvZ8JuK1o,17:27,How to Build a Corporate Vision.md,19748,NotebookLM YouTube transcript import,
31,saved,BFcdPNFat8g,apply Function in R - Finance Example (E26),https://www.youtube.com/watch?v=BFcdPNFat8g,10:20,apply Function in R - Finance Example (E26).md,11435,NotebookLM YouTube transcript import,
32,saved,uw4QzKadMbw,apply() Function in R (E25),https://www.youtube.com/watch?v=uw4QzKadMbw,9:16,apply() Function in R (E25).md,10005,NotebookLM YouTube transcript import,
33,saved,VVJxUfN1Egw,Filtering on Matrices in R (E24),https://www.youtube.com/watch?v=VVJxUfN1Egw,10:21,Filtering on Matrices in R (E24).md,10420,NotebookLM YouTube transcript import,
