index,video_id,title,url,duration,upload_date
1,SKl5KBIuEpI,Missing Data and Unique Values,https://www.youtube.com/watch?v=SKl5KBIuEpI,12:41,
2,-PpiojCzfLE,Model Compexity vs Management,https://www.youtube.com/watch?v=-PpiojCzfLE,5:15,
3,9NhxZpaPPmo,WARNING - Fake AI Textbooks,https://www.youtube.com/watch?v=9NhxZpaPPmo,3:14,
4,qfmXM7P8Q_s,Fancy Quant Honorable Mention 2026,https://www.youtube.com/watch?v=qfmXM7P8Q_s,11:42,
5,b3qBCcTSf78,Write a Better Resume with Enhancv,https://www.youtube.com/watch?v=b3qBCcTSf78,7:16,
6,K_JRMjEj12w,Current Quant Job Market - 5 Lessons,https://www.youtube.com/watch?v=K_JRMjEj12w,13:17,
7,JrirA_qoV4A,How Much to Host a Conference?,https://www.youtube.com/watch?v=JrirA_qoV4A,14:19,
8,rP4H3w2MQs4,Ponder Don't Race,https://www.youtube.com/watch?v=rP4H3w2MQs4,4:42,
9,8_MF7Som5uc,Engineering the Alpha: Standing on the Shoulders of Giants,https://www.youtube.com/watch?v=8_MF7Som5uc,37:42,
10,96A5CfhhkMc,Model Usage Complexity and Issues,https://www.youtube.com/watch?v=96A5CfhhkMc,13:04,
11,1Gu_YcC7Kfs,Which Masters Programs Are Closing?,https://www.youtube.com/watch?v=1Gu_YcC7Kfs,1:48,
12,fq5lmTwB6dQ,Social Media and Behavioral Finance,https://www.youtube.com/watch?v=fq5lmTwB6dQ,5:49,
13,Qzrkux1rqD8,Banking's Hype History and Balancing Reality,https://www.youtube.com/watch?v=Qzrkux1rqD8,40:03,
14,OHKl8jinUWQ,"Prediction Markets, Securitizations, and Social Media Data",https://www.youtube.com/watch?v=OHKl8jinUWQ,17:29,
15,eDlKGuZvApM,Seeking Risk and Research Roles,https://www.youtube.com/watch?v=eDlKGuZvApM,8:47,
16,VW8Tt7ODhgs,Securitization - Quant Overview,https://www.youtube.com/watch?v=VW8Tt7ODhgs,37:59,
17,7_2on2WF9Gs,Partial Moments in Quantitative Finance,https://www.youtube.com/watch?v=7_2on2WF9Gs,53:27,
18,6crUY-eHpjw,Synthetic WOE,https://www.youtube.com/watch?v=6crUY-eHpjw,26:34,
19,G1oQrSOqgik,QQC Topics Revealed - April 10th 2026,https://www.youtube.com/watch?v=G1oQrSOqgik,6:47,
20,15gkOD3M6Kk,Model User Failure,https://www.youtube.com/watch?v=15gkOD3M6Kk,21:32,
21,Wt92O84OQ2o,Control Systems and Electrical Engineering to AI in Finance,https://www.youtube.com/watch?v=Wt92O84OQ2o,55:48,
22,neIv7BMb2oM,Quaint Quant Conference - Free Tickets by Rutgers,https://www.youtube.com/watch?v=neIv7BMb2oM,1:28,
23,wQ_kRuf9Ycc,Quant Undergrad Books and Curriculum,https://www.youtube.com/watch?v=wQ_kRuf9Ycc,5:28,
24,mlcC0T1PMoM,Quant Books and Curriculum Design,https://www.youtube.com/watch?v=mlcC0T1PMoM,28:15,
25,ENAlNI-rR0U,Quant Graduate Books and Curriculum,https://www.youtube.com/watch?v=ENAlNI-rR0U,9:16,
26,M4_1DCBU4Yw,Systematic Fixed Income with Jeffrey Rosenberg,https://www.youtube.com/watch?v=M4_1DCBU4Yw,54:55,
27,yHNuZM2ffGQ,Quaint Quant Conference   Free Tickets by CMU,https://www.youtube.com/watch?v=yHNuZM2ffGQ,2:26,
28,UOXeAq4HixY,Adding and Dropping Columns and Rows of a Matrix in R (E27),https://www.youtube.com/watch?v=UOXeAq4HixY,8:49,
29,BjHGA93QBiA,Poet to Wall Street Engineer - Michael Jordan Pilgreen,https://www.youtube.com/watch?v=BjHGA93QBiA,1:04:48,
30,0cDvZ8JuK1o,How to Build a Corporate Vision,https://www.youtube.com/watch?v=0cDvZ8JuK1o,17:27,
31,BFcdPNFat8g,apply Function in R - Finance Example (E26),https://www.youtube.com/watch?v=BFcdPNFat8g,10:20,
32,uw4QzKadMbw,apply() Function in R (E25),https://www.youtube.com/watch?v=uw4QzKadMbw,9:16,
33,VVJxUfN1Egw,Filtering on Matrices in R (E24),https://www.youtube.com/watch?v=VVJxUfN1Egw,10:21,
34,Wcc1KAipPL8,Risk Instruments for Hedging,https://www.youtube.com/watch?v=Wcc1KAipPL8,27:18,
35,irD1k-_k94Y,Meet Top Quant Programs,https://www.youtube.com/watch?v=irD1k-_k94Y,4:20,
36,HQfmxHYmc-I,Trump's 10% APR - Credit Crash,https://www.youtube.com/watch?v=HQfmxHYmc-I,12:20,
37,GmraHhsGaLI,Quant Conference - 2026,https://www.youtube.com/watch?v=GmraHhsGaLI,14:42,
38,TwSMXz_PSNg,What is Quantum Research?,https://www.youtube.com/watch?v=TwSMXz_PSNg,59:07,
39,emdgBBYsnaY,Do You Need a Research Team?,https://www.youtube.com/watch?v=emdgBBYsnaY,19:50,
40,Wo2wbVKlfOI,Quant Career Review - 2025,https://www.youtube.com/watch?v=Wo2wbVKlfOI,27:04,
41,OvWmQnTX85M,The #1 Skill Smart Quants Lack (It's Not Math),https://www.youtube.com/watch?v=OvWmQnTX85M,11:53,
