index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,notebooklm_import_error,20DZ8eHKJtQ,"Inside OC with Rick Reiff - A Man for All Markets, Part One",https://www.youtube.com/watch?v=20DZ8eHKJtQ,26:47,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
2,notebooklm_import_error,6xxu2mjMmlI,"Inside OC with Rick Reiff - A Man for all Markets, Part Two",https://www.youtube.com/watch?v=6xxu2mjMmlI,26:47,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
3,saved,xcc9nuEqz0k,Edward Thorp · Math genius who beat the dealer and the market,https://www.youtube.com/watch?v=xcc9nuEqz0k,1:05:16,Edward Thorp · Math genius who beat the dealer and the market.md,53867,NotebookLM YouTube transcript import,
4,saved,5ydHAJxOXPo,128 TIP: Edward Thorp – A Man for All Markets,https://www.youtube.com/watch?v=5ydHAJxOXPo,32:48,128 TIP- Edward Thorp – A Man for All Markets.md,30385,NotebookLM YouTube transcript import,
5,saved,nETHDatfPEo,Edward Thorp · Math genius who beat the dealer and the,https://www.youtube.com/watch?v=nETHDatfPEo,1:05:16,Edward Thorp · Math genius who beat the dealer and the.md,45688,NotebookLM YouTube transcript import,
6,saved,D5FLKOmfdTM,Gambling With an Edge - guest Ed Thorp,https://www.youtube.com/watch?v=D5FLKOmfdTM,1:11:06,Gambling With an Edge - guest Ed Thorp.md,55952,NotebookLM YouTube transcript import,
7,saved,pJA19oIseE8,* 128 TIP: Edward Thorp – A Man for All Markets,https://www.youtube.com/watch?v=pJA19oIseE8,32:33,- 128 TIP- Edward Thorp – A Man for All Markets.md,30872,NotebookLM YouTube transcript import,
8,saved,UB_vwvJwIgc,Fall 2019 Exhibit | Finding the Edge: The Work and Insights of Edward O. Thorp,https://www.youtube.com/watch?v=UB_vwvJwIgc,49:42,Fall 2019 Exhibit - Finding the Edge- The Work and Insights of Edward O. Thorp.md,37804,NotebookLM YouTube transcript import,
9,saved,pjLbNM0jcc4,"Ed Thorp - ""If You Bet Too Much, You'll Almost Certainly Be Ruined""",https://www.youtube.com/watch?v=pjLbNM0jcc4,58:57,"Ed Thorp - -If You Bet Too Much, You'll Almost Certainly Be Ruined-.md",53748,NotebookLM YouTube transcript import,
10,saved,hPIW-OJugG4,"Edward Thorp on ""To Tell the Truth"" (February 3, 1964)",https://www.youtube.com/watch?v=hPIW-OJugG4,8:39,"Edward Thorp on -To Tell the Truth- (February 3, 1964).md",7856,NotebookLM YouTube transcript import,
