index,video_id,title,url,duration,upload_date
1,20DZ8eHKJtQ,"Inside OC with Rick Reiff - A Man for All Markets, Part One",https://www.youtube.com/watch?v=20DZ8eHKJtQ,26:47,
2,6xxu2mjMmlI,"Inside OC with Rick Reiff - A Man for all Markets, Part Two",https://www.youtube.com/watch?v=6xxu2mjMmlI,26:47,
3,xcc9nuEqz0k,Edward Thorp · Math genius who beat the dealer and the market,https://www.youtube.com/watch?v=xcc9nuEqz0k,1:05:16,
4,5ydHAJxOXPo,128 TIP: Edward Thorp – A Man for All Markets,https://www.youtube.com/watch?v=5ydHAJxOXPo,32:48,
5,nETHDatfPEo,Edward Thorp · Math genius who beat the dealer and the,https://www.youtube.com/watch?v=nETHDatfPEo,1:05:16,
6,D5FLKOmfdTM,Gambling With an Edge - guest Ed Thorp,https://www.youtube.com/watch?v=D5FLKOmfdTM,1:11:06,
7,pJA19oIseE8,* 128 TIP: Edward Thorp – A Man for All Markets,https://www.youtube.com/watch?v=pJA19oIseE8,32:33,
8,UB_vwvJwIgc,Fall 2019 Exhibit | Finding the Edge: The Work and Insights of Edward O. Thorp,https://www.youtube.com/watch?v=UB_vwvJwIgc,49:42,
9,pjLbNM0jcc4,"Ed Thorp - ""If You Bet Too Much, You'll Almost Certainly Be Ruined""",https://www.youtube.com/watch?v=pjLbNM0jcc4,58:57,
10,hPIW-OJugG4,"Edward Thorp on ""To Tell the Truth"" (February 3, 1964)",https://www.youtube.com/watch?v=hPIW-OJugG4,8:39,
