index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,DW9zQ8Hz6gQ,How quant trading strategies are developed and tested w/ Ernie Chan,https://www.youtube.com/watch?v=DW9zQ8Hz6gQ,1:00:39,How quant trading strategies are developed and tested w- Ernie Chan.md,37031,NotebookLM YouTube transcript import,
2,saved,lsvTJAfJKsM,The Challenges of Financial Data Science and Machine Learning w/Dr Ernest Chan,https://www.youtube.com/watch?v=lsvTJAfJKsM,1:02:22,The Challenges of Financial Data Science and Machine Learning w-Dr Ernest Chan.md,50691,NotebookLM YouTube transcript import,
3,saved,nBy7b_oZ7mE,“Predicting profitability using machine learning” – Ernie Chan,https://www.youtube.com/watch?v=nBy7b_oZ7mE,53:22,“Predicting profitability using machine learning” – Ernie Chan.md,46436,NotebookLM YouTube transcript import,
4,saved,BhaJVZNpL4M,Financial Machine Learning - A Practitioner’s Perspective by Dr. Ernest Chan,https://www.youtube.com/watch?v=BhaJVZNpL4M,57:32,Financial Machine Learning - A Practitioner’s Perspective by Dr. Ernest Chan.md,48198,NotebookLM YouTube transcript import,
5,saved,pLslJHWpIiQ,AI For Trading Forex (What You Can & Can't Do!) - Ernest Chan,https://www.youtube.com/watch?v=pLslJHWpIiQ,39:53,AI For Trading Forex (What You Can & Can't Do!) - Ernest Chan.md,35859,NotebookLM YouTube transcript import,
6,saved,72aEDjwGMr8,Machine Learning for Quantitative Trading Webinar with Dr. Ernie Chan,https://www.youtube.com/watch?v=72aEDjwGMr8,56:48,Machine Learning for Quantitative Trading Webinar with Dr. Ernie Chan.md,44989,NotebookLM YouTube transcript import,
7,saved,Wq-5pnceeLI,Interview With A Legend In Algorithmic Trading Dr. Ernie Chan,https://www.youtube.com/watch?v=Wq-5pnceeLI,1:11:01,Interview With A Legend In Algorithmic Trading Dr. Ernie Chan.md,57971,NotebookLM YouTube transcript import,
8,notebooklm_import_error,zO_6GcKpRJ0,"""The Peculiarities of Volatility"" by Dr  Ernest Chan",https://www.youtube.com/watch?v=zO_6GcKpRJ0,42:52,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
9,saved,SNxHi7xYtZg,"012 Ernest Chan on quantitative trading, drawdown, automated trading and more [AUDIO ONLY]",https://www.youtube.com/watch?v=SNxHi7xYtZg,49:05,"012 Ernest Chan on quantitative trading, drawdown, automated trading and more [AUDIO ONLY].md",43073,NotebookLM YouTube transcript import,
10,saved,sFwyS-L-aDE,Must-Watch: Dr. Ernest Chan’s Ultimate Guide to Mean Reversion Trading!,https://www.youtube.com/watch?v=sFwyS-L-aDE,48:44,Must-Watch- Dr. Ernest Chan’s Ultimate Guide to Mean Reversion Trading!.md,39314,NotebookLM YouTube transcript import,
11,saved,UD92QBqA8Eo,"""Optimizing Trading Strategies without Overfitting"" by Dr. Ernest Chan - QuantCon 2018",https://www.youtube.com/watch?v=UD92QBqA8Eo,46:18,-Optimizing Trading Strategies without Overfitting- by Dr. Ernest Chan - QuantCon 2018.md,38611,NotebookLM YouTube transcript import,
12,saved,NBDh7fvN53g,Ernest Chan - Machine Learning and Trading Strategies,https://www.youtube.com/watch?v=NBDh7fvN53g,1:02:17,Ernest Chan - Machine Learning and Trading Strategies.md,57055,NotebookLM YouTube transcript import,
13,saved,2-5HYJ0HhyQ,"E P Chan: Improving Trading Strategies with Machine Learning, Feature Selection 20210318",https://www.youtube.com/watch?v=2-5HYJ0HhyQ,1:22:11,"E P Chan- Improving Trading Strategies with Machine Learning, Feature Selection 20210318.md",66305,NotebookLM YouTube transcript import,
14,saved,FXcFch695XY,The Mysteries and Makings of Machine Learning with Dr. Ernie Chan of QTS Cap,https://www.youtube.com/watch?v=FXcFch695XY,1:10:47,The Mysteries and Makings of Machine Learning with Dr. Ernie Chan of QTS Cap.md,61551,NotebookLM YouTube transcript import,
15,saved,zoopV2teoys,Keys to Success in Algorithmic Trading | Podcast | Dr. E.P. Chan,https://www.youtube.com/watch?v=zoopV2teoys,11:04,Keys to Success in Algorithmic Trading - Podcast - Dr. E.P. Chan.md,7881,NotebookLM YouTube transcript import,
16,saved,3x1-ye7mHxw,How Not to Use Machine Learning in Trading by Dr. Ernest P. Chan,https://www.youtube.com/watch?v=3x1-ye7mHxw,24:03,How Not to Use Machine Learning in Trading by Dr. Ernest P. Chan.md,20603,NotebookLM YouTube transcript import,
17,saved,fPTX63HLrgc,Quantitative Trading and Winning as a Retail Trader - Ernest Chan,https://www.youtube.com/watch?v=fPTX63HLrgc,1:03:06,Quantitative Trading and Winning as a Retail Trader - Ernest Chan.md,50102,NotebookLM YouTube transcript import,
18,notebooklm_import_error,m7IPbPg_ME8,"""Beware of Low Frequency Data"" by Ernest Chan",https://www.youtube.com/watch?v=m7IPbPg_ME8,45:59,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
19,saved,HDkkQN9P9jQ,Dr. Ernest Chan - Tail Reaper (S3E5),https://www.youtube.com/watch?v=HDkkQN9P9jQ,49:14,Dr. Ernest Chan - Tail Reaper (S3E5).md,45697,NotebookLM YouTube transcript import,
20,saved,XMjsF5y3Oe4,How to Become a Successful Quant Trader | Dr Ernest Chan | Algo Trading Week Day 1,https://www.youtube.com/watch?v=XMjsF5y3Oe4,56:57,How to Become a Successful Quant Trader - Dr Ernest Chan - Algo Trading Week Day 1.md,44195,NotebookLM YouTube transcript import,
21,saved,5G7YdjnRvVI,Mean Reversion Trading Explained by Dr. Ernest Chan – Take Control of Your Trades!,https://www.youtube.com/watch?v=5G7YdjnRvVI,1:04:17,Mean Reversion Trading Explained by Dr. Ernest Chan – Take Control of Your Trades!.md,48594,NotebookLM YouTube transcript import,
22,saved,NcI659Wmrb4,Mean Reversion Trading Strategies  | Quantra courses | Dr. Ernest P. Chan,https://www.youtube.com/watch?v=NcI659Wmrb4,3:54,Mean Reversion Trading Strategies - Quantra courses - Dr. Ernest P. Chan.md,3273,NotebookLM YouTube transcript import,
