index,status,video_id,title,url,duration,output_file,transcript_chars
1,saved,fUDn-c6ih9A,Ray Dalio - The False Prophet of Finance | Full Documentary,https://www.youtube.com/watch?v=fUDn-c6ih9A,42:14,Source_data/transcript/finaius_notebooklm_transcripts/Ray Dalio - The False Prophet of Finance - Full Documentary.md,36145
2,saved,pK5yZqDOPKg,State Street - The $57 Trillion Financial Monster | Documentary,https://www.youtube.com/watch?v=pK5yZqDOPKg,45:18,Source_data/transcript/finaius_notebooklm_transcripts/State Street - The $57 Trillion Financial Monster - Documentary.md,37117
3,saved,jHtNTBO4vFI,The Rockefeller Dynasty - A Complete History | 2026 Documentary,https://www.youtube.com/watch?v=jHtNTBO4vFI,52:59,Source_data/transcript/finaius_notebooklm_transcripts/The Rockefeller Dynasty - A Complete History - 2026 Documentary.md,39673
4,saved,yvDlnXOQjuI,Al Nahyans - Trillionaire Family That Built UAE | 2026 Documentary,https://www.youtube.com/watch?v=yvDlnXOQjuI,48:42,Source_data/transcript/finaius_notebooklm_transcripts/Al Nahyans - Trillionaire Family That Built UAE - 2026 Documentary.md,34634
5,saved,sf96kB5HNvg,Wells Fargo - The $2 Trillion Criminal Empire | Documentary,https://www.youtube.com/watch?v=sf96kB5HNvg,49:36,Source_data/transcript/finaius_notebooklm_transcripts/Wells Fargo - The $2 Trillion Criminal Empire - Documentary.md,37715
6,saved,zvLKxXveAJY,Shadow State  - The ENTIRE History of FBI | Documentary,https://www.youtube.com/watch?v=zvLKxXveAJY,57:24,Source_data/transcript/finaius_notebooklm_transcripts/Shadow State - The ENTIRE History of FBI - Documentary.md,43616
7,saved,SnoGHGFTnzo,Maktoums - Trillionaire Family That Built Dubai | 2025 Documentary,https://www.youtube.com/watch?v=SnoGHGFTnzo,38:32,Source_data/transcript/finaius_notebooklm_transcripts/Maktoums - Trillionaire Family That Built Dubai - 2025 Documentary.md,29638
8,saved,_3C65eZuv1w,American Express - The Trillion Dollar Money Machine | Documentary,https://www.youtube.com/watch?v=_3C65eZuv1w,46:27,Source_data/transcript/finaius_notebooklm_transcripts/American Express - The Trillion Dollar Money Machine - Documentary.md,35901
9,saved,UnvtdsiTgD8,Black Budget - The ENTIRE History of CIA | Documentary,https://www.youtube.com/watch?v=UnvtdsiTgD8,46:17,Source_data/transcript/finaius_notebooklm_transcripts/Black Budget - The ENTIRE History of CIA - Documentary.md,35139
10,saved,lkS6AxfHeAA,Michael Milken – Wildest Wall Street Story Ever Told,https://www.youtube.com/watch?v=lkS6AxfHeAA,47:20,Source_data/transcript/finaius_notebooklm_transcripts/Michael Milken – Wildest Wall Street Story Ever Told.md,36326
11,saved,aw5i2EB0zg0,UBS - The Bank of Dirty Money | Full Documentary,https://www.youtube.com/watch?v=aw5i2EB0zg0,45:50,Source_data/transcript/finaius_notebooklm_transcripts/UBS - The Bank of Dirty Money - Full Documentary.md,33675
12,saved,tmCl4GIZjiI,Mormons - America’s Wealthiest Religion | A Documentary,https://www.youtube.com/watch?v=tmCl4GIZjiI,50:24,Source_data/transcript/finaius_notebooklm_transcripts/Mormons - America’s Wealthiest Religion - A Documentary.md,35216
13,saved,Mt_R-oea7e4,Medici - The Most Powerful Family in History | A Documentary,https://www.youtube.com/watch?v=Mt_R-oea7e4,48:09,Source_data/transcript/finaius_notebooklm_transcripts/Medici - The Most Powerful Family in History - A Documentary.md,33388
14,saved,81slcgZIXgY,Norway – How a Tiny Nation Got Insanely Rich | 2025 Documentary,https://www.youtube.com/watch?v=81slcgZIXgY,47:25,Source_data/transcript/finaius_notebooklm_transcripts/Norway – How a Tiny Nation Got Insanely Rich - 2025 Documentary.md,33692
15,saved,KH8FPpoyj14,World Economic Forum - A Global Cult | 2025 Documentary,https://www.youtube.com/watch?v=KH8FPpoyj14,53:20,Source_data/transcript/finaius_notebooklm_transcripts/World Economic Forum - A Global Cult - 2025 Documentary.md,39817
16,saved,BW3Ld3VCqqc,Saudi Arabia - The Making of a Financial Empire | A Documentary,https://www.youtube.com/watch?v=BW3Ld3VCqqc,49:29,Source_data/transcript/finaius_notebooklm_transcripts/Saudi Arabia - The Making of a Financial Empire - A Documentary.md,37808
17,saved,LPPUIFz29uc,Bank of America – The Cartel of U.S. Finance | Full Documentary,https://www.youtube.com/watch?v=LPPUIFz29uc,43:13,Source_data/transcript/finaius_notebooklm_transcripts/Bank of America – The Cartel of U.S. Finance - Full Documentary.md,33295
18,saved,Bwt-pIxekMQ,The Secret History of The Vatican's Wealth |  2025 Documentary,https://www.youtube.com/watch?v=Bwt-pIxekMQ,50:18,Source_data/transcript/finaius_notebooklm_transcripts/The Secret History of The Vatican's Wealth - 2025 Documentary.md,40065
19,saved,YpZiTrWGmL4,Visa Inc. - The 12 Trillion Dollar Money Machine | A Finance Documentary,https://www.youtube.com/watch?v=YpZiTrWGmL4,39:19,Source_data/transcript/finaius_notebooklm_transcripts/Visa Inc. - The 12 Trillion Dollar Money Machine - A Finance Documentary.md,30151
20,saved,us5PoN3jN4o,Citibank – The Oldest American Banking Mafia | Full Documentary,https://www.youtube.com/watch?v=us5PoN3jN4o,45:58,Source_data/transcript/finaius_notebooklm_transcripts/Citibank – The Oldest American Banking Mafia - Full Documentary.md,35499
21,saved,IbWl40xgw0A,Empire of Shadows: True Story of the Richest Family in History,https://www.youtube.com/watch?v=IbWl40xgw0A,39:29,Source_data/transcript/finaius_notebooklm_transcripts/Empire of Shadows- True Story of the Richest Family in History.md,29895
22,saved,cpJIzrhAlYQ,JPMorgan Chase : Untold History of a Super Bank | 2023 Documentary,https://www.youtube.com/watch?v=cpJIzrhAlYQ,42:56,Source_data/transcript/finaius_notebooklm_transcripts/JPMorgan Chase - Untold History of a Super Bank - 2023 Documentary.md,31005
23,saved,qUxQug5gfdY,The Twisted History of Morgan Stanley | A Wall Street Documentary,https://www.youtube.com/watch?v=qUxQug5gfdY,44:05,Source_data/transcript/finaius_notebooklm_transcripts/The Twisted History of Morgan Stanley - A Wall Street Documentary.md,30878
24,saved,eZg0UZnaEDY,How One Man Quietly Built a $7 Trillion Empire | Charles Schwab,https://www.youtube.com/watch?v=eZg0UZnaEDY,29:50,Source_data/transcript/finaius_notebooklm_transcripts/How One Man Quietly Built a $7 Trillion Empire - Charles Schwab.md,22017
25,saved,wfwxe0lLaDs,The Berkshire Empire: Hidden Truth of Buffett and Munger's Success | 2023 Documentary,https://www.youtube.com/watch?v=wfwxe0lLaDs,32:36,Source_data/transcript/finaius_notebooklm_transcripts/The Berkshire Empire- Hidden Truth of Buffett and Munger's Success - 2023 Documentary.md,27072
26,saved,aYpZmOXZ0pY,Vanguard - The 8 Trillion Dollar Financial Empire | 2023 Documentary,https://www.youtube.com/watch?v=aYpZmOXZ0pY,37:04,Source_data/transcript/finaius_notebooklm_transcripts/Vanguard - The 8 Trillion Dollar Financial Empire - 2023 Documentary.md,27400
27,saved,bVM2r4vMlTU,The Untold History of Warren Buffett | 2023 Documentary,https://www.youtube.com/watch?v=bVM2r4vMlTU,35:14,Source_data/transcript/finaius_notebooklm_transcripts/The Untold History of Warren Buffett - 2023 Documentary.md,27180
28,saved,J5Npf2xJpag,Goldman Sachs - Company that Ruled the World | 2023 Documentary,https://www.youtube.com/watch?v=J5Npf2xJpag,35:18,Source_data/transcript/finaius_notebooklm_transcripts/Goldman Sachs - Company that Ruled the World - 2023 Documentary.md,25442
