index,status,video_id,title,url,duration,output_file,transcript_chars
1,saved,Sa9UUexqIGY,Episode 54: Michael Shvo - Chairman and CEO of SHVO,https://www.youtube.com/watch?v=Sa9UUexqIGY,32:21,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 54- Michael Shvo - Chairman and CEO of SHVO.md,31815
2,saved,guroiwEC1qU,Episode 53: Christian Angermayer - Founder of Apeiron Investment Group,https://www.youtube.com/watch?v=guroiwEC1qU,51:20,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 53- Christian Angermayer - Founder of Apeiron Investment Group.md,50934
3,saved,ideMX8AzDM4,Episode 52: Michael Paulus - Founder of PCM Encore,https://www.youtube.com/watch?v=ideMX8AzDM4,42:01,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 52- Michael Paulus - Founder of PCM Encore.md,45880
4,saved,9nC7Ewmhs2I,Episode 51: Fabrice Grinda - Founding Partner of FJ Labs,https://www.youtube.com/watch?v=9nC7Ewmhs2I,35:55,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 51- Fabrice Grinda - Founding Partner of FJ Labs.md,38006
5,saved,a3JYG0zvxbs,Episode 49: Yoni Assia - Co-Founder and CEO of eToro,https://www.youtube.com/watch?v=a3JYG0zvxbs,50:48,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 49- Yoni Assia - Co-Founder and CEO of eToro.md,45291
6,saved,O1M8y4QybU8,Episode 48: Dmitry Balyasny - Managing Partner and CIO of Balyasny Asset Management,https://www.youtube.com/watch?v=O1M8y4QybU8,52:31,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 48- Dmitry Balyasny - Managing Partner and CIO of Balyasny Asset Management.md,51577
7,saved,X0RutePdtSE,Episode 47: Pete Muller - Founder of PDT Partners,https://www.youtube.com/watch?v=X0RutePdtSE,35:19,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 47- Pete Muller - Founder of PDT Partners.md,35946
8,saved,cbap5DU9awk,Episode 46: Larry Connor - Founder of The Connor Group,https://www.youtube.com/watch?v=cbap5DU9awk,43:05,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 46- Larry Connor - Founder of The Connor Group.md,30767
9,saved,4W_b1QyZJSs,Episode 45: Keith Rabois - Managing Director at Khosla Ventures,https://www.youtube.com/watch?v=4W_b1QyZJSs,40:16,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 45- Keith Rabois - Managing Director at Khosla Ventures.md,40297
10,saved,eIaeaqdnqo0,Episode 44: Paul Wachter - Founder and CEO of Main Street Advisors,https://www.youtube.com/watch?v=eIaeaqdnqo0,45:37,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 44- Paul Wachter - Founder and CEO of Main Street Advisors.md,41341
11,saved,-S_S4tYymjk,Episode 43: Ryan Tolkin - CEO and CIO of Schonfeld Strategic Advisors,https://www.youtube.com/watch?v=-S_S4tYymjk,44:25,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 43- Ryan Tolkin - CEO and CIO of Schonfeld Strategic Advisors.md,41545
12,saved,9R5H91LRVGo,Episode 42: Collin Roche - Co-CEO and Managing Partner of GTCR,https://www.youtube.com/watch?v=9R5H91LRVGo,40:59,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 42- Collin Roche - Co-CEO and Managing Partner of GTCR.md,43080
13,saved,QAv5TUzeT1k,Episode 41: Antonio Gracias - Founder and CEO of Valor Equity Partners,https://www.youtube.com/watch?v=QAv5TUzeT1k,40:24,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 41- Antonio Gracias - Founder and CEO of Valor Equity Partners.md,48445
14,saved,aDKzqdEXib8,Episode 40: Thomas Peterffy - Chairman and Founder of Interactive Brokers,https://www.youtube.com/watch?v=aDKzqdEXib8,33:59,Source_data/transcript/generating_alpha_podcast_notebooklm_transcripts/Episode 40- Thomas Peterffy - Chairman and Founder of Interactive Brokers.md,23749
