index,video_id,title,url,duration,upload_date
1,Sa9UUexqIGY,Episode 54: Michael Shvo - Chairman and CEO of SHVO,https://www.youtube.com/watch?v=Sa9UUexqIGY,32:21,
2,guroiwEC1qU,Episode 53: Christian Angermayer - Founder of Apeiron Investment Group,https://www.youtube.com/watch?v=guroiwEC1qU,51:20,
3,ideMX8AzDM4,Episode 52: Michael Paulus - Founder of PCM Encore,https://www.youtube.com/watch?v=ideMX8AzDM4,42:01,
4,9nC7Ewmhs2I,Episode 51: Fabrice Grinda - Founding Partner of FJ Labs,https://www.youtube.com/watch?v=9nC7Ewmhs2I,35:55,
5,a3JYG0zvxbs,Episode 49: Yoni Assia - Co-Founder and CEO of eToro,https://www.youtube.com/watch?v=a3JYG0zvxbs,50:48,
6,O1M8y4QybU8,Episode 48: Dmitry Balyasny - Managing Partner and CIO of Balyasny Asset Management,https://www.youtube.com/watch?v=O1M8y4QybU8,52:31,
7,X0RutePdtSE,Episode 47: Pete Muller - Founder of PDT Partners,https://www.youtube.com/watch?v=X0RutePdtSE,35:19,
8,cbap5DU9awk,Episode 46: Larry Connor - Founder of The Connor Group,https://www.youtube.com/watch?v=cbap5DU9awk,43:05,
9,4W_b1QyZJSs,Episode 45: Keith Rabois - Managing Director at Khosla Ventures,https://www.youtube.com/watch?v=4W_b1QyZJSs,40:16,
10,eIaeaqdnqo0,Episode 44: Paul Wachter - Founder and CEO of Main Street Advisors,https://www.youtube.com/watch?v=eIaeaqdnqo0,45:37,
11,-S_S4tYymjk,Episode 43: Ryan Tolkin - CEO and CIO of Schonfeld Strategic Advisors,https://www.youtube.com/watch?v=-S_S4tYymjk,44:25,
12,9R5H91LRVGo,Episode 42: Collin Roche - Co-CEO and Managing Partner of GTCR,https://www.youtube.com/watch?v=9R5H91LRVGo,40:59,
13,QAv5TUzeT1k,Episode 41: Antonio Gracias - Founder and CEO of Valor Equity Partners,https://www.youtube.com/watch?v=QAv5TUzeT1k,40:24,
14,aDKzqdEXib8,Episode 40: Thomas Peterffy - Chairman and Founder of Interactive Brokers,https://www.youtube.com/watch?v=aDKzqdEXib8,33:59,
15,qU9N75Fe1yU,Episode 39: Jeff Yass - Founder and Managing Director of Susquehanna International Group ,https://www.youtube.com/watch?v=qU9N75Fe1yU,25:49,
16,36pODDFK82c,Episode 38 (Part 2): Mickey Drexler - Former CEO of The GAP and J. Crew,https://www.youtube.com/watch?v=36pODDFK82c,1:06:30,
17,cBydy3JvPFo,Episode 38 (Part 1): Mickey Drexler - Former CEO of The GAP & J. Crew,https://www.youtube.com/watch?v=cBydy3JvPFo,37:58,
18,kXOgackmCKg,Episode 37: Michael Anders - Founding Partner of ICONIQ Capital ,https://www.youtube.com/watch?v=kXOgackmCKg,48:04,
19,7HGBfNELjpk,Episode 36: Larry Silverstein - Chairman of Silverstein Properties ,https://www.youtube.com/watch?v=7HGBfNELjpk,31:51,
20,iSisbyNI88U,Episode 35: Thomas Kaplan - Chairman and CIO of The Electrum Group,https://www.youtube.com/watch?v=iSisbyNI88U,1:06:40,
21,z1VEwg-r6T4,Episode 34: Michael Chu - Global Chairman and Co-Founder of L Catterton ,https://www.youtube.com/watch?v=z1VEwg-r6T4,49:15,
22,zZTK9fhPudk,Episode 33: Alan Zafran - Managing Partner and Co-Founder of IEQ Capital ,https://www.youtube.com/watch?v=zZTK9fhPudk,34:16,
23,-0U9s-kXhCc,Episode 32: Barry Sternlicht - Chairman and CEO of Starwood Capital Group,https://www.youtube.com/watch?v=-0U9s-kXhCc,57:56,
24,u6Z5dlUz-fc,Episode 31: Kevin Hartz - General Partner at A* Capital ,https://www.youtube.com/watch?v=u6Z5dlUz-fc,29:41,
25,o-bnp9vl1xA,Episode 30: R. Martin Chavez - Vice Chairman and Partner at Sixth Street,https://www.youtube.com/watch?v=o-bnp9vl1xA,1:00:59,
26,29C0N5AP9PY,Episode 29: Jim Chanos - Founder of Kynikos Associates ,https://www.youtube.com/watch?v=29C0N5AP9PY,44:55,
27,O5-Vdm8cIkg,Episode 28: Paul Krugman - Professor of Economics at The City University of New York,https://www.youtube.com/watch?v=O5-Vdm8cIkg,39:58,
28,Qt5aBZmILLU,Episode 27: Michael Rees - Co-President of Blue Owl Capital,https://www.youtube.com/watch?v=Qt5aBZmILLU,41:17,
29,E7ZltyNlBvY,Episode 26: Annie Duke - Bestselling Author and Former Professional Poker Player,https://www.youtube.com/watch?v=E7ZltyNlBvY,59:16,
30,M0RjFqj9ExU,Episode 25: Joseph Edelman - Founder of Perceptive Advisors,https://www.youtube.com/watch?v=M0RjFqj9ExU,38:04,
31,RZScW2pJJok,Episode 24: Anthony Pompliano - CEO of Professional Capital Management,https://www.youtube.com/watch?v=RZScW2pJJok,30:54,
32,yiho7XMpflc,Episode 23: Roger Altman - Founder of Evercore,https://www.youtube.com/watch?v=yiho7XMpflc,36:15,
33,YCoxAquwS2Y,Episode 22: Tully Friedman - Co-Founder of Hellman & Friedman,https://www.youtube.com/watch?v=YCoxAquwS2Y,41:30,
34,62t3unEyP5M,Episode 21: Asher Edelman - Founder of Edelman Companies,https://www.youtube.com/watch?v=62t3unEyP5M,40:53,
35,Ymlr7QsbspE,Episode 20: Scott Bok - Chairman of Greenhill & Co.,https://www.youtube.com/watch?v=Ymlr7QsbspE,36:05,
36,7Xke-jNcGmk,Episode 19: Dan Ariely - Professor of Behavioral Economics and Psychology at Duke University,https://www.youtube.com/watch?v=7Xke-jNcGmk,31:02,
37,Ug3dk-C6_JU,Episode 18: Anthony Scaramucci - Managing Partner of SkyBridge Capital,https://www.youtube.com/watch?v=Ug3dk-C6_JU,29:42,
38,2aeALq7jNlk,Episode 17: Howard Marks - Co-Chairman of Oaktree Capital Management,https://www.youtube.com/watch?v=2aeALq7jNlk,40:24,
39,8IrCaF_pkDg,Episode 16: Barry Ritholtz - Chairman of Ritholtz Wealth Management,https://www.youtube.com/watch?v=8IrCaF_pkDg,57:50,
40,ZAFHdNYs0KE,Episode 15: Felix Zulauf  - Founder of Zulauf Consulting,https://www.youtube.com/watch?v=ZAFHdNYs0KE,35:47,
41,aAiuPaeOXEg,Episode 14: Annie Lamont - Co-Founder and Managing Partner of Oak HC/FT,https://www.youtube.com/watch?v=aAiuPaeOXEg,37:52,
42,WTGcKXx4PmM,Episode 13: Tim Draper - Founder of Draper Fisher Jurvetson,https://www.youtube.com/watch?v=WTGcKXx4PmM,36:52,
43,tczx0l9-Kv8,Episode 12: Bob Prince - Co-CIO of Bridgewater Associates,https://www.youtube.com/watch?v=tczx0l9-Kv8,55:45,
44,6Z10HzK3i-w,Episode 11: Glenn Dubin - Co-Founder of Highbridge Capital Management,https://www.youtube.com/watch?v=6Z10HzK3i-w,40:33,
45,Yk5nz9OA4YY,Episode 10: Alan Schwartz - Executive Chairman of Guggenheim Partners,https://www.youtube.com/watch?v=Yk5nz9OA4YY,36:05,
46,Wu7q2IhYI4s,Episode 9: Michael Mauboussin - Head of Consilient Research at Counterpoint Global,https://www.youtube.com/watch?v=Wu7q2IhYI4s,45:06,
47,X4DBaWiM9XM,Episode 8: Alan Patricof - Founder of APAX Partners and Greycroft,https://www.youtube.com/watch?v=X4DBaWiM9XM,37:37,
48,ThAOHHXqZmE,Episode 6: Steve Cohen - Founder and CEO of Point72 Asset Management,https://www.youtube.com/watch?v=ThAOHHXqZmE,25:16,
49,nw-jo_UM6DU,Episode 5: Jim Rogers - Legendary Investor & Co-Founder of Quantum Fund,https://www.youtube.com/watch?v=nw-jo_UM6DU,37:41,
50,JD-CkCfpHqw,Episode 4: Noah Yechiely - Former Head of Equities at Bridgewater Associates,https://www.youtube.com/watch?v=JD-CkCfpHqw,24:36,
