index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,wdeoIPCFtDU,In Pursuit of the Perfect Portfolio: Harry M. Markowitz,https://www.youtube.com/watch?v=wdeoIPCFtDU,34:51,In Pursuit of the Perfect Portfolio- Harry M. Markowitz.md,28195,NotebookLM YouTube transcript import,
2,saved,RVWEhCd819E,Masters of Finance: Harry Markowitz,https://www.youtube.com/watch?v=RVWEhCd819E,21:52,Masters of Finance- Harry Markowitz.md,17133,NotebookLM YouTube transcript import,
3,saved,lq2PL-Hxmio,"IFA.com - An Hour with Harry Markowitz, Father of Modern Portfolio Theory",https://www.youtube.com/watch?v=lq2PL-Hxmio,1:07:53,"IFA.com - An Hour with Harry Markowitz, Father of Modern Portfolio Theory.md",50780,NotebookLM YouTube transcript import,
4,saved,bZgiK4zMXz8,IDEaS-- Nobel Laureate Harry M. Markowitz,https://www.youtube.com/watch?v=bZgiK4zMXz8,25:27,IDEaS-- Nobel Laureate Harry M. Markowitz.md,19756,NotebookLM YouTube transcript import,
5,saved,8xiXJf4kSdM,An Interview with Harry Markowitz,https://www.youtube.com/watch?v=8xiXJf4kSdM,1:34:48,An Interview with Harry Markowitz.md,70933,NotebookLM YouTube transcript import,
6,saved,4hqgAG63D34,2013 Wharton-Jacobs Levy Prize: Harry Markowitz,https://www.youtube.com/watch?v=4hqgAG63D34,22:47,2013 Wharton-Jacobs Levy Prize- Harry Markowitz.md,16375,NotebookLM YouTube transcript import,
7,saved,PfEoCVMNy0Q,Harry Markowitz interview: 3/6/2011,https://www.youtube.com/watch?v=PfEoCVMNy0Q,59:51,Harry Markowitz interview- 3-6-2011.md,47195,NotebookLM YouTube transcript import,
8,saved,PTHAFJfLISk,Dr. Harry Markowitz – Modern Portfolio Theory – interview – Goldstein on Gelt,https://www.youtube.com/watch?v=PTHAFJfLISk,20:33,Dr. Harry Markowitz – Modern Portfolio Theory – interview – Goldstein on Gelt.md,13640,NotebookLM YouTube transcript import,
9,saved,wZqLjHkg91g,Harry Markowitz is interviewed by Dr. Richard O. Michaud - 2011,https://www.youtube.com/watch?v=wZqLjHkg91g,59:50,Harry Markowitz is interviewed by Dr. Richard O. Michaud - 2011.md,45771,NotebookLM YouTube transcript import,
10,saved,gWj3Bim7_ls,"Markowitz and Modern Portfolio Theory, conference LIVE!!! (Part 2)",https://www.youtube.com/watch?v=gWj3Bim7_ls,10:41,"Markowitz and Modern Portfolio Theory, conference LIVE!!! (Part 2).md",8231,NotebookLM YouTube transcript import,
11,saved,eW1eoTHjBfw,Modern Portfolio Theory | Markowitz Portfolio Theory,https://www.youtube.com/watch?v=eW1eoTHjBfw,16:51,Modern Portfolio Theory - Markowitz Portfolio Theory.md,5091,NotebookLM YouTube transcript import,
12,saved,pR75TOxyOyY,"Markowitz and Modern Portfolio Theory, conference LIVE!!! (Part 4)",https://www.youtube.com/watch?v=pR75TOxyOyY,10:41,"Markowitz and Modern Portfolio Theory, conference LIVE!!! (Part 4).md",8111,NotebookLM YouTube transcript import,
13,saved,DZkJdUYJdqw,Understanding Modern Portfolio Theory,https://www.youtube.com/watch?v=DZkJdUYJdqw,18:26,Understanding Modern Portfolio Theory.md,12571,NotebookLM YouTube transcript import,
14,saved,TqDdq96nmU8,168: Harry Markowitz on His Journey Through Philosophy and Finance and Not Being Done Yet,https://www.youtube.com/watch?v=TqDdq96nmU8,1:02:10,168- Harry Markowitz on His Journey Through Philosophy and Finance and Not Being Done Yet.md,49565,NotebookLM YouTube transcript import,
