index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,9Yv7_4UKDs4,Biography of Igor Tulchinsky,https://www.youtube.com/watch?v=9Yv7_4UKDs4,3:49,Biography of Igor Tulchinsky.md,1541,NotebookLM YouTube transcript import,
2,notebooklm_import_error,NBu716T_iZE,Untitled,https://www.youtube.com/watch?v=NBu716T_iZE,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
3,saved,qKFr3QbHcsc,"Igor Tulchinsky, Founder & CEO, WorldQuant LLC - Adventures of the Mind Summit 2015",https://www.youtube.com/watch?v=qKFr3QbHcsc,28:22,"Igor Tulchinsky, Founder & CEO, WorldQuant LLC - Adventures of the Mind Summit 2015.md",14575,NotebookLM YouTube transcript import,
4,saved,oHLMKn2zewQ,CEOs Building Businesses in a Transformed World,https://www.youtube.com/watch?v=oHLMKn2zewQ,1:06,CEOs Building Businesses in a Transformed World.md,982,NotebookLM YouTube transcript import,
5,saved,JMQfyvNZXgE,Commitment Announcement: WorldQuant - CGI 2016 Annual Meeting,https://www.youtube.com/watch?v=JMQfyvNZXgE,3:28,Commitment Announcement- WorldQuant - CGI 2016 Annual Meeting.md,2924,NotebookLM YouTube transcript import,
6,saved,TOBA6BrTxtQ,The Age of Prediction,https://www.youtube.com/watch?v=TOBA6BrTxtQ,2:20,The Age of Prediction.md,1816,NotebookLM YouTube transcript import,
7,saved,27VVBwOoCR8,The Future of Finance,https://www.youtube.com/watch?v=27VVBwOoCR8,53:15,The Future of Finance.md,55068,NotebookLM YouTube transcript import,
8,saved,uroRESJIDNo,Jobs of 2037: Preparing for the Future,https://www.youtube.com/watch?v=uroRESJIDNo,1:02:38,Jobs of 2037- Preparing for the Future.md,51785,NotebookLM YouTube transcript import,
9,saved,6CAaHSm6BdM,LIVE: Corner Office: Leading Organizations in an Era of Change,https://www.youtube.com/watch?v=6CAaHSm6BdM,1:00:47,LIVE- Corner Office- Leading Organizations in an Era of Change.md,56643,NotebookLM YouTube transcript import,
10,saved,1wJW1qhkJ1w,The Evolution of Asset Management,https://www.youtube.com/watch?v=1wJW1qhkJ1w,55:30,The Evolution of Asset Management.md,52360,NotebookLM YouTube transcript import,
11,saved,xyDqEhYT3bE,College to Career,https://www.youtube.com/watch?v=xyDqEhYT3bE,1:01:31,College to Career.md,1164,NotebookLM YouTube transcript import,
12,saved,2HSydNuAzo0,How Philanthropic Capital Can Spark 21st Century Innovations,https://www.youtube.com/watch?v=2HSydNuAzo0,1:02:23,How Philanthropic Capital Can Spark 21st Century Innovations.md,57866,NotebookLM YouTube transcript import,
13,saved,_j7lAklZbnA,How I Did It: Profiles of Next-Generation Leadership Strategies,https://www.youtube.com/watch?v=_j7lAklZbnA,59:33,How I Did It- Profiles of Next-Generation Leadership Strategies.md,53711,NotebookLM YouTube transcript import,
14,saved,3yBEleYfApM,The Rise of Data-ocracy,https://www.youtube.com/watch?v=3yBEleYfApM,1:00:31,The Rise of Data-ocracy.md,51453,NotebookLM YouTube transcript import,
15,saved,1WJjBRQKdeg,"Quantum computing, the internet of things, AI and other potential game-changers",https://www.youtube.com/watch?v=1WJjBRQKdeg,45:16,"Quantum computing, the internet of things, AI and other potential game-changers.md",39808,NotebookLM YouTube transcript import,
16,saved,bT9m1nujFGY,Scaling Quantitative Research on Sensitive Data,https://www.youtube.com/watch?v=bT9m1nujFGY,35:45,Scaling Quantitative Research on Sensitive Data.md,28984,NotebookLM YouTube transcript import,
17,saved,4T2ORQ_cuxk,To Turn Data Into Signals You Need People,https://www.youtube.com/watch?v=4T2ORQ_cuxk,0:35,To Turn Data Into Signals You Need People.md,697,NotebookLM YouTube transcript import,
18,saved,Tr-uWhfDiVA,WorldQuant Predictive - Who we are,https://www.youtube.com/watch?v=Tr-uWhfDiVA,2:12,WorldQuant Predictive - Who we are.md,1331,NotebookLM YouTube transcript import,
19,saved,ibswo7_KSwI,Rohit Agarwal: Diving Deeper at WorldQuant,https://www.youtube.com/watch?v=ibswo7_KSwI,1:56,Rohit Agarwal- Diving Deeper at WorldQuant.md,2154,NotebookLM YouTube transcript import,
20,notebooklm_import_error,pw9EOH6f4XQ,Untitled,https://www.youtube.com/watch?v=pw9EOH6f4XQ,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
21,notebooklm_import_error,HRuBbCrgbXw,Untitled,https://www.youtube.com/watch?v=HRuBbCrgbXw,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
22,saved,_PJBjO4e5TE,Paul Griffin and Peter Mora: STAR-Crossed Colleagues,https://www.youtube.com/watch?v=_PJBjO4e5TE,1:37,Paul Griffin and Peter Mora- STAR-Crossed Colleagues.md,1608,NotebookLM YouTube transcript import,
23,saved,PMwi4ksNmag,批量生产Alpha交易信号：WorldQuant CEO Igor talked about Alpha Factory in Bloomberg Quant Seminar in 2021 Feb,https://www.youtube.com/watch?v=PMwi4ksNmag,6:58,批量生产Alpha交易信号-WorldQuant CEO Igor talked about Alpha Factory in Bloomberg Quant Seminar in 2021 Feb.md,2984,NotebookLM YouTube transcript import,
24,saved,5MyHnlIRYL4,C64 Game - Ghost Hunt (1985 CBS College Publishing),https://www.youtube.com/watch?v=5MyHnlIRYL4,3:16,C64 Game - Ghost Hunt (1985 CBS College Publishing).md,1357,NotebookLM YouTube transcript import,
25,saved,1YfdWazK000,"Christopher E. Mason & Igor Tulchinsky: Smart Weapons, Genetics, and Predictive Algorithms | RP#146",https://www.youtube.com/watch?v=1YfdWazK000,56:40,"Christopher E. Mason & Igor Tulchinsky- Smart Weapons, Genetics, and Predictive Algorithms - RP#146.md",52719,NotebookLM YouTube transcript import,
26,saved,UYNb3nuoLUY,How will predictive AI transform our work and lives? | Igor Tulchinsky x Brain Bar,https://www.youtube.com/watch?v=UYNb3nuoLUY,23:42,How will predictive AI transform our work and lives- - Igor Tulchinsky x Brain Bar.md,16926,NotebookLM YouTube transcript import,
27,saved,XViqSdHhtAU,The Age of Prediction | Igor Tulchinsky and Chris Mason,https://www.youtube.com/watch?v=XViqSdHhtAU,1:00:47,The Age of Prediction - Igor Tulchinsky and Chris Mason.md,59167,NotebookLM YouTube transcript import,
28,saved,Ptd8IH6k7us,Book Summary The Age of Prediction: by Christopher Mason and Igor Tulchinsky | AudioBook,https://www.youtube.com/watch?v=Ptd8IH6k7us,20:09,Book Summary The Age of Prediction- by Christopher Mason and Igor Tulchinsky - AudioBook.md,16638,NotebookLM YouTube transcript import,
29,notebooklm_import_error,ACd3oBwzRWM,"The Unrules: Man, Machines and the Quest to… by Igor Tulchinsky · Audiobook preview",https://www.youtube.com/watch?v=ACd3oBwzRWM,29:57,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
30,saved,anyBhH4gejI,Exponential Technologies to Build the Future Faster,https://www.youtube.com/watch?v=anyBhH4gejI,38:37,Exponential Technologies to Build the Future Faster.md,1486,NotebookLM YouTube transcript import,
31,saved,_HMq1YsZyyg,Using Genetics to Predict and Solve Crime | Christopher E. Mason & Igor Tulchinsky,https://www.youtube.com/watch?v=_HMq1YsZyyg,12:15,Using Genetics to Predict and Solve Crime - Christopher E. Mason & Igor Tulchinsky.md,4793,NotebookLM YouTube transcript import,
