index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,O0SAz6WokYw,Howard Marks: 80 Years of Investing Wisdom in 13 Minutes,https://www.youtube.com/watch?v=O0SAz6WokYw,13:04,Howard Marks- 80 Years of Investing Wisdom in 13 Minutes.md,11490,NotebookLM YouTube transcript import,
2,saved,QROYWHOAW6Y,Jeremy Grantham - The Wall Street Experts are Lying to You About the Stock Market,https://www.youtube.com/watch?v=QROYWHOAW6Y,19:34,Jeremy Grantham - The Wall Street Experts are Lying to You About the Stock Market.md,16421,NotebookLM YouTube transcript import,
3,saved,kAkpA_zVKx0,Warren Buffett: A $10 Trillion Storm is Brewing in the US Banking System,https://www.youtube.com/watch?v=kAkpA_zVKx0,15:55,Warren Buffett- A $10 Trillion Storm is Brewing in the US Banking System.md,14099,NotebookLM YouTube transcript import,
4,saved,XnNCoJitrHI,Ray Dalio: America is Heading Into Very Dark Times!,https://www.youtube.com/watch?v=XnNCoJitrHI,14:31,Ray Dalio- America is Heading Into Very Dark Times!.md,11493,NotebookLM YouTube transcript import,
5,saved,RZBUsjLexjc,Howard Marks Warning: Why He's Getting Out Now,https://www.youtube.com/watch?v=RZBUsjLexjc,15:44,Howard Marks Warning- Why He's Getting Out Now.md,13148,NotebookLM YouTube transcript import,
6,saved,-yds7z-ovuU,The Iran War is Causing a Once in a Lifetime Economic Reset,https://www.youtube.com/watch?v=-yds7z-ovuU,20:20,The Iran War is Causing a Once in a Lifetime Economic Reset.md,17641,NotebookLM YouTube transcript import,
7,saved,7oijRFyMHi4,Bill Ackman: 40 Years of Investing Wisdom in 9 Minutes,https://www.youtube.com/watch?v=7oijRFyMHi4,9:22,Bill Ackman- 40 Years of Investing Wisdom in 9 Minutes.md,8985,NotebookLM YouTube transcript import,
8,saved,TBZ_q4ZLizU,The AI Crash Is Coming — And Record Profits Are Hiding It,https://www.youtube.com/watch?v=TBZ_q4ZLizU,13:53,The AI Crash Is Coming — And Record Profits Are Hiding It.md,11847,NotebookLM YouTube transcript import,
9,saved,tLYoZLZT9w0,Billionaire Investor Warns a Storm 50 Years in the Making is Hitting the Stock Market,https://www.youtube.com/watch?v=tLYoZLZT9w0,13:42,Billionaire Investor Warns a Storm 50 Years in the Making is Hitting the Stock Market.md,12275,NotebookLM YouTube transcript import,
10,saved,T0a8z4L2pe8,Charlie Munger: Why Net Worth EXPLODES After $100k,https://www.youtube.com/watch?v=T0a8z4L2pe8,12:18,Charlie Munger- Why Net Worth EXPLODES After $100k.md,9939,NotebookLM YouTube transcript import,
11,saved,ew9fIbUEVZo,Bill Ackman: The Biggest Investment Opportunity in 70 Years,https://www.youtube.com/watch?v=ew9fIbUEVZo,16:02,Bill Ackman- The Biggest Investment Opportunity in 70 Years.md,14218,NotebookLM YouTube transcript import,
12,saved,r_WXGBT6WqY,Warren Buffett: Why Real Estate is a Lousy Investment in 2026,https://www.youtube.com/watch?v=r_WXGBT6WqY,13:38,Warren Buffett- Why Real Estate is a Lousy Investment in 2026.md,11570,NotebookLM YouTube transcript import,
13,saved,Fkg1D_ak0vU,Mohnish Pabrai Warns a 'Lost Decade' is Coming For the Stock Market,https://www.youtube.com/watch?v=Fkg1D_ak0vU,13:13,Mohnish Pabrai Warns a 'Lost Decade' is Coming For the Stock Market.md,10770,NotebookLM YouTube transcript import,
