index,video_id,title,url,duration,upload_date
1,O0SAz6WokYw,Howard Marks: 80 Years of Investing Wisdom in 13 Minutes,https://www.youtube.com/watch?v=O0SAz6WokYw,13:04,
2,QROYWHOAW6Y,Jeremy Grantham - The Wall Street Experts are Lying to You About the Stock Market,https://www.youtube.com/watch?v=QROYWHOAW6Y,19:34,
3,kAkpA_zVKx0,Warren Buffett: A $10 Trillion Storm is Brewing in the US Banking System,https://www.youtube.com/watch?v=kAkpA_zVKx0,15:55,
4,XnNCoJitrHI,Ray Dalio: America is Heading Into Very Dark Times!,https://www.youtube.com/watch?v=XnNCoJitrHI,14:31,
5,RZBUsjLexjc,Howard Marks Warning: Why He's Getting Out Now,https://www.youtube.com/watch?v=RZBUsjLexjc,15:44,
6,-yds7z-ovuU,The Iran War is Causing a Once in a Lifetime Economic Reset,https://www.youtube.com/watch?v=-yds7z-ovuU,20:20,
7,7oijRFyMHi4,Bill Ackman: 40 Years of Investing Wisdom in 9 Minutes,https://www.youtube.com/watch?v=7oijRFyMHi4,9:22,
8,TBZ_q4ZLizU,The AI Crash Is Coming — And Record Profits Are Hiding It,https://www.youtube.com/watch?v=TBZ_q4ZLizU,13:53,
9,tLYoZLZT9w0,Billionaire Investor Warns a Storm 50 Years in the Making is Hitting the Stock Market,https://www.youtube.com/watch?v=tLYoZLZT9w0,13:42,
10,T0a8z4L2pe8,Charlie Munger: Why Net Worth EXPLODES After $100k,https://www.youtube.com/watch?v=T0a8z4L2pe8,12:18,
11,ew9fIbUEVZo,Bill Ackman: The Biggest Investment Opportunity in 70 Years,https://www.youtube.com/watch?v=ew9fIbUEVZo,16:02,
12,r_WXGBT6WqY,Warren Buffett: Why Real Estate is a Lousy Investment in 2026,https://www.youtube.com/watch?v=r_WXGBT6WqY,13:38,
13,Fkg1D_ak0vU,Mohnish Pabrai Warns a 'Lost Decade' is Coming For the Stock Market,https://www.youtube.com/watch?v=Fkg1D_ak0vU,13:13,
14,6vTGQqFPJew,Ray Dalio: “A Storm is Brewing in the Stock Market” (2026 AI Crash),https://www.youtube.com/watch?v=6vTGQqFPJew,15:30,
15,GryvGTwoKo8,Bill Ackman’s Secret Plan to Become the Next Warren Buffett,https://www.youtube.com/watch?v=GryvGTwoKo8,19:34,
16,H2wqk9tYsw4,Ray Dalio Just Exposed the Biggest Lie in Investing,https://www.youtube.com/watch?v=H2wqk9tYsw4,20:01,
17,YD20dlxkfwQ,"The Stock Market ""Cheat Code"" That Made One Man a Billionaire",https://www.youtube.com/watch?v=YD20dlxkfwQ,15:08,
18,MkRzqcbaisc,Peter Lynch: How to Invest in 2025 (RARE New Interview),https://www.youtube.com/watch?v=MkRzqcbaisc,18:09,
19,QInubB3Zpuo,Peter Lynch: How to Prepare for the Next Market Crash,https://www.youtube.com/watch?v=QInubB3Zpuo,17:06,
20,mf60kieSweI,Howard Marks Warns of a “Lost Decade” for Stocks,https://www.youtube.com/watch?v=mf60kieSweI,16:39,
21,ysWFUGyp1cA,Bill Ackman: How to Make Your First $1 Million in the Stock Market ,https://www.youtube.com/watch?v=ysWFUGyp1cA,18:50,
22,DbCbXdAetEM,"Howard Marks: Stocks are in ""Early Days of a Bubble""",https://www.youtube.com/watch?v=DbCbXdAetEM,16:56,
23,EIKz35IuOao,Ray Dalio is Warning You…(Most Won’t Listen),https://www.youtube.com/watch?v=EIKz35IuOao,16:12,
24,GT0vr3yzrCw,"Warren Buffett: ""Your Money Is Already Gone"" (2025 Interview)",https://www.youtube.com/watch?v=GT0vr3yzrCw,17:54,
25,rc0di1DREOk,"""Expect a 50% Stock Market Crash!"" - Jeremy Grantham's Final Warning",https://www.youtube.com/watch?v=rc0di1DREOk,12:40,
26,DXaNGKYqonQ,Warren Buffett: We're on the Edge of Disaster,https://www.youtube.com/watch?v=DXaNGKYqonQ,16:42,
27,vJlB60lpNO0,Bill Ackman: Tariffs are an act of 'Economic War',https://www.youtube.com/watch?v=vJlB60lpNO0,14:14,
28,Wke2mew-HWA,"Howard Marks: How to Turn $1,000 into $2.2 Billion (Do THIS Now)",https://www.youtube.com/watch?v=Wke2mew-HWA,18:47,
29,6M0vXHUISZE,How to Analyze a Stock like Warren Buffett in Just 14 Minutes,https://www.youtube.com/watch?v=6M0vXHUISZE,14:07,
30,tAc4bR6xp_8,How Seth Klarman Turned $100 Into $1.8 Billion,https://www.youtube.com/watch?v=tAc4bR6xp_8,17:33,
31,Q3ZiEe_euRM,Warren Buffett’s Dire Warning: America Is Making a Big Mistake,https://www.youtube.com/watch?v=Q3ZiEe_euRM,14:56,
32,HGFyIgyW3cM,Ray Dalio: 75 Years of Investing Wisdom in 39 Minutes (MUST WATCH),https://www.youtube.com/watch?v=HGFyIgyW3cM,39:01,
33,ZhtQg78LSUk,Warren Buffett FINALLY Breaks His Silence (2025 Berkshire Annual Meeting),https://www.youtube.com/watch?v=ZhtQg78LSUk,24:36,
34,Mqm1f_SXozk,Ray Dalio: What's Coming is Worse Than a Recession (Rare New Interview),https://www.youtube.com/watch?v=Mqm1f_SXozk,14:43,
35,ouzx7XrDAiY,Howard Marks' Alarming Stock Market Prediction (Rare New Interview),https://www.youtube.com/watch?v=ouzx7XrDAiY,15:54,
36,TCMsbPl27eQ,Warren Buffett: How Being CHEAP will Make You RICH,https://www.youtube.com/watch?v=TCMsbPl27eQ,10:45,
37,KUQAJEmtfF8,Charlie Munger: 99 Years of Investing Wisdom in 60 Minutes,https://www.youtube.com/watch?v=KUQAJEmtfF8,1:07:13,
38,g9qMMiK6TUM,Warren Buffett: America is on the Verge of ‘Economic War’ (RARE New Interview),https://www.youtube.com/watch?v=g9qMMiK6TUM,14:13,
39,U6jqQe7ZcWk,Turning $10k to $202 Billion: An Investing Masterclass with Howard Marks,https://www.youtube.com/watch?v=U6jqQe7ZcWk,25:29,
40,QkDlN8LYW-Y,Warren Buffett's Advice on How to Invest in 2025,https://www.youtube.com/watch?v=QkDlN8LYW-Y,14:48,
41,PKfJtKbCBU8,Mohnish Pabrai's Most Iconic Lecture Ever (Must Watch),https://www.youtube.com/watch?v=PKfJtKbCBU8,57:07,
42,IPHvw4Iyhbk,Ray Dalio: The US Literally Can't Pay Its Debt,https://www.youtube.com/watch?v=IPHvw4Iyhbk,16:36,
43,az6J4bl9KvQ,"Charlie Munger: A ""Storm is Brewing"" in the Stock Market",https://www.youtube.com/watch?v=az6J4bl9KvQ,15:04,
44,40pRnq-b0r0,Howard Marks’ Most Iconic Interview Ever (Must Watch),https://www.youtube.com/watch?v=40pRnq-b0r0,56:01,
45,ZzTkXoMXKKE,Why Warren Buffett is Prepping for a Stock Market Crash...,https://www.youtube.com/watch?v=ZzTkXoMXKKE,13:22,
46,mC5ZfiigXqw,Mohnish Pabrai: 52 Years of Investing Wisdom in 45 Minutes,https://www.youtube.com/watch?v=mC5ZfiigXqw,47:07,
47,vyrpfpRbvIE,Howard Marks: 5O Years of Investing Wisdom in 15 Minutes,https://www.youtube.com/watch?v=vyrpfpRbvIE,14:50,
48,g0SeL4D53Vs,Carl Icahn’s Most Iconic Interview Ever (Must Watch),https://www.youtube.com/watch?v=g0SeL4D53Vs,15:06,
49,SOL_24SJO_E,Warren Buffett: The US Literally Can't Repay its Debt.,https://www.youtube.com/watch?v=SOL_24SJO_E,12:42,
50,e35C8XFGs0s,Howard Marks: 50 Years of Investing Wisdom in 50 Minutes (Priceless Lecture),https://www.youtube.com/watch?v=e35C8XFGs0s,42:56,
51,QX5mXg1MIO4,Jamie Dimon: The $35 Trillion Dollar Storm Brewing in the US Economy,https://www.youtube.com/watch?v=QX5mXg1MIO4,12:06,
52,KH6QRPaSLDg,Warren Buffett Leaves the Audience SPEECHLESS (Inspiring Story),https://www.youtube.com/watch?v=KH6QRPaSLDg,17:47,
53,V44vd4sJcPs,Howard Marks: 78 Years of Investing Wisdom in 60 Minutes (MUST WATCH),https://www.youtube.com/watch?v=V44vd4sJcPs,1:05:30,
54,1y0CXB5KJXE,Warren Buffett Made Me a Millionaire at 26 | Here's How,https://www.youtube.com/watch?v=1y0CXB5KJXE,11:33,
55,HqO-WJR7sNM,Warren Buffett Just Sold $100 Billion Worth of Stock.,https://www.youtube.com/watch?v=HqO-WJR7sNM,15:15,
56,2B7XtYn3ir8,Turning $1M to $1B+: An Investing Masterclass from the Indian Warren Buffett (Mohnish Pabrai),https://www.youtube.com/watch?v=2B7XtYn3ir8,1:05:46,
57,SeuKmBbwiyo,Warren Buffett: How to Make Money Investing in 2024,https://www.youtube.com/watch?v=SeuKmBbwiyo,15:11,
58,JXLJkUWidFU,Warren Buffett's Most Iconic Lecture EVER (MUST WATCH),https://www.youtube.com/watch?v=JXLJkUWidFU,1:08:31,
59,ODxO528H-xA,Peter Lynch: How to Invest in the Stock Market (The Ultimate Beginner's Guide),https://www.youtube.com/watch?v=ODxO528H-xA,46:09,
60,Wa2HjfXTDrc,Warren Buffett: Why $100k is the MAGIC Number to Getting Rich (Life Changing Advice),https://www.youtube.com/watch?v=Wa2HjfXTDrc,15:14,
61,2X07FepTB7g,"Howard Marks: A Storm is Brewing in the Stock Market (The ""AI Bubble"")",https://www.youtube.com/watch?v=2X07FepTB7g,13:18,
62,X9OdFd2TeIM,"How Peter Lynch DESTROYED the Market by 2,639%",https://www.youtube.com/watch?v=X9OdFd2TeIM,13:26,
63,X5NYuUDse-E,Warren Buffett: How to Generate 50% Returns with Small Amounts of Money (Recent Interview),https://www.youtube.com/watch?v=X5NYuUDse-E,13:05,
