index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,D3HXkHAksgE,Trading Secrets from a Jane Street Veteran - Craig Newbold Interview,https://www.youtube.com/watch?v=D3HXkHAksgE,1:01:54,Trading Secrets from a Jane Street Veteran - Craig Newbold Interview.md,57173,NotebookLM YouTube transcript import,
2,saved,SetLtBH43_U,Memory Management with Stephen Dolan,https://www.youtube.com/watch?v=SetLtBH43_U,1:22:34,Memory Management with Stephen Dolan.md,95979,NotebookLM YouTube transcript import,
3,saved,NT1_A1AfBL0,Building a UI Framework with Ty Overby,https://www.youtube.com/watch?v=NT1_A1AfBL0,1:00:04,Building a UI Framework with Ty Overby.md,57513,NotebookLM YouTube transcript import,
4,saved,Oh_iFh7Rofs,"Writing, Technically with James Somers",https://www.youtube.com/watch?v=Oh_iFh7Rofs,1:00:58,"Writing, Technically with James Somers.md",1264,NotebookLM YouTube transcript import,
5,saved,KAg9DYqAThw,More Signals & Threads coming soon!,https://www.youtube.com/watch?v=KAg9DYqAThw,0:37,More Signals & Threads coming soon!.md,1255,NotebookLM YouTube transcript import,
6,saved,V06-rpAllKg,"An Inside Look at Jane Street’s Tech Internship with Jeanne Van Briesen, Matt Else, and Grace Zhang",https://www.youtube.com/watch?v=V06-rpAllKg,1:02:52,"An Inside Look at Jane Street’s Tech Internship with Jeanne Van Briesen, Matt Else, and Grace Zhang.md",73552,NotebookLM YouTube transcript import,
7,saved,triyiLwqWUI,Multicast and the Markets with Brian Nigito,https://www.youtube.com/watch?v=triyiLwqWUI,1:02:19,Multicast and the Markets with Brian Nigito.md,65543,NotebookLM YouTube transcript import,
8,saved,TonKYDgU-K4,Jane Street: Crypto Markets vs Equity Markets | Thomas Uhm,https://www.youtube.com/watch?v=TonKYDgU-K4,1:17:01,Jane Street- Crypto Markets vs Equity Markets - Thomas Uhm.md,77624,NotebookLM YouTube transcript import,
9,notebooklm_import_error,1D12mim9cG8,"ALD20: Kristen, recruiter for Jane Street",https://www.youtube.com/watch?v=1D12mim9cG8,3:39,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
10,notebooklm_import_error,gUCAugJKtwY,[Private video],https://www.youtube.com/watch?v=gUCAugJKtwY,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
11,saved,SIsjD2bxuoc,The quant trader interview guide,https://www.youtube.com/watch?v=SIsjD2bxuoc,10:59,The quant trader interview guide.md,12008,NotebookLM YouTube transcript import,
12,notebooklm_import_error,1yjIq-_0kPs,[Private video],https://www.youtube.com/watch?v=1yjIq-_0kPs,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
13,saved,b1e4t2k2KJY,How to Build an Exchange,https://www.youtube.com/watch?v=b1e4t2k2KJY,38:17,How to Build an Exchange.md,36545,NotebookLM YouTube transcript import,
14,saved,beNeOSarMUM,Wall Street Firm Jane Street Capital includes Bitcoin in Traded Assets - $13 Billion Daily!,https://www.youtube.com/watch?v=beNeOSarMUM,5:05,Wall Street Firm Jane Street Capital includes Bitcoin in Traded Assets - $13 Billion Daily!.md,4537,NotebookLM YouTube transcript import,
15,notebooklm_import_error,nEXpdgRSchM,[Private video],https://www.youtube.com/watch?v=nEXpdgRSchM,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
16,saved,MUqvXHEjmus,How Jane Street Does Code Review,https://www.youtube.com/watch?v=MUqvXHEjmus,56:06,How Jane Street Does Code Review.md,52874,NotebookLM YouTube transcript import,
17,saved,_1ECfnTqWzk,How Sam Bankman-Fried became a Billionaire,https://www.youtube.com/watch?v=_1ECfnTqWzk,16:03,How Sam Bankman-Fried became a Billionaire.md,12524,NotebookLM YouTube transcript import,
18,saved,FnBPECrSC7o,Caml Trading,https://www.youtube.com/watch?v=FnBPECrSC7o,1:12:41,Caml Trading.md,1147,NotebookLM YouTube transcript import,
19,saved,8IeOCdm7KDo,"ALD20: Alice, software developer at Jane Street",https://www.youtube.com/watch?v=8IeOCdm7KDo,2:35,"ALD20- Alice, software developer at Jane Street.md",2313,NotebookLM YouTube transcript import,
20,notebooklm_import_error,1yjIq-_0kPs,[Private video],https://www.youtube.com/watch?v=1yjIq-_0kPs,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
21,saved,co08H9zNdBg,How to solve quant puzzles,https://www.youtube.com/watch?v=co08H9zNdBg,13:09,How to solve quant puzzles.md,13850,NotebookLM YouTube transcript import,
22,saved,Kt1R8QtXYUY,Day in the Life of a Quant Hedge Fund Trader (Quarantine Edition),https://www.youtube.com/watch?v=Kt1R8QtXYUY,3:52,Day in the Life of a Quant Hedge Fund Trader (Quarantine Edition).md,1250,NotebookLM YouTube transcript import,
23,notebooklm_import_error,bY4oO13YhsQ,[Private video],https://www.youtube.com/watch?v=bY4oO13YhsQ,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
24,saved,d_-cM7EjDgU,"ALD20: Val, software engineer for Jane Street",https://www.youtube.com/watch?v=d_-cM7EjDgU,3:29,"ALD20- Val, software engineer for Jane Street.md",3332,NotebookLM YouTube transcript import,
25,saved,v1CmGbOGb2I,Why OCaml,https://www.youtube.com/watch?v=v1CmGbOGb2I,1:06:40,Why OCaml.md,69205,NotebookLM YouTube transcript import,
26,saved,kZ1P8cHN3pY,Why Functional Programming Doesn't Matter,https://www.youtube.com/watch?v=kZ1P8cHN3pY,25:45,Why Functional Programming Doesn't Matter.md,28934,NotebookLM YouTube transcript import,
27,notebooklm_import_error,6JnzLq5NAmY,Incremental,https://www.youtube.com/watch?v=6JnzLq5NAmY,28:31,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
28,saved,eqkAaplKBc4,Raph Levien: A Taste of GPU Compute,https://www.youtube.com/watch?v=eqkAaplKBc4,1:05:07,Raph Levien- A Taste of GPU Compute.md,59075,NotebookLM YouTube transcript import,
29,notebooklm_import_error,28y18bgSaXo,Jane Street October 2019 Puzzle Solution,https://www.youtube.com/watch?v=28y18bgSaXo,0:40,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
30,saved,UtpLE6npxvk,Should you trade a Bouncy Stock | Quant Interview Questions,https://www.youtube.com/watch?v=UtpLE6npxvk,4:28,Should you trade a Bouncy Stock - Quant Interview Questions.md,1513,NotebookLM YouTube transcript import,
31,notebooklm_import_error,V9YA32uV3Ls,Build Systems with Andrey Mokhov,https://www.youtube.com/watch?v=V9YA32uV3Ls,57:54,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
32,notebooklm_import_error,o5gP9GmOshI,Heuristics and Biases,https://www.youtube.com/watch?v=o5gP9GmOshI,53:44,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
33,saved,5c0BvOlR5gs,Shriram Krishnamurthi: Curriculum Design as an Engineering Problem: Lessons from the Field,https://www.youtube.com/watch?v=5c0BvOlR5gs,1:10:18,Shriram Krishnamurthi- Curriculum Design as an Engineering Problem- Lessons from the Field.md,64851,NotebookLM YouTube transcript import,
34,saved,GJX5VbKvh90,Programmable Hardware with Andy Ray,https://www.youtube.com/watch?v=GJX5VbKvh90,59:27,Programmable Hardware with Andy Ray.md,57160,NotebookLM YouTube transcript import,
35,saved,X1cgRXhpQLY,OCaml All The Way Down,https://www.youtube.com/watch?v=X1cgRXhpQLY,1:02:35,OCaml All The Way Down.md,42646,NotebookLM YouTube transcript import,
36,saved,BysBMdx9w6k,"Safe at Any Speed: Building a Performant, Safe, Maintainable Packet Processor",https://www.youtube.com/watch?v=BysBMdx9w6k,57:57,"Safe at Any Speed- Building a Performant, Safe, Maintainable Packet Processor.md",59382,NotebookLM YouTube transcript import,
37,saved,-J8YyfrSwTk,Effective ML,https://www.youtube.com/watch?v=-J8YyfrSwTk,1:09:24,Effective ML.md,70694,NotebookLM YouTube transcript import,
