index,video_id,title,url,duration,upload_date
1,D3HXkHAksgE,Trading Secrets from a Jane Street Veteran - Craig Newbold Interview,https://www.youtube.com/watch?v=D3HXkHAksgE,1:01:54,
2,SetLtBH43_U,Memory Management with Stephen Dolan,https://www.youtube.com/watch?v=SetLtBH43_U,1:22:34,
3,NT1_A1AfBL0,Building a UI Framework with Ty Overby,https://www.youtube.com/watch?v=NT1_A1AfBL0,1:00:04,
4,Oh_iFh7Rofs,"Writing, Technically with James Somers",https://www.youtube.com/watch?v=Oh_iFh7Rofs,1:00:58,
5,KAg9DYqAThw,More Signals & Threads coming soon!,https://www.youtube.com/watch?v=KAg9DYqAThw,0:37,
6,V06-rpAllKg,"An Inside Look at Jane Street’s Tech Internship with Jeanne Van Briesen, Matt Else, and Grace Zhang",https://www.youtube.com/watch?v=V06-rpAllKg,1:02:52,
7,triyiLwqWUI,Multicast and the Markets with Brian Nigito,https://www.youtube.com/watch?v=triyiLwqWUI,1:02:19,
8,TonKYDgU-K4,Jane Street: Crypto Markets vs Equity Markets | Thomas Uhm,https://www.youtube.com/watch?v=TonKYDgU-K4,1:17:01,
9,1D12mim9cG8,"ALD20: Kristen, recruiter for Jane Street",https://www.youtube.com/watch?v=1D12mim9cG8,3:39,
10,gUCAugJKtwY,[Private video],https://www.youtube.com/watch?v=gUCAugJKtwY,,
11,SIsjD2bxuoc,The quant trader interview guide,https://www.youtube.com/watch?v=SIsjD2bxuoc,10:59,
12,1yjIq-_0kPs,[Private video],https://www.youtube.com/watch?v=1yjIq-_0kPs,,
13,b1e4t2k2KJY,How to Build an Exchange,https://www.youtube.com/watch?v=b1e4t2k2KJY,38:17,
14,beNeOSarMUM,Wall Street Firm Jane Street Capital includes Bitcoin in Traded Assets - $13 Billion Daily!,https://www.youtube.com/watch?v=beNeOSarMUM,5:05,
15,nEXpdgRSchM,[Private video],https://www.youtube.com/watch?v=nEXpdgRSchM,,
16,MUqvXHEjmus,How Jane Street Does Code Review,https://www.youtube.com/watch?v=MUqvXHEjmus,56:06,
17,_1ECfnTqWzk,How Sam Bankman-Fried became a Billionaire,https://www.youtube.com/watch?v=_1ECfnTqWzk,16:03,
18,FnBPECrSC7o,Caml Trading,https://www.youtube.com/watch?v=FnBPECrSC7o,1:12:41,
19,8IeOCdm7KDo,"ALD20: Alice, software developer at Jane Street",https://www.youtube.com/watch?v=8IeOCdm7KDo,2:35,
20,1yjIq-_0kPs,[Private video],https://www.youtube.com/watch?v=1yjIq-_0kPs,,
21,co08H9zNdBg,How to solve quant puzzles,https://www.youtube.com/watch?v=co08H9zNdBg,13:09,
22,Kt1R8QtXYUY,Day in the Life of a Quant Hedge Fund Trader (Quarantine Edition),https://www.youtube.com/watch?v=Kt1R8QtXYUY,3:52,
23,bY4oO13YhsQ,[Private video],https://www.youtube.com/watch?v=bY4oO13YhsQ,,
24,d_-cM7EjDgU,"ALD20: Val, software engineer for Jane Street",https://www.youtube.com/watch?v=d_-cM7EjDgU,3:29,
25,v1CmGbOGb2I,Why OCaml,https://www.youtube.com/watch?v=v1CmGbOGb2I,1:06:40,
26,kZ1P8cHN3pY,Why Functional Programming Doesn't Matter,https://www.youtube.com/watch?v=kZ1P8cHN3pY,25:45,
27,6JnzLq5NAmY,Incremental,https://www.youtube.com/watch?v=6JnzLq5NAmY,28:31,
28,eqkAaplKBc4,Raph Levien: A Taste of GPU Compute,https://www.youtube.com/watch?v=eqkAaplKBc4,1:05:07,
29,28y18bgSaXo,Jane Street October 2019 Puzzle Solution,https://www.youtube.com/watch?v=28y18bgSaXo,0:40,
30,UtpLE6npxvk,Should you trade a Bouncy Stock | Quant Interview Questions,https://www.youtube.com/watch?v=UtpLE6npxvk,4:28,
31,V9YA32uV3Ls,Build Systems with Andrey Mokhov,https://www.youtube.com/watch?v=V9YA32uV3Ls,57:54,
32,o5gP9GmOshI,Heuristics and Biases,https://www.youtube.com/watch?v=o5gP9GmOshI,53:44,
33,5c0BvOlR5gs,Shriram Krishnamurthi: Curriculum Design as an Engineering Problem: Lessons from the Field,https://www.youtube.com/watch?v=5c0BvOlR5gs,1:10:18,
34,GJX5VbKvh90,Programmable Hardware with Andy Ray,https://www.youtube.com/watch?v=GJX5VbKvh90,59:27,
35,X1cgRXhpQLY,OCaml All The Way Down,https://www.youtube.com/watch?v=X1cgRXhpQLY,1:02:35,
36,BysBMdx9w6k,"Safe at Any Speed: Building a Performant, Safe, Maintainable Packet Processor",https://www.youtube.com/watch?v=BysBMdx9w6k,57:57,
37,-J8YyfrSwTk,Effective ML,https://www.youtube.com/watch?v=-J8YyfrSwTk,1:09:24,
