index,video_id,title,url,duration,upload_date
1,QNznD9hMEh0,Jim Simons (full length interview) - Numberphile,https://www.youtube.com/watch?v=QNznD9hMEh0,1:00:43,
2,Tj1NyJHLvWA,"James H. Simons: Mathematics, Common Sense and Good Luck",https://www.youtube.com/watch?v=Tj1NyJHLvWA,1:20:37,
3,U5kIdtMJGc8,The mathematician who cracked Wall Street | Jim Simons,https://www.youtube.com/watch?v=U5kIdtMJGc8,23:08,
4,8JaSTf3oSTA,Jim Simons: Pinnacle of Trading Greatness · Greg Zuckerman,https://www.youtube.com/watch?v=8JaSTf3oSTA,1:04:26,
5,eUVzb6uv0O0,"A life in 5 parts: Math, Codes, Hunting Talent, Stocks & Science | Jim Simons on The Origins Podcast",https://www.youtube.com/watch?v=eUVzb6uv0O0,1:42:41,
6,6fr8XOtbPqM,Jim Simons: Life Lessons from the ‘World’s Smartest Billionaire' (Ep. 54),https://www.youtube.com/watch?v=6fr8XOtbPqM,1:24:42,
7,uST49CNF_RQ,NAS Research Briefings: James Simons - My Peregrinations through Mathematics,https://www.youtube.com/watch?v=uST49CNF_RQ,22:47,
8,jGboCWksDJU,"Mind Brain Lecture 2016: with Alan Alda, Eric Kandel and Jim Simons",https://www.youtube.com/watch?v=jGboCWksDJU,1:00:25,
9,tWN_Fw5rLvI,RR #97 - Greg Zuckerman: Did Jim Simons (Renaissance Technologies) Solve the Market?,https://www.youtube.com/watch?v=tWN_Fw5rLvI,43:31,
10,dKxzh75a4oc,TIP273: Billionaire Quant Jim Simons - With Gregory Zuckerman,https://www.youtube.com/watch?v=dKxzh75a4oc,37:09,
11,HVqxs0YBp4g,"Dr. James Simons, S. Donald Sussman Fellowship Award Fireside Chat Series. Chat 1. February 27, 2019",https://www.youtube.com/watch?v=HVqxs0YBp4g,1:24:24,
12,w8o-qC8E5ic,"Dr. James Simons, S. Donald Sussman Fellowship Award Fireside Chat Series. Chat 3. March 13, 2019",https://www.youtube.com/watch?v=w8o-qC8E5ic,1:21:53,
13,Tl90VSRRkBE,The roots of differential cohomology | James H. Simons | Лекториум,https://www.youtube.com/watch?v=Tl90VSRRkBE,1:35:30,
14,scHYR_ALl1c,Jim Simons THE MAN WHO SOLVED THE MARKET by Greg Zuckerman (040),https://www.youtube.com/watch?v=scHYR_ALl1c,46:53,
