index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,MLgn_kVKjCE,"Jack Bogle on Index Funds, Vanguard, and Investing Advice",https://www.youtube.com/watch?v=MLgn_kVKjCE,51:14,"Jack Bogle on Index Funds, Vanguard, and Investing Advice.md",47950,NotebookLM YouTube transcript import,
2,saved,3uJbHREmUs4,In Pursuit of the Perfect Portfolio: John C. Bogle,https://www.youtube.com/watch?v=3uJbHREmUs4,1:01:40,In Pursuit of the Perfect Portfolio- John C. Bogle.md,52027,NotebookLM YouTube transcript import,
3,notebooklm_import_error,MRV0L7RDlqU,A Conversation with John C. Bogle,https://www.youtube.com/watch?v=MRV0L7RDlqU,58:47,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
4,saved,nWI64TKU64o,"Vanguard Founder Jack Bogle on Mutual Funds, Common Sense Investing and the Stock Market",https://www.youtube.com/watch?v=nWI64TKU64o,1:08:43,"Vanguard Founder Jack Bogle on Mutual Funds, Common Sense Investing and the Stock Market.md",1413,NotebookLM YouTube transcript import,
5,saved,L-QQ_XtZNNI,Legendary John Bogle Shares the Investment Lessons of a Lifetime (Historical),https://www.youtube.com/watch?v=L-QQ_XtZNNI,46:32,Legendary John Bogle Shares the Investment Lessons of a Lifetime (Historical).md,43871,NotebookLM YouTube transcript import,
6,saved,NeP-rJeZ0Kc,"Investing Insights: Christine Benz Interviews Jack Bogle, Netflix Earnings, and More",https://www.youtube.com/watch?v=NeP-rJeZ0Kc,25:38,"Investing Insights- Christine Benz Interviews Jack Bogle, Netflix Earnings, and More.md",24195,NotebookLM YouTube transcript import,
7,saved,mA62qqiYZWU,John C. Bogle - The Battle for the Soul of Capitalism,https://www.youtube.com/watch?v=mA62qqiYZWU,55:18,John C. Bogle - The Battle for the Soul of Capitalism.md,49678,NotebookLM YouTube transcript import,
8,saved,k_mXMdbQTA4,NPC Luncheon with John Bogle,https://www.youtube.com/watch?v=k_mXMdbQTA4,57:36,NPC Luncheon with John Bogle.md,53680,NotebookLM YouTube transcript import,
9,saved,VBdE0nV94Q8,"Interview with Vanguard Founder, Jack Bogle (Full Version)",https://www.youtube.com/watch?v=VBdE0nV94Q8,58:54,"Interview with Vanguard Founder, Jack Bogle (Full Version).md",55959,NotebookLM YouTube transcript import,
10,notebooklm_import_error,xa3V2GBSehs,An Evening with John Bogle: From Wall Street to Your Street,https://www.youtube.com/watch?v=xa3V2GBSehs,55:04,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
11,saved,8OFBURhPNiU,John Bogle:  Present and Future 1929 - 2019,https://www.youtube.com/watch?v=8OFBURhPNiU,14:19,John Bogle- Present and Future 1929 - 2019.md,12314,NotebookLM YouTube transcript import,
12,notebooklm_import_error,p94paEpLLpI,John Bogle and Ron Muhlenkamp,https://www.youtube.com/watch?v=p94paEpLLpI,26:47,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
13,saved,eoNIaI7sZls,Bogleheads® Conference 2018 - John Bogle Q & A,https://www.youtube.com/watch?v=eoNIaI7sZls,1:24:41,Bogleheads® Conference 2018 - John Bogle Q & A.md,65242,NotebookLM YouTube transcript import,
14,saved,PulaxAUcFp4,Bogleheads® Conference 2018 -John Bogle Keynote 2018,https://www.youtube.com/watch?v=PulaxAUcFp4,1:39:58,Bogleheads® Conference 2018 -John Bogle Keynote 2018.md,75500,NotebookLM YouTube transcript import,
15,saved,W9uB7hsd9ZM,Rosemont College Ethics and Leadership Symposium: Keynote Speaker John Bogle,https://www.youtube.com/watch?v=W9uB7hsd9ZM,59:22,Rosemont College Ethics and Leadership Symposium- Keynote Speaker John Bogle.md,50228,NotebookLM YouTube transcript import,
16,saved,XdL5QZ3FHCI,Bogleheads® Conference 2017 - John Bogle Keynote,https://www.youtube.com/watch?v=XdL5QZ3FHCI,1:40:01,Bogleheads® Conference 2017 - John Bogle Keynote.md,73917,NotebookLM YouTube transcript import,
17,saved,MNxGpjD3ne0,Bogleheads® Conference 2012 - John Bogle Q & A,https://www.youtube.com/watch?v=MNxGpjD3ne0,34:53,Bogleheads® Conference 2012 - John Bogle Q & A.md,29835,NotebookLM YouTube transcript import,
18,saved,6Qg959oYCxU,"Jack Bogle, Founder of The Vanguard Group | A Motley Fool Special Interview",https://www.youtube.com/watch?v=6Qg959oYCxU,58:46,"Jack Bogle, Founder of The Vanguard Group - A Motley Fool Special Interview.md",53477,NotebookLM YouTube transcript import,
19,saved,byNIu6e7Sbs,Vanguard Webcast: Vanguard Founder Jack Bogle marks 65 years in the financial services industry,https://www.youtube.com/watch?v=byNIu6e7Sbs,1:09:44,Vanguard Webcast- Vanguard Founder Jack Bogle marks 65 years in the financial services industry.md,64482,NotebookLM YouTube transcript import,
20,saved,YgonFBH-RuM,John Bogle,https://www.youtube.com/watch?v=YgonFBH-RuM,26:46,John Bogle.md,24954,NotebookLM YouTube transcript import,
