index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,yg8IwN2YSPY,How The Godfather of Hedge Funds Went T*ts Up,https://www.youtube.com/watch?v=yg8IwN2YSPY,9:14,How The Godfather of Hedge Funds Went T-ts Up.md,9910,NotebookLM YouTube transcript import,
2,saved,8gOE71qwmZ4,Lessons From Julian Robertson's Tiger Management and The Archegos Chaos,https://www.youtube.com/watch?v=8gOE71qwmZ4,6:52,Lessons From Julian Robertson's Tiger Management and The Archegos Chaos.md,7821,NotebookLM YouTube transcript import,
3,saved,z8yxRt2Atfk,#SecretsSelfmadeBillionaires0673 JulianRobertson TigerFund&TigerCubs,https://www.youtube.com/watch?v=z8yxRt2Atfk,5:25,#SecretsSelfmadeBillionaires0673 JulianRobertson TigerFund&TigerCubs.md,3816,NotebookLM YouTube transcript import,
4,saved,AsposEFoeCs,Watch CNBC's full interview with billionaire investor Julian Robertson,https://www.youtube.com/watch?v=AsposEFoeCs,20:04,Watch CNBC's full interview with billionaire investor Julian Robertson.md,13485,NotebookLM YouTube transcript import,
5,saved,-3UV5cCQ9YA,Julian Robertson on CNBC,https://www.youtube.com/watch?v=-3UV5cCQ9YA,10:43,Julian Robertson on CNBC.md,8594,NotebookLM YouTube transcript import,
6,saved,hgbYIA6BIwU,Julian Robertson - Opalesque.TV interview Part 1,https://www.youtube.com/watch?v=hgbYIA6BIwU,6:59,Julian Robertson - Opalesque.TV interview Part 1.md,1375,NotebookLM YouTube transcript import,
7,saved,S95xknkd4n4,Julian Robertson - Opalesque.TV interview Part 2,https://www.youtube.com/watch?v=S95xknkd4n4,5:42,Julian Robertson - Opalesque.TV interview Part 2.md,1375,NotebookLM YouTube transcript import,
8,saved,apco3D5B_7A,"Julian Robertson, Founder & Former CEO - Tiger Management",https://www.youtube.com/watch?v=apco3D5B_7A,6:51,"Julian Robertson, Founder & Former CEO - Tiger Management.md",5201,NotebookLM YouTube transcript import,
9,saved,zRuPhB-2PUE,20081013 Julian Robertson calls poor economy for 10-15 yrs,https://www.youtube.com/watch?v=zRuPhB-2PUE,5:33,20081013 Julian Robertson calls poor economy for 10-15 yrs.md,5082,NotebookLM YouTube transcript import,
10,saved,lV_KNHcYlAc,Golf Getaway at Kauri Cliffs-Interview with owner Julian Robertson,https://www.youtube.com/watch?v=lV_KNHcYlAc,3:13,Golf Getaway at Kauri Cliffs-Interview with owner Julian Robertson.md,2640,NotebookLM YouTube transcript import,
11,saved,JWkpXfKjWjA,Julian Robertson Receives 2017 Carnegie Medal of Philanthropy,https://www.youtube.com/watch?v=JWkpXfKjWjA,3:23,Julian Robertson Receives 2017 Carnegie Medal of Philanthropy.md,2312,NotebookLM YouTube transcript import,
12,saved,mtRVAXiFxYM,Robertson Says Buy `Curve Caps' to Hedge Rate Hikes: Video,https://www.youtube.com/watch?v=mtRVAXiFxYM,3:45,Robertson Says Buy `Curve Caps' to Hedge Rate Hikes- Video.md,3495,NotebookLM YouTube transcript import,
13,saved,jnUQ1vYTVwA,Julian Robertson: Banks are in terrific shape,https://www.youtube.com/watch?v=jnUQ1vYTVwA,3:27,Julian Robertson- Banks are in terrific shape.md,2930,NotebookLM YouTube transcript import,
14,saved,RjN9RjyoL2o,"Tom Purcell, Former CIO of Viking Global Investors, a Tiger Cub Hedge Fund, on Investing and Markets",https://www.youtube.com/watch?v=RjN9RjyoL2o,48:15,"Tom Purcell, Former CIO of Viking Global Investors, a Tiger Cub Hedge Fund, on Investing and Markets.md",44845,NotebookLM YouTube transcript import,
