index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,Ulmq6I8aH40,House of Ken Griffin – The Story of Citadel | A Documentary,https://www.youtube.com/watch?v=Ulmq6I8aH40,14:05,House of Ken Griffin – The Story of Citadel - A Documentary.md,12205,NotebookLM YouTube transcript import,
2,saved,5KOT0_I4Fvw,Citadel CEO Ken Griffin On Seeking Out Talent With Exceptional Problem Solving Skills | CNBC,https://www.youtube.com/watch?v=5KOT0_I4Fvw,11:30,Citadel CEO Ken Griffin On Seeking Out Talent With Exceptional Problem Solving Skills - CNBC.md,12455,NotebookLM YouTube transcript import,
3,saved,yP79mQSlGbg,Leaders of Global Finance Speakers Series presents Kenneth Griffin,https://www.youtube.com/watch?v=yP79mQSlGbg,43:52,Leaders of Global Finance Speakers Series presents Kenneth Griffin.md,40000,NotebookLM YouTube transcript import,
4,saved,dFE3X9qjWd0,"Kenneth C. Griffin, Founder & CEO, Citadel, 10/4/21",https://www.youtube.com/watch?v=dFE3X9qjWd0,1:13:18,"Kenneth C. Griffin, Founder & CEO, Citadel, 10-4-21.md",61852,NotebookLM YouTube transcript import,
5,saved,yF-WTRoSPhg,"Ken Griffin Talks Crypto, Digital Currency and The Future of the Economy | DealBook Online Summit",https://www.youtube.com/watch?v=yF-WTRoSPhg,27:32,"Ken Griffin Talks Crypto, Digital Currency and The Future of the Economy - DealBook Online Summit.md",26554,NotebookLM YouTube transcript import,
6,saved,3WG00XcLFJs,"Citadel CEO Ken Griffin on Hedge Funds, Financial Regulation",https://www.youtube.com/watch?v=3WG00XcLFJs,19:44,"Citadel CEO Ken Griffin on Hedge Funds, Financial Regulation.md",19187,NotebookLM YouTube transcript import,
7,saved,CSfvVgj7JAM,Ken Griffin: From Starting a Hedge Fund in His Dorm Room to Billionaire Investor,https://www.youtube.com/watch?v=CSfvVgj7JAM,16:26,Ken Griffin- From Starting a Hedge Fund in His Dorm Room to Billionaire Investor.md,12284,NotebookLM YouTube transcript import,
8,saved,_wRQIhtX0Wo,The David Rubenstein Show: Citadel's Ken Griffin,https://www.youtube.com/watch?v=_wRQIhtX0Wo,24:06,The David Rubenstein Show- Citadel's Ken Griffin.md,22391,NotebookLM YouTube transcript import,
9,saved,zBeth62yU8w,The Global Investment Outlook in a Late Stage Cycle,https://www.youtube.com/watch?v=zBeth62yU8w,32:13,The Global Investment Outlook in a Late Stage Cycle.md,30207,NotebookLM YouTube transcript import,
10,saved,KDOajLi2-Hs,Citadel CEO Ken Griffin Says China Won’t Escape Impact of U.S. Monetary Tightening,https://www.youtube.com/watch?v=KDOajLi2-Hs,15:15,Citadel CEO Ken Griffin Says China Won’t Escape Impact of U.S. Monetary Tightening.md,13187,NotebookLM YouTube transcript import,
11,notebooklm_import_error,bM2BZL54O6o,Ken Griffin: How Talent and Technology Are Shaping the Markets,https://www.youtube.com/watch?v=bM2BZL54O6o,15:28,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
12,notebooklm_import_error,2iDDDRfZ0I0,Untitled,https://www.youtube.com/watch?v=2iDDDRfZ0I0,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
13,saved,ZWb7yHuYf14,Ken Griffin on Bloomberg  Oct 4th   Mr. Griffin comments on Chicago Crime,https://www.youtube.com/watch?v=ZWb7yHuYf14,16:01,Ken Griffin on Bloomberg Oct 4th Mr. Griffin comments on Chicago Crime.md,12778,NotebookLM YouTube transcript import,
14,saved,RNgzOr-m6ok,Rep. Sherman asks Citadel CEO Griffin about payment for order flow at GameStop hearing,https://www.youtube.com/watch?v=RNgzOr-m6ok,5:13,Rep. Sherman asks Citadel CEO Griffin about payment for order flow at GameStop hearing.md,4325,NotebookLM YouTube transcript import,
15,notebooklm_import_error,5_f2AEiHY8w,Ken Griffin Visits “War Stories Over Board Games” to Talk Lessons Learned Over Career,https://www.youtube.com/watch?v=5_f2AEiHY8w,5:39,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
16,notebooklm_import_error,xSpGQvgy4YQ,Ken Griffin on Inspiring the Next Generation of Talent,https://www.youtube.com/watch?v=xSpGQvgy4YQ,5:44,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
17,notebooklm_import_error,UqO6gtNP9SU,Ken Griffin Discusses Markets and Policy in CNBC Interview,https://www.youtube.com/watch?v=UqO6gtNP9SU,14:58,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
18,saved,kMC9HUjhCIE,We handle roughly 40% of retail volume: Citadel CEO at GameStop hearing,https://www.youtube.com/watch?v=kMC9HUjhCIE,5:10,We handle roughly 40% of retail volume- Citadel CEO at GameStop hearing.md,4216,NotebookLM YouTube transcript import,
19,notebooklm_import_error,vFeKmMBky40,A Conversation with Ken Griffin and Steve Schwarzman,https://www.youtube.com/watch?v=vFeKmMBky40,1:02:17,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
20,notebooklm_import_error,nPxy4_3aSzo,A Conversation With Ken Griffin and Mohamed El-Erian,https://www.youtube.com/watch?v=nPxy4_3aSzo,57:29,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
21,saved,_76ZkKpdLAw,"Perspectives on What's Ahead: A Conversation with Kenneth C. Griffin Founder,  CEO Citadel",https://www.youtube.com/watch?v=_76ZkKpdLAw,1:07:00,"Perspectives on What's Ahead- A Conversation with Kenneth C. Griffin Founder, CEO Citadel.md",57924,NotebookLM YouTube transcript import,
22,notebooklm_import_error,FzKvnz-EZFA,"Ken Griffin, Founder and CEO of Citadel",https://www.youtube.com/watch?v=FzKvnz-EZFA,24:26,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
23,saved,Oq-8Umqsq7A,In Conversation With Ken Griffin,https://www.youtube.com/watch?v=Oq-8Umqsq7A,25:16,In Conversation With Ken Griffin.md,22338,NotebookLM YouTube transcript import,
24,saved,gh6CjVgIia8,"Kenneth Griffin, Founder & CEO, Citadel, 5/20/13",https://www.youtube.com/watch?v=gh6CjVgIia8,1:05:02,"Kenneth Griffin, Founder & CEO, Citadel, 5-20-13.md",1361,NotebookLM YouTube transcript import,
25,saved,SH3JC1ilUZM,In Conversation with Citadel's Ken Griffin,https://www.youtube.com/watch?v=SH3JC1ilUZM,33:24,In Conversation with Citadel's Ken Griffin.md,14088,NotebookLM YouTube transcript import,
26,saved,nOPE3vnftig,"Ken Griffin Talks Investing, US Economy at the Qatar Economic Forum 2024",https://www.youtube.com/watch?v=nOPE3vnftig,25:16,"Ken Griffin Talks Investing, US Economy at the Qatar Economic Forum 2024.md",22521,NotebookLM YouTube transcript import,
