index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,notebooklm_import_error,q_j-jRttfV0,"Laurence D. Fink, Chairman and Chief Executive Officer, BlackRock, Inc.",https://www.youtube.com/watch?v=q_j-jRttfV0,46:56,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
2,saved,rFYDf9ONvIg,Focusing on Long Term Investment Results -- What Investors Need to Know,https://www.youtube.com/watch?v=rFYDf9ONvIg,22:01,Focusing on Long Term Investment Results -- What Investors Need to Know.md,19620,NotebookLM YouTube transcript import,
3,notebooklm_import_error,j0hk6Vavaek,Watch CNBC's full interview with BlackRock CEO Larry Fink,https://www.youtube.com/watch?v=j0hk6Vavaek,18:09,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
4,saved,TXeYxSWNFQM,BlackRock CEO Larry Fink Champions Purpose,https://www.youtube.com/watch?v=TXeYxSWNFQM,58:01,BlackRock CEO Larry Fink Champions Purpose.md,51471,NotebookLM YouTube transcript import,
5,saved,stWb_1S6_qo,"Full interview with BlackRock CEO Larry Fink on earnings, reopening the economy and more",https://www.youtube.com/watch?v=stWb_1S6_qo,24:47,"Full interview with BlackRock CEO Larry Fink on earnings, reopening the economy and more.md",20492,NotebookLM YouTube transcript import,
6,notebooklm_import_error,NOh7-ieoFVo,Watch CNBC's full interview with BlackRock CEO Larry Fink,https://www.youtube.com/watch?v=NOh7-ieoFVo,13:42,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
7,saved,Q8WmhWQ8MIM,BlackRock CEO Larry Fink: Profits With A Purpose Are Vital For Survivability & Profitability | CNBC,https://www.youtube.com/watch?v=Q8WmhWQ8MIM,11:41,BlackRock CEO Larry Fink- Profits With A Purpose Are Vital For Survivability & Profitability - CNBC.md,11398,NotebookLM YouTube transcript import,
8,saved,pfVdM3W7r4E,BlackRock's Fink Says Trade Tensions May Sink Stocks,https://www.youtube.com/watch?v=pfVdM3W7r4E,29:53,BlackRock's Fink Says Trade Tensions May Sink Stocks.md,27513,NotebookLM YouTube transcript import,
9,saved,z37e_CD986A,BlackRock Chairman And CEO Larry Fink One On One About The Company's Growth Strategy (Full) | CNBC,https://www.youtube.com/watch?v=z37e_CD986A,16:37,BlackRock Chairman And CEO Larry Fink One On One About The Company's Growth Strategy (Full) - CNBC.md,3308,NotebookLM YouTube transcript import,
10,saved,OXuOPEsTQ0k,BlackRock's Fink: Modern Monetary Theory Is 'Garbage',https://www.youtube.com/watch?v=OXuOPEsTQ0k,5:10,BlackRock's Fink- Modern Monetary Theory Is 'Garbage'.md,4826,NotebookLM YouTube transcript import,
11,notebooklm_import_error,PZFgBwebR1g,"AIC 2013 Interview: Laurence D. Fink, CEO BlackRock - Trends in the World of Investing",https://www.youtube.com/watch?v=PZFgBwebR1g,7:06,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
12,saved,ha8VqOCsMXI,Global Finance: View From the Top,https://www.youtube.com/watch?v=ha8VqOCsMXI,29:56,Global Finance- View From the Top.md,28173,NotebookLM YouTube transcript import,
13,saved,1Y9mtzYTCEI,The Big Interview: Larry Fink,https://www.youtube.com/watch?v=1Y9mtzYTCEI,4:43,The Big Interview- Larry Fink.md,4178,NotebookLM YouTube transcript import,
14,saved,yEgo08b19E8,BlackRock's Larry Fink: Institutional clients fascinated by crypto but not that interested,https://www.youtube.com/watch?v=yEgo08b19E8,4:20,BlackRock's Larry Fink- Institutional clients fascinated by crypto but not that interested.md,4264,NotebookLM YouTube transcript import,
15,saved,yopT7XOCiQ0,BlackRock CEO Larry Fink: Finance world now knows the importance of sustainability,https://www.youtube.com/watch?v=yopT7XOCiQ0,3:47,BlackRock CEO Larry Fink- Finance world now knows the importance of sustainability.md,3641,NotebookLM YouTube transcript import,
