index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,dpJvcS31mac,"My Productive PhD Student Workflow | ft. ATLAS.ti, Notion, Zotero, Transkribus, and more!",https://www.youtube.com/watch?v=dpJvcS31mac,,"My Productive PhD Student Workflow - ft. ATLAS.ti, Notion, Zotero, Transkribus, and more!.md",26315,NotebookLM YouTube transcript import,
2,saved,LAFZz1zuckM,How to Write Like a PhD Student | Essay Writing Tips from a Yale PhD Student,https://www.youtube.com/watch?v=LAFZz1zuckM,,How to Write Like a PhD Student - Essay Writing Tips from a Yale PhD Student.md,10761,NotebookLM YouTube transcript import,
3,saved,EOX6PAFMy3Y,How to Read & Take Notes Like a PhD Student | Tips for Reading Fast & Efficiently for Slow Readers,https://www.youtube.com/watch?v=EOX6PAFMy3Y,,How to Read & Take Notes Like a PhD Student - Tips for Reading Fast & Efficiently for Slow Readers.md,16636,NotebookLM YouTube transcript import,
4,saved,15_IFKM0fww,How I Use Notion as a PhD Student & Why You Should Too,https://www.youtube.com/watch?v=15_IFKM0fww,,How I Use Notion as a PhD Student & Why You Should Too.md,31141,NotebookLM YouTube transcript import,
5,saved,hO_z592SJcM,How To Write a Research Paper QUICKLY | Advice from a PhD Student,https://www.youtube.com/watch?v=hO_z592SJcM,,How To Write a Research Paper QUICKLY - Advice from a PhD Student.md,8608,NotebookLM YouTube transcript import,
6,saved,xNDQTE2jaHI,How to Write a Literature Review Essay Like a PhD Student #AD,https://www.youtube.com/watch?v=xNDQTE2jaHI,,How to Write a Literature Review Essay Like a PhD Student #AD.md,13980,NotebookLM YouTube transcript import,
7,saved,-sa1NiyHyyw,How to Take Notes Like a PhD Student | A Beginner's Guide to A+ Note Taking,https://www.youtube.com/watch?v=-sa1NiyHyyw,,How to Take Notes Like a PhD Student - A Beginner's Guide to A+ Note Taking.md,20027,NotebookLM YouTube transcript import,
8,saved,rQeNi3lfF0o,How to Think Like a PhD Student | Critical Thinking Skills Used By Academics,https://www.youtube.com/watch?v=rQeNi3lfF0o,,How to Think Like a PhD Student - Critical Thinking Skills Used By Academics.md,17553,NotebookLM YouTube transcript import,
9,saved,V8R3m_YgeJE,How to Become an Independent Scholar & Researcher,https://www.youtube.com/watch?v=V8R3m_YgeJE,,How to Become an Independent Scholar & Researcher.md,18103,NotebookLM YouTube transcript import,
10,saved,6FUiSuGFcC0,How to Read & Annotate PDF Academic Article Like a PhD Student on an iPad or Mac Using Goodnotes,https://www.youtube.com/watch?v=6FUiSuGFcC0,,How to Read & Annotate PDF Academic Article Like a PhD Student on an iPad or Mac Using Goodnotes.md,12565,NotebookLM YouTube transcript import,
11,saved,7_UtgHQilZI,How I Organize & Read Hundreds of Historic Documents (using Tropy & Transkribus),https://www.youtube.com/watch?v=7_UtgHQilZI,,How I Organize & Read Hundreds of Historic Documents (using Tropy & Transkribus).md,12241,NotebookLM YouTube transcript import,
