index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,BRUlSm4gdQ4,The 7 Reasons Most Machine Learning Funds Fail Marcos Lopez de Prado from QuantCon 2018,https://www.youtube.com/watch?v=BRUlSm4gdQ4,1:13:36,The 7 Reasons Most Machine Learning Funds Fail Marcos Lopez de Prado from QuantCon 2018.md,56039,NotebookLM YouTube transcript import,
2,saved,QxhxLwNbMMg,Dangers of Backtest Overfitting - Marcos Lopez de Prado,https://www.youtube.com/watch?v=QxhxLwNbMMg,20:41,Dangers of Backtest Overfitting - Marcos Lopez de Prado.md,15992,NotebookLM YouTube transcript import,
3,saved,pRurbL9-Lus,Ten Financial Applications of  Machine Learning | Dr. Marcos López de Prado,https://www.youtube.com/watch?v=pRurbL9-Lus,43:45,Ten Financial Applications of Machine Learning - Dr. Marcos López de Prado.md,28433,NotebookLM YouTube transcript import,
4,saved,ncqnDl1VM-c,Uncovering Behavioural Biases with Machine Learning | London Business School,https://www.youtube.com/watch?v=ncqnDl1VM-c,29:21,Uncovering Behavioural Biases with Machine Learning - London Business School.md,21158,NotebookLM YouTube transcript import,
5,saved,tODXAJDZtow,Machine Learning for Asset Managers with Marcos Lopez de Prado,https://www.youtube.com/watch?v=tODXAJDZtow,1:31:27,Machine Learning for Asset Managers with Marcos Lopez de Prado.md,66655,NotebookLM YouTube transcript import,
6,saved,rz3iPpybwqk,The Impact of AI on Jobs in the Financial Sector,https://www.youtube.com/watch?v=rz3iPpybwqk,8:18,The Impact of AI on Jobs in the Financial Sector.md,8495,NotebookLM YouTube transcript import,
7,saved,3gxx0QBuznI,External Data Conference | Ten Financial Applications of Machine Learning | Marcos Lopez de Prado,https://www.youtube.com/watch?v=3gxx0QBuznI,31:55,External Data Conference - Ten Financial Applications of Machine Learning - Marcos Lopez de Prado.md,24497,NotebookLM YouTube transcript import,
8,saved,n7X49dxOUGA,Stevens Institute of Technology: Heath Lecture Series - Marco Lopez de Prado,https://www.youtube.com/watch?v=n7X49dxOUGA,44:59,Stevens Institute of Technology- Heath Lecture Series - Marco Lopez de Prado.md,33090,NotebookLM YouTube transcript import,
9,saved,kU7vk9jmQC8,Quantum Computing | Marcos López de Prado | Exponential Finance,https://www.youtube.com/watch?v=kU7vk9jmQC8,29:02,Quantum Computing - Marcos López de Prado - Exponential Finance.md,21569,NotebookLM YouTube transcript import,
10,saved,npA8sI-k328,"Marcos Lopez de Prado: ""The 7 Reasons Most Machine Learning Funds Fail""",https://www.youtube.com/watch?v=npA8sI-k328,1:14:58,Marcos Lopez de Prado- -The 7 Reasons Most Machine Learning Funds Fail-.md,44975,NotebookLM YouTube transcript import,
11,notebooklm_import_error,WoB3oPfWDF0,Untitled,https://www.youtube.com/watch?v=WoB3oPfWDF0,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
12,saved,UODdqHh7ZNM,"Global Derivatives 2015 - Interview with Marcos Lopez de Prado, Guggenheim Partners",https://www.youtube.com/watch?v=UODdqHh7ZNM,3:32,"Global Derivatives 2015 - Interview with Marcos Lopez de Prado, Guggenheim Partners.md",3322,NotebookLM YouTube transcript import,
13,saved,1XGM3mlcjsA,"In conversation with: Marcos Lopez de Prado, ADIA",https://www.youtube.com/watch?v=1XGM3mlcjsA,4:27,"In conversation with- Marcos Lopez de Prado, ADIA.md",4028,NotebookLM YouTube transcript import,
14,saved,9o5ip8zr3JM,Machine learning in Finance: Fireside chat with Marcos Lopez de Prado,https://www.youtube.com/watch?v=9o5ip8zr3JM,15:30,Machine learning in Finance- Fireside chat with Marcos Lopez de Prado.md,12530,NotebookLM YouTube transcript import,
15,saved,0_4gZWrRSUk,KEYNOTE PRESENTATION by Marcos Lopez de Prado from Cornell University,https://www.youtube.com/watch?v=0_4gZWrRSUk,43:13,KEYNOTE PRESENTATION by Marcos Lopez de Prado from Cornell University.md,30736,NotebookLM YouTube transcript import,
16,saved,2lawJjrnvrY,Marcos Lopez de Prado: Machine Learning could become the primary application of quantum computers,https://www.youtube.com/watch?v=2lawJjrnvrY,5:38,Marcos Lopez de Prado- Machine Learning could become the primary application of quantum computers.md,5026,NotebookLM YouTube transcript import,
17,saved,8FPQKYehdDA,Tom Capital Investors Webinar 2020 with Marcos Lòpez de Prado and Thomas Stämpfli,https://www.youtube.com/watch?v=8FPQKYehdDA,59:35,Tom Capital Investors Webinar 2020 with Marcos Lòpez de Prado and Thomas Stämpfli.md,41780,NotebookLM YouTube transcript import,
18,saved,rDx9vl5Z7wo,Machine learning asset allocation,https://www.youtube.com/watch?v=rDx9vl5Z7wo,1:01:43,Machine learning asset allocation.md,44485,NotebookLM YouTube transcript import,
19,saved,ep2kNf5gdKU,New frontiers: the panel discuss,https://www.youtube.com/watch?v=ep2kNf5gdKU,27:12,New frontiers- the panel discuss.md,24147,NotebookLM YouTube transcript import,
20,saved,z3SbclyhOd0,What Makes Quantum Computing  so Controversial? | The Future Of Finance | Singularity University,https://www.youtube.com/watch?v=z3SbclyhOd0,5:29,What Makes Quantum Computing so Controversial- - The Future Of Finance - Singularity University.md,4191,NotebookLM YouTube transcript import,
21,notebooklm_import_error,9w7A4JCd-vk,Untitled,https://www.youtube.com/watch?v=9w7A4JCd-vk,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
22,saved,p5Qdlg2SKRw,"Replicability in AI, P-Hacking and implications in Quant. Finance - Prof. Lopez De Prado & Dr. Simon",https://www.youtube.com/watch?v=p5Qdlg2SKRw,37:46,"Replicability in AI, P-Hacking and implications in Quant. Finance - Prof. Lopez De Prado & Dr. Simon.md",29492,NotebookLM YouTube transcript import,
23,notebooklm_import_error,sDhrwJ-fG0c,The Four Horsemen of Machine Learning in Finance,https://www.youtube.com/watch?v=sDhrwJ-fG0c,29:41,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
