index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,_BiKcSseOnw,Quant Trading and Superpowers - Morgan Slade,https://www.youtube.com/watch?v=_BiKcSseOnw,12:13,Quant Trading and Superpowers - Morgan Slade.md,11481,NotebookLM YouTube transcript import,
2,saved,EbWbeYu8zwg,"Trading strategies, powered by machine learning · Morgan Slade",https://www.youtube.com/watch?v=EbWbeYu8zwg,1:10:09,"Trading strategies, powered by machine learning · Morgan Slade.md",64623,NotebookLM YouTube transcript import,
3,saved,IxSnDeD8-vw,CloudQuant's Morgan Slade is streamlining how you get your data,https://www.youtube.com/watch?v=IxSnDeD8-vw,3:42,CloudQuant's Morgan Slade is streamlining how you get your data.md,4208,NotebookLM YouTube transcript import,
4,saved,KJMJjQGoFDM,High Frequency Trading w/ Morgan Slade - Quant Trading Interview | 72 mins,https://www.youtube.com/watch?v=KJMJjQGoFDM,13:28,High Frequency Trading w- Morgan Slade - Quant Trading Interview - 72 mins.md,13085,NotebookLM YouTube transcript import,
5,saved,4dZcSuAtZbE,Can Data Scientists Save Hedge Funds? | Morgan Slade | AnacondaCON 2017,https://www.youtube.com/watch?v=4dZcSuAtZbE,28:52,Can Data Scientists Save Hedge Funds- - Morgan Slade - AnacondaCON 2017.md,26082,NotebookLM YouTube transcript import,
6,saved,3oyJUL1CREg,Crowdsourcing Algo Trading – Morgan Slade,https://www.youtube.com/watch?v=3oyJUL1CREg,27:08,Crowdsourcing Algo Trading – Morgan Slade.md,25121,NotebookLM YouTube transcript import,
7,saved,Mm6wTtfZi-Y,TradeTalks: Finding New Trading Talent and Data Sets,https://www.youtube.com/watch?v=Mm6wTtfZi-Y,2:48,TradeTalks- Finding New Trading Talent and Data Sets.md,2960,NotebookLM YouTube transcript import,
8,saved,cwMqWJO9gdA,SMB Quant (002): “Democratization of Trading” with Paul Tunney from CloudQuant,https://www.youtube.com/watch?v=cwMqWJO9gdA,1:03:12,SMB Quant (002)- “Democratization of Trading” with Paul Tunney from CloudQuant.md,56994,NotebookLM YouTube transcript import,
9,saved,CwcPFUpnjms,Machine Learning for Algorithmic Trading | Part 1: Machine Learning & First Steps,https://www.youtube.com/watch?v=CwcPFUpnjms,1:08:03,Machine Learning for Algorithmic Trading - Part 1- Machine Learning & First Steps.md,51723,NotebookLM YouTube transcript import,
10,saved,71jgyEFIPE8,Machine Learning for Algorithmic Trading | Part 2 Preparing Data and Training,https://www.youtube.com/watch?v=71jgyEFIPE8,1:03:05,Machine Learning for Algorithmic Trading - Part 2 Preparing Data and Training.md,49878,NotebookLM YouTube transcript import,
