index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,azLvQJUJyIQ,Inside the World of a Billionaire Speculator - Paul Tudor Jones Documentary,https://www.youtube.com/watch?v=azLvQJUJyIQ,20:28,Inside the World of a Billionaire Speculator - Paul Tudor Jones Documentary.md,17164,NotebookLM YouTube transcript import,
2,notebooklm_import_error,_V9m35XQn3Y,[Deleted video],https://www.youtube.com/watch?v=_V9m35XQn3Y,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
3,saved,1lCFGDhx5PM,Legendary investor Paul Tudor Jones breaks down America's most 'just' companies,https://www.youtube.com/watch?v=1lCFGDhx5PM,6:12,Legendary investor Paul Tudor Jones breaks down America's most 'just' companies.md,5517,NotebookLM YouTube transcript import,
4,saved,dvJSK4viVMs,Paul Tudor Jones II: Why we need to rethink capitalism,https://www.youtube.com/watch?v=dvJSK4viVMs,9:56,Paul Tudor Jones II- Why we need to rethink capitalism.md,8109,NotebookLM YouTube transcript import,
5,saved,tgAV64RoPsw,Paul Tudor Jones: 'Go all in on inflation trade' if Fed keeps ignoring higher prices,https://www.youtube.com/watch?v=tgAV64RoPsw,6:01,Paul Tudor Jones- 'Go all in on inflation trade' if Fed keeps ignoring higher prices.md,4575,NotebookLM YouTube transcript import,
6,saved,8PXw0nh0DLs,Paul Tudor Jones Trader Best Trading Interview,https://www.youtube.com/watch?v=8PXw0nh0DLs,44:44,Paul Tudor Jones Trader Best Trading Interview.md,37829,NotebookLM YouTube transcript import,
7,saved,6TXwQMIxDhY,Paul Tudor Jones & Ray Dalio at Greenwich Economic Forum | Full Length Archive - ESG News,https://www.youtube.com/watch?v=6TXwQMIxDhY,41:01,Paul Tudor Jones & Ray Dalio at Greenwich Economic Forum - Full Length Archive - ESG News.md,32908,NotebookLM YouTube transcript import,
8,notebooklm_import_error,rOVrIlgOwIU,Paul Tudor Jones: Investing in a More “JUST” World,https://www.youtube.com/watch?v=rOVrIlgOwIU,44:45,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
9,saved,S_x0n5BS1Pw,Stanley Druckenmiller &  Paul Tudor Jones Interview Robin Hood Conference (2016),https://www.youtube.com/watch?v=S_x0n5BS1Pw,38:58,Stanley Druckenmiller & Paul Tudor Jones Interview Robin Hood Conference (2016).md,31478,NotebookLM YouTube transcript import,
10,saved,WOlJgIcBiXQ,"Paul Tudor Jones talks bitcoin, coronavirus vaccine, Georgia runoff, capitalism, markets, and more",https://www.youtube.com/watch?v=WOlJgIcBiXQ,22:27,"Paul Tudor Jones talks bitcoin, coronavirus vaccine, Georgia runoff, capitalism, markets, and more.md",18075,NotebookLM YouTube transcript import,
11,notebooklm_import_error,kUfzebxwrxA,Watch CNBC's full interview with Paul Tudor Jones,https://www.youtube.com/watch?v=kUfzebxwrxA,20:48,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
12,notebooklm_import_error,OZVV4mTeLo8,[Deleted video],https://www.youtube.com/watch?v=OZVV4mTeLo8,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
13,saved,JO6dMPYhtPE,CNBC's full interview with billionaire Paul Tudor Jones and PayPal CEO Dan Schulman,https://www.youtube.com/watch?v=JO6dMPYhtPE,24:30,CNBC's full interview with billionaire Paul Tudor Jones and PayPal CEO Dan Schulman.md,22255,NotebookLM YouTube transcript import,
14,saved,whva1AVXScA,"Paul Tudor Jones on JUST Capital, U.S. Recession, and Gold",https://www.youtube.com/watch?v=whva1AVXScA,17:37,"Paul Tudor Jones on JUST Capital, U.S. Recession, and Gold.md",15662,NotebookLM YouTube transcript import,
15,saved,Su7MhaSKswg,Ray Dalio & Paul Tudor Jones,https://www.youtube.com/watch?v=Su7MhaSKswg,40:46,Ray Dalio & Paul Tudor Jones.md,32459,NotebookLM YouTube transcript import,
16,saved,J6XH6s6p3Yc,Paul Tudor Jones of Robin Hood Foundation discusses his plan to rank socially responsible companies,https://www.youtube.com/watch?v=J6XH6s6p3Yc,10:51,Paul Tudor Jones of Robin Hood Foundation discusses his plan to rank socially responsible companies.md,9147,NotebookLM YouTube transcript import,
17,saved,5vucpGk46DU,America’s most just companies | Paul Tudor Jones,https://www.youtube.com/watch?v=5vucpGk46DU,8:49,America’s most just companies - Paul Tudor Jones.md,7022,NotebookLM YouTube transcript import,
18,saved,pHnw-ys5bfY,Paul Tudor Jones discusses capitalism and wealth inequality,https://www.youtube.com/watch?v=pHnw-ys5bfY,9:58,Paul Tudor Jones discusses capitalism and wealth inequality.md,8338,NotebookLM YouTube transcript import,
19,saved,BRjA3ZdWTGQ,Paul Tudor Jones | The Hidden Inflation BUBBLE Explained!,https://www.youtube.com/watch?v=BRjA3ZdWTGQ,8:08,Paul Tudor Jones - The Hidden Inflation BUBBLE Explained!.md,7978,NotebookLM YouTube transcript import,
20,saved,Z7c6y5CIou8,Long-Term Value: Moving from Ambition to Action,https://www.youtube.com/watch?v=Z7c6y5CIou8,24:04,Long-Term Value- Moving from Ambition to Action.md,19115,NotebookLM YouTube transcript import,
