index,video_id,title,url,duration,upload_date
1,azLvQJUJyIQ,Inside the World of a Billionaire Speculator - Paul Tudor Jones Documentary,https://www.youtube.com/watch?v=azLvQJUJyIQ,20:28,
2,_V9m35XQn3Y,[Deleted video],https://www.youtube.com/watch?v=_V9m35XQn3Y,,
3,1lCFGDhx5PM,Legendary investor Paul Tudor Jones breaks down America's most 'just' companies,https://www.youtube.com/watch?v=1lCFGDhx5PM,6:12,
4,dvJSK4viVMs,Paul Tudor Jones II: Why we need to rethink capitalism,https://www.youtube.com/watch?v=dvJSK4viVMs,9:56,
5,tgAV64RoPsw,Paul Tudor Jones: 'Go all in on inflation trade' if Fed keeps ignoring higher prices,https://www.youtube.com/watch?v=tgAV64RoPsw,6:01,
6,8PXw0nh0DLs,Paul Tudor Jones Trader Best Trading Interview,https://www.youtube.com/watch?v=8PXw0nh0DLs,44:44,
7,6TXwQMIxDhY,Paul Tudor Jones & Ray Dalio at Greenwich Economic Forum | Full Length Archive - ESG News,https://www.youtube.com/watch?v=6TXwQMIxDhY,41:01,
8,rOVrIlgOwIU,Paul Tudor Jones: Investing in a More “JUST” World,https://www.youtube.com/watch?v=rOVrIlgOwIU,44:45,
9,S_x0n5BS1Pw,Stanley Druckenmiller &  Paul Tudor Jones Interview Robin Hood Conference (2016),https://www.youtube.com/watch?v=S_x0n5BS1Pw,38:58,
10,WOlJgIcBiXQ,"Paul Tudor Jones talks bitcoin, coronavirus vaccine, Georgia runoff, capitalism, markets, and more",https://www.youtube.com/watch?v=WOlJgIcBiXQ,22:27,
11,kUfzebxwrxA,Watch CNBC's full interview with Paul Tudor Jones,https://www.youtube.com/watch?v=kUfzebxwrxA,20:48,
12,OZVV4mTeLo8,[Deleted video],https://www.youtube.com/watch?v=OZVV4mTeLo8,,
13,JO6dMPYhtPE,CNBC's full interview with billionaire Paul Tudor Jones and PayPal CEO Dan Schulman,https://www.youtube.com/watch?v=JO6dMPYhtPE,24:30,
14,whva1AVXScA,"Paul Tudor Jones on JUST Capital, U.S. Recession, and Gold",https://www.youtube.com/watch?v=whva1AVXScA,17:37,
15,Su7MhaSKswg,Ray Dalio & Paul Tudor Jones,https://www.youtube.com/watch?v=Su7MhaSKswg,40:46,
16,J6XH6s6p3Yc,Paul Tudor Jones of Robin Hood Foundation discusses his plan to rank socially responsible companies,https://www.youtube.com/watch?v=J6XH6s6p3Yc,10:51,
17,5vucpGk46DU,America’s most just companies | Paul Tudor Jones,https://www.youtube.com/watch?v=5vucpGk46DU,8:49,
18,pHnw-ys5bfY,Paul Tudor Jones discusses capitalism and wealth inequality,https://www.youtube.com/watch?v=pHnw-ys5bfY,9:58,
19,BRjA3ZdWTGQ,Paul Tudor Jones | The Hidden Inflation BUBBLE Explained!,https://www.youtube.com/watch?v=BRjA3ZdWTGQ,8:08,
20,Z7c6y5CIou8,Long-Term Value: Moving from Ambition to Action,https://www.youtube.com/watch?v=Z7c6y5CIou8,24:04,
