index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,Nt4PbfA4nJE,5 Things Experts don't tell you about doing a PhD,https://www.youtube.com/watch?v=Nt4PbfA4nJE,,5 Things Experts don't tell you about doing a PhD.md,7746,NotebookLM YouTube transcript import,
2,saved,7mAgA28HWxE,5 Magical Apps for PhD Students,https://www.youtube.com/watch?v=7mAgA28HWxE,,5 Magical Apps for PhD Students.md,6489,NotebookLM YouTube transcript import,
3,saved,Mt3WIn-OhPA,Get more done without spending more time - PhD student,https://www.youtube.com/watch?v=Mt3WIn-OhPA,,Get more done without spending more time - PhD student.md,5959,NotebookLM YouTube transcript import,
4,saved,EXALI6jFu6E,How To Read Papers Fast & Effectively - PhD student,https://www.youtube.com/watch?v=EXALI6jFu6E,,How To Read Papers Fast & Effectively - PhD student.md,7550,NotebookLM YouTube transcript import,
5,saved,SulHJ1SIM_g,"Productivity, Motivation and Hardships - Q&A with a Computational Neuroscience Graduate Student",https://www.youtube.com/watch?v=SulHJ1SIM_g,,"Productivity, Motivation and Hardships - Q&A with a Computational Neuroscience Graduate Student.md",13471,NotebookLM YouTube transcript import,
6,saved,24SAYxR7X94,How to Optimize for Peak Study Performance - PhD student,https://www.youtube.com/watch?v=24SAYxR7X94,,How to Optimize for Peak Study Performance - PhD student.md,4978,NotebookLM YouTube transcript import,
7,saved,mii3RO0SVfo,How to Read and Take Notes Effectively - PhD Student,https://www.youtube.com/watch?v=mii3RO0SVfo,,How to Read and Take Notes Effectively - PhD Student.md,14243,NotebookLM YouTube transcript import,
8,saved,3zq57Qt50IM,How to Self Study Technical Subjects - PhD Student,https://www.youtube.com/watch?v=3zq57Qt50IM,,How to Self Study Technical Subjects - PhD Student.md,11187,NotebookLM YouTube transcript import,
9,saved,IlCr_eBSFAE,The Secret to Effortless Programming: How to Achieve Flow State,https://www.youtube.com/watch?v=IlCr_eBSFAE,,The Secret to Effortless Programming- How to Achieve Flow State.md,6222,NotebookLM YouTube transcript import,
10,saved,5CfG9mlriW8,The Best Studying Skills No One Ever Taught you,https://www.youtube.com/watch?v=5CfG9mlriW8,,The Best Studying Skills No One Ever Taught you.md,12279,NotebookLM YouTube transcript import,
11,saved,Um1zEsLGd28,Crafting a Stellar Discussion from Nothing,https://www.youtube.com/watch?v=Um1zEsLGd28,,Crafting a Stellar Discussion from Nothing.md,6459,NotebookLM YouTube transcript import,
12,saved,lSZBdbUc2lk,A Scientist's Guide to Writing,https://www.youtube.com/watch?v=lSZBdbUc2lk,,A Scientist's Guide to Writing.md,10241,NotebookLM YouTube transcript import,
13,saved,Cv262mV4Mig,How To Read Papers Effectively 2026 | Scanning like a Scientist,https://www.youtube.com/watch?v=Cv262mV4Mig,,How To Read Papers Effectively 2026 - Scanning like a Scientist.md,18267,NotebookLM YouTube transcript import,
14,saved,-IzWIf4dAjg,Learning over Content Consuming | Studying like a PhD,https://www.youtube.com/watch?v=-IzWIf4dAjg,,Learning over Content Consuming - Studying like a PhD.md,10829,NotebookLM YouTube transcript import,
15,saved,fXlSMBD8jr8,Questions over Assumptions | Note-Taking like a PhD student,https://www.youtube.com/watch?v=fXlSMBD8jr8,,Questions over Assumptions - Note-Taking like a PhD student.md,16696,NotebookLM YouTube transcript import,
16,saved,zLTHmUmpDKQ,Observation over Distraction | Write like a PhD Student,https://www.youtube.com/watch?v=zLTHmUmpDKQ,,Observation over Distraction - Write like a PhD Student.md,23897,NotebookLM YouTube transcript import,
17,saved,owaQUui_uWo,Discovery over Content Consuming | Working like a Scientist,https://www.youtube.com/watch?v=owaQUui_uWo,,Discovery over Content Consuming - Working like a Scientist.md,21109,NotebookLM YouTube transcript import,
18,saved,FnL0L6Wljxc,Structure Over Chaos | How to Self-Learn Like a PhD Student,https://www.youtube.com/watch?v=FnL0L6Wljxc,,Structure Over Chaos - How to Self-Learn Like a PhD Student.md,26582,NotebookLM YouTube transcript import,
19,saved,URiunPLUlkQ,Reading over Infinite Scrolling - How to Read like An Academic,https://www.youtube.com/watch?v=URiunPLUlkQ,,Reading over Infinite Scrolling - How to Read like An Academic.md,24354,NotebookLM YouTube transcript import,
20,saved,8SDZMY0ssk4,Tracking over Consuming - Journaling like a PhD Student,https://www.youtube.com/watch?v=8SDZMY0ssk4,,Tracking over Consuming - Journaling like a PhD Student.md,18656,NotebookLM YouTube transcript import,
21,saved,1pXJZ8mg4wk,Teach Yourself Anything - How to Study like a PhD student,https://www.youtube.com/watch?v=1pXJZ8mg4wk,,Teach Yourself Anything - How to Study like a PhD student.md,27043,NotebookLM YouTube transcript import,
22,saved,6gjzCrOFETE,How to Research Any Topic - Deep-Dive like a PhD Student,https://www.youtube.com/watch?v=6gjzCrOFETE,,How to Research Any Topic - Deep-Dive like a PhD Student.md,18896,NotebookLM YouTube transcript import,
23,saved,tn4wEqRE32g,Crafting over Comparing | Study like a PhD Student 2026,https://www.youtube.com/watch?v=tn4wEqRE32g,,Crafting over Comparing - Study like a PhD Student 2026.md,14704,NotebookLM YouTube transcript import,
