index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,0aXVTjCTYA8,The Secret Math Behind Profitable Option Trades,https://www.youtube.com/watch?v=0aXVTjCTYA8,3:50,The Secret Math Behind Profitable Option Trades.md,5484,NotebookLM YouTube transcript import,
2,saved,ulSoGXHlJB8,Master Option Gamma in 6 Minutes,https://www.youtube.com/watch?v=ulSoGXHlJB8,6:27,Master Option Gamma in 6 Minutes.md,7513,NotebookLM YouTube transcript import,
3,saved,ELx-JztUqjc,Learn to Trade Option Straddles in 7 Minutes,https://www.youtube.com/watch?v=ELx-JztUqjc,7:48,Learn to Trade Option Straddles in 7 Minutes.md,10187,NotebookLM YouTube transcript import,
4,saved,m8VkNl-VBAA,Learn Option Greeks in Just 17 Minutes,https://www.youtube.com/watch?v=m8VkNl-VBAA,17:00,Learn Option Greeks in Just 17 Minutes.md,21255,NotebookLM YouTube transcript import,
5,saved,vTS5dRynX3w,Delta Explained in Under 9 Minutes,https://www.youtube.com/watch?v=vTS5dRynX3w,8:52,Delta Explained in Under 9 Minutes.md,10378,NotebookLM YouTube transcript import,
6,saved,DNwmnkwdYqU,Theta Explained in 8 Minutes,https://www.youtube.com/watch?v=DNwmnkwdYqU,8:38,Theta Explained in 8 Minutes.md,10398,NotebookLM YouTube transcript import,
7,saved,2OaOxtk1ky8,Black Scholes Explained in 5 Like your 5,https://www.youtube.com/watch?v=2OaOxtk1ky8,5:43,Black Scholes Explained in 5 Like your 5.md,7584,NotebookLM YouTube transcript import,
8,saved,kkOiPtpgvVw,Autocorrelation: The Edge Only Top Traders Use,https://www.youtube.com/watch?v=kkOiPtpgvVw,5:53,Autocorrelation- The Edge Only Top Traders Use.md,7961,NotebookLM YouTube transcript import,
9,saved,ChTIGgibn2o,Master Implied Volatility in 6 Minutes,https://www.youtube.com/watch?v=ChTIGgibn2o,6:19,Master Implied Volatility in 6 Minutes.md,8162,NotebookLM YouTube transcript import,
10,saved,a6_40zL2U1k,How To Trade Like A Pro (Even If You're Just Starting),https://www.youtube.com/watch?v=a6_40zL2U1k,3:16,How To Trade Like A Pro (Even If You're Just Starting).md,4442,NotebookLM YouTube transcript import,
11,saved,dMuK_5vEA5s,How to Handle Early Assignment for Options,https://www.youtube.com/watch?v=dMuK_5vEA5s,4:05,How to Handle Early Assignment for Options.md,5492,NotebookLM YouTube transcript import,
12,saved,vXFMPfk7bck,How Stocks and Options Are Related (Beginner Lesson),https://www.youtube.com/watch?v=vXFMPfk7bck,1:38,How Stocks and Options Are Related (Beginner Lesson).md,2373,NotebookLM YouTube transcript import,
13,saved,KN1BdDf7wlc,Your options are going to expire (explained),https://www.youtube.com/watch?v=KN1BdDf7wlc,3:13,Your options are going to expire (explained).md,4246,NotebookLM YouTube transcript import,
14,saved,iyAIwvFwWFI,2 Rules for Understanding How IV Moves,https://www.youtube.com/watch?v=iyAIwvFwWFI,4:56,2 Rules for Understanding How IV Moves.md,6775,NotebookLM YouTube transcript import,
15,saved,mcXipGcf3Ys,How Understanding Spot–Vol Correlation Can Boost Your Option Profits,https://www.youtube.com/watch?v=mcXipGcf3Ys,5:13,How Understanding Spot–Vol Correlation Can Boost Your Option Profits.md,6972,NotebookLM YouTube transcript import,
16,saved,vcCq6shZaRg,How to Profit From Trading Different Types of Volatility,https://www.youtube.com/watch?v=vcCq6shZaRg,5:00,How to Profit From Trading Different Types of Volatility.md,6742,NotebookLM YouTube transcript import,
17,saved,s_B9iLiubHc,The Market Where You Can Actually Win Big,https://www.youtube.com/watch?v=s_B9iLiubHc,3:15,The Market Where You Can Actually Win Big.md,4615,NotebookLM YouTube transcript import,
