index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,o_mPHT7zUew,Cracking the Code: Strategies for Efficiently Reading 50 Neuroscience Papers in a Week,https://www.youtube.com/watch?v=o_mPHT7zUew,,Cracking the Code- Strategies for Efficiently Reading 50 Neuroscience Papers in a Week.md,9319,NotebookLM YouTube transcript import,
2,saved,4W77W2oqKCA,The Einstein Method for 24 Hours - Maximizing Your Learning Potential,https://www.youtube.com/watch?v=4W77W2oqKCA,,The Einstein Method for 24 Hours - Maximizing Your Learning Potential.md,10795,NotebookLM YouTube transcript import,
3,saved,L0GNdm5xAFs,My Literature Review Workflow - Read over 200 Papers,https://www.youtube.com/watch?v=L0GNdm5xAFs,,My Literature Review Workflow - Read over 200 Papers.md,8546,NotebookLM YouTube transcript import,
4,saved,2--4z30eI3A,5 Tools to Optimise Studying - PhD student,https://www.youtube.com/watch?v=2--4z30eI3A,,5 Tools to Optimise Studying - PhD student.md,10557,NotebookLM YouTube transcript import,
5,saved,FnL0L6Wljxc,Structure Over Chaos | How to Self-Learn Like a PhD Student,https://www.youtube.com/watch?v=FnL0L6Wljxc,,Structure Over Chaos - How to Self-Learn Like a PhD Student.md,26582,NotebookLM YouTube transcript import,
6,saved,URiunPLUlkQ,Reading over Infinite Scrolling - How to Read like An Academic,https://www.youtube.com/watch?v=URiunPLUlkQ,,Reading over Infinite Scrolling - How to Read like An Academic.md,24354,NotebookLM YouTube transcript import,
7,saved,8SDZMY0ssk4,Tracking over Consuming - Journaling like a PhD Student,https://www.youtube.com/watch?v=8SDZMY0ssk4,,Tracking over Consuming - Journaling like a PhD Student.md,18656,NotebookLM YouTube transcript import,
8,saved,1pXJZ8mg4wk,Teach Yourself Anything - How to Study like a PhD student,https://www.youtube.com/watch?v=1pXJZ8mg4wk,,Teach Yourself Anything - How to Study like a PhD student.md,27043,NotebookLM YouTube transcript import,
9,saved,6gjzCrOFETE,How to Research Any Topic - Deep-Dive like a PhD Student,https://www.youtube.com/watch?v=6gjzCrOFETE,,How to Research Any Topic - Deep-Dive like a PhD Student.md,18896,NotebookLM YouTube transcript import,
10,saved,tn4wEqRE32g,Crafting over Comparing | Study like a PhD Student 2026,https://www.youtube.com/watch?v=tn4wEqRE32g,,Crafting over Comparing - Study like a PhD Student 2026.md,14704,NotebookLM YouTube transcript import,
