index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,wUtPEJGj9B4,"The ""Invisible Tax"" Destroying Your Trading P&L (Latency, Slippage & HFT Explained)",https://www.youtube.com/watch?v=wUtPEJGj9B4,2:23,"The -Invisible Tax- Destroying Your Trading P&L (Latency, Slippage & HFT Explained).md",2500,NotebookLM YouTube transcript import,
2,saved,MQ6hHuaOU00,"0-DTE Options Trap: Gamma Risk, Gap Risk & Black Swan Survival",https://www.youtube.com/watch?v=MQ6hHuaOU00,3:46,"0-DTE Options Trap- Gamma Risk, Gap Risk & Black Swan Survival.md",3706,NotebookLM YouTube transcript import,
3,saved,grNBpQa4ic8,Retail vs Wall Street: How Retail Traders Can Find a Real Trading Edge,https://www.youtube.com/watch?v=grNBpQa4ic8,3:11,Retail vs Wall Street- How Retail Traders Can Find a Real Trading Edge.md,3305,NotebookLM YouTube transcript import,
4,saved,PQobaztIiCo,600 AI Strategies to 10 Real Trades | AI Trading Masterclass,https://www.youtube.com/watch?v=PQobaztIiCo,4:15,600 AI Strategies to 10 Real Trades - AI Trading Masterclass.md,4160,NotebookLM YouTube transcript import,
5,saved,HAN7v7wMZcI,Intraday Short Straddle Strategy Backtest in Python | Bank Nifty Options Strategy,https://www.youtube.com/watch?v=HAN7v7wMZcI,24:10,Intraday Short Straddle Strategy Backtest in Python - Bank Nifty Options Strategy.md,20610,NotebookLM YouTube transcript import,
6,saved,-TObBHDcINw,Agentic AI in Trading: Build a Multi-Agent Quant Research System (Stop Coding Alone),https://www.youtube.com/watch?v=-TObBHDcINw,8:40,Agentic AI in Trading- Build a Multi-Agent Quant Research System (Stop Coding Alone).md,7078,NotebookLM YouTube transcript import,
7,saved,FuULrgRBEj4,Market Regime Detection Using ML: Dynamic Capital Allocation Strategy Explained,https://www.youtube.com/watch?v=FuULrgRBEj4,38:01,Market Regime Detection Using ML- Dynamic Capital Allocation Strategy Explained.md,30749,NotebookLM YouTube transcript import,
8,saved,gSwWUcA1wy8,How Automated Trading Works: The Complete Architecture & Steps of Live Trading,https://www.youtube.com/watch?v=gSwWUcA1wy8,1:28,How Automated Trading Works- The Complete Architecture & Steps of Live Trading.md,1846,NotebookLM YouTube transcript import,
9,saved,ISVFhvECvzc,Intraday Implied Volatility: What Python + Options Data Reveal,https://www.youtube.com/watch?v=ISVFhvECvzc,24:31,Intraday Implied Volatility- What Python + Options Data Reveal.md,21412,NotebookLM YouTube transcript import,
10,saved,ok-pwdid71Y,Mid-Career Switch to Algorithmic Trading | Kanishka Tiwary | QuantInsti EPAT Review,https://www.youtube.com/watch?v=ok-pwdid71Y,10:23,Mid-Career Switch to Algorithmic Trading - Kanishka Tiwary - QuantInsti EPAT Review.md,9044,NotebookLM YouTube transcript import,
