index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,zyaY899762Y,QuantPy is staying QuantPy,https://www.youtube.com/watch?v=zyaY899762Y,7:52,QuantPy is staying QuantPy.md,6957,NotebookLM YouTube transcript import,
2,saved,PqGn3KvekFI,Channel Update: QuantPy & ThetaData,https://www.youtube.com/watch?v=PqGn3KvekFI,3:20,Channel Update- QuantPy & ThetaData.md,3437,NotebookLM YouTube transcript import,
3,saved,_rizPYGElQ4,From Black Holes to Black-Scholes,https://www.youtube.com/watch?v=_rizPYGElQ4,1:10:39,From Black Holes to Black-Scholes.md,73828,NotebookLM YouTube transcript import,
4,saved,yp2sLDFnJ8c,OpenAI & Python: The Ultimate Twitter Automation Guide,https://www.youtube.com/watch?v=yp2sLDFnJ8c,39:46,OpenAI & Python- The Ultimate Twitter Automation Guide.md,36211,NotebookLM YouTube transcript import,
5,saved,7UY6Yg53R2Q,A 20-Year Veteran Reveals the World of Options Market Making,https://www.youtube.com/watch?v=7UY6Yg53R2Q,52:29,A 20-Year Veteran Reveals the World of Options Market Making.md,56094,NotebookLM YouTube transcript import,
6,saved,aazoO0Db-MI,Is your Sharpe Ratio is Lying to you? Use this instead,https://www.youtube.com/watch?v=aazoO0Db-MI,24:06,Is your Sharpe Ratio is Lying to you- Use this instead.md,22129,NotebookLM YouTube transcript import,
7,saved,hwKWjsMUEoE,You will need to be the kind of person who loves to solve problems · Octavio Baraldo Queijeiro,https://www.youtube.com/watch?v=hwKWjsMUEoE,45:58,You will need to be the kind of person who loves to solve problems · Octavio Baraldo Queijeiro.md,42153,NotebookLM YouTube transcript import,
8,saved,fY1rtV6qgoo,Stop making investment decisions using this metric!,https://www.youtube.com/watch?v=fY1rtV6qgoo,19:47,Stop making investment decisions using this metric!.md,17971,NotebookLM YouTube transcript import,
9,saved,OF230bS6yo8,Inferring the Aggressor using Options Data,https://www.youtube.com/watch?v=OF230bS6yo8,25:54,Inferring the Aggressor using Options Data.md,24476,NotebookLM YouTube transcript import,
10,saved,Hrs9CWb92_g,Real-Time Streaming of Every Option Trade,https://www.youtube.com/watch?v=Hrs9CWb92_g,15:40,Real-Time Streaming of Every Option Trade.md,14224,NotebookLM YouTube transcript import,
11,saved,Zj9pwqV5MDY,Machine Learning in Finance Course,https://www.youtube.com/watch?v=Zj9pwqV5MDY,1:47,Machine Learning in Finance Course.md,1953,NotebookLM YouTube transcript import,
12,saved,ZrXM0KizUsM,Historical vs Implied Volatility with 10yrs Options Data,https://www.youtube.com/watch?v=ZrXM0KizUsM,31:18,Historical vs Implied Volatility with 10yrs Options Data.md,28802,NotebookLM YouTube transcript import,
13,saved,aMgWz2dWyIE,Risk Neutral Pricing of Weather Derivatives,https://www.youtube.com/watch?v=aMgWz2dWyIE,27:14,Risk Neutral Pricing of Weather Derivatives.md,25029,NotebookLM YouTube transcript import,
14,saved,b7gP1UW8zzE,Can You Compare Intraday Volatility Surfaces?,https://www.youtube.com/watch?v=b7gP1UW8zzE,24:27,Can You Compare Intraday Volatility Surfaces-.md,21966,NotebookLM YouTube transcript import,
15,saved,fyNi_7vLMvM,Monte Carlo Simulation of Temperature for Weather Derivative Pricing,https://www.youtube.com/watch?v=fyNi_7vLMvM,16:44,Monte Carlo Simulation of Temperature for Weather Derivative Pricing.md,14862,NotebookLM YouTube transcript import,
