index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,g8qatelVS7c,Read a research paper effectively | Little known AI tools and tricks!,https://www.youtube.com/watch?v=g8qatelVS7c,,Read a research paper effectively - Little known AI tools and tricks!.md,11057,NotebookLM YouTube transcript import,
2,saved,F_M19e8MI10,7 insanely useful academic apps you've not heard about!,https://www.youtube.com/watch?v=F_M19e8MI10,,7 insanely useful academic apps you've not heard about!.md,11398,NotebookLM YouTube transcript import,
3,saved,73NvqcpJ_r4,Useful browser extensions for PhD students and researchers | ALL FREE,https://www.youtube.com/watch?v=73NvqcpJ_r4,,Useful browser extensions for PhD students and researchers - ALL FREE.md,12817,NotebookLM YouTube transcript import,
4,saved,Mvj1Q5WoGb8,How to identify a research gap EASILY [Sanity-saving tools],https://www.youtube.com/watch?v=Mvj1Q5WoGb8,,How to identify a research gap EASILY [Sanity-saving tools].md,8391,NotebookLM YouTube transcript import,
5,saved,8oEOa9wStjk,The fastest way to do your literature review [Do it in SECONDS],https://www.youtube.com/watch?v=8oEOa9wStjk,,The fastest way to do your literature review [Do it in SECONDS].md,9500,NotebookLM YouTube transcript import,
6,saved,_wZkRXZXFIM,ChatGPT: A game changer for researchers? See it in action,https://www.youtube.com/watch?v=_wZkRXZXFIM,,ChatGPT- A game changer for researchers- See it in action.md,16113,NotebookLM YouTube transcript import,
7,saved,pwUhj7j7xDw,Harness the power of AI for research: How ChatGPT is changing the game,https://www.youtube.com/watch?v=pwUhj7j7xDw,,Harness the power of AI for research- How ChatGPT is changing the game.md,12974,NotebookLM YouTube transcript import,
8,saved,smWlQ5u-0Jc,I tested *FREE Academic AI Tools* so you don't have to,https://www.youtube.com/watch?v=smWlQ5u-0Jc,,I tested -FREE Academic AI Tools- so you don't have to.md,14094,NotebookLM YouTube transcript import,
9,saved,GrC2vS9j30g,"How to read and take notes like a PhD - easy, fast, and efficient",https://www.youtube.com/watch?v=GrC2vS9j30g,,"How to read and take notes like a PhD - easy, fast, and efficient.md",17709,NotebookLM YouTube transcript import,
10,saved,GlWA_Kdv-xs,4 ways to read difficult texts faster - tips that ACTUALLY work!,https://www.youtube.com/watch?v=GlWA_Kdv-xs,,4 ways to read difficult texts faster - tips that ACTUALLY work!.md,12172,NotebookLM YouTube transcript import,
11,saved,w-GiUY-DcJY,EPIC ChatGPT Prompts for Research,https://www.youtube.com/watch?v=w-GiUY-DcJY,,EPIC ChatGPT Prompts for Research.md,8755,NotebookLM YouTube transcript import,
12,saved,FklTPN8SrxQ,Researchers Beware: Avoid These Costly Mistakes When Using AI,https://www.youtube.com/watch?v=FklTPN8SrxQ,,Researchers Beware- Avoid These Costly Mistakes When Using AI.md,7464,NotebookLM YouTube transcript import,
13,saved,MGYU62X_e7U,3 MEGA USEFUL ChatGPT TOOLS you'll *actually use* for research!,https://www.youtube.com/watch?v=MGYU62X_e7U,,3 MEGA USEFUL ChatGPT TOOLS you'll -actually use- for research!.md,8172,NotebookLM YouTube transcript import,
14,saved,fYZaMXA8Ss0,3 Unbelievable AI Technologies to Automate Your Literature Review,https://www.youtube.com/watch?v=fYZaMXA8Ss0,,3 Unbelievable AI Technologies to Automate Your Literature Review.md,9151,NotebookLM YouTube transcript import,
15,saved,IVodZpsge3k,4 Free AI tools you won't believe exist for academia and research,https://www.youtube.com/watch?v=IVodZpsge3k,,4 Free AI tools you won't believe exist for academia and research.md,11210,NotebookLM YouTube transcript import,
16,saved,wBe53TE1EhE,7 Mind Blowing Websites for Research You Probably Didn't Know About,https://www.youtube.com/watch?v=wBe53TE1EhE,,7 Mind Blowing Websites for Research You Probably Didn't Know About.md,10347,NotebookLM YouTube transcript import,
17,saved,rblS1fJ5jzU,The Future of Research Is Here! - Chat with *ALL* your data like never before,https://www.youtube.com/watch?v=rblS1fJ5jzU,,The Future of Research Is Here! - Chat with -ALL- your data like never before.md,10383,NotebookLM YouTube transcript import,
18,saved,MS1HvgN-vSQ,Is this better than ChatGPT for Academia? Tested Side by Side,https://www.youtube.com/watch?v=MS1HvgN-vSQ,,Is this better than ChatGPT for Academia- Tested Side by Side.md,11185,NotebookLM YouTube transcript import,
19,saved,UxQmBTeNcls,Academic AI Tools That Feel like CHEATING,https://www.youtube.com/watch?v=UxQmBTeNcls,,Academic AI Tools That Feel like CHEATING.md,12255,NotebookLM YouTube transcript import,
20,saved,HU7nYUMeNTM,EPIC! ChatGPT vision does INSANE things for research!,https://www.youtube.com/watch?v=HU7nYUMeNTM,,EPIC! ChatGPT vision does INSANE things for research!.md,11612,NotebookLM YouTube transcript import,
21,saved,xEEdsVYi6tE,AI Genius Unleashed: ChatGPT Hacks Every Academic Needs to Know!,https://www.youtube.com/watch?v=xEEdsVYi6tE,,AI Genius Unleashed- ChatGPT Hacks Every Academic Needs to Know!.md,8797,NotebookLM YouTube transcript import,
22,saved,wz8lg_3j3Ok,How To Write An Exceptional Literature Review With AI [NEXT LEVEL Tactics],https://www.youtube.com/watch?v=wz8lg_3j3Ok,,How To Write An Exceptional Literature Review With AI [NEXT LEVEL Tactics].md,14977,NotebookLM YouTube transcript import,
