index,video_id,title,url,duration,upload_date
1,g8qatelVS7c,Read a research paper effectively | Little known AI tools and tricks!,https://www.youtube.com/watch?v=g8qatelVS7c,,
2,F_M19e8MI10,7 insanely useful academic apps you've not heard about!,https://www.youtube.com/watch?v=F_M19e8MI10,,
3,73NvqcpJ_r4,Useful browser extensions for PhD students and researchers | ALL FREE,https://www.youtube.com/watch?v=73NvqcpJ_r4,,
4,Mvj1Q5WoGb8,How to identify a research gap EASILY [Sanity-saving tools],https://www.youtube.com/watch?v=Mvj1Q5WoGb8,,
5,8oEOa9wStjk,The fastest way to do your literature review [Do it in SECONDS],https://www.youtube.com/watch?v=8oEOa9wStjk,,
6,_wZkRXZXFIM,ChatGPT: A game changer for researchers? See it in action,https://www.youtube.com/watch?v=_wZkRXZXFIM,,
7,pwUhj7j7xDw,Harness the power of AI for research: How ChatGPT is changing the game,https://www.youtube.com/watch?v=pwUhj7j7xDw,,
8,smWlQ5u-0Jc,I tested *FREE Academic AI Tools* so you don't have to,https://www.youtube.com/watch?v=smWlQ5u-0Jc,,
9,GrC2vS9j30g,"How to read and take notes like a PhD - easy, fast, and efficient",https://www.youtube.com/watch?v=GrC2vS9j30g,,
10,GlWA_Kdv-xs,4 ways to read difficult texts faster - tips that ACTUALLY work!,https://www.youtube.com/watch?v=GlWA_Kdv-xs,,
11,w-GiUY-DcJY,EPIC ChatGPT Prompts for Research,https://www.youtube.com/watch?v=w-GiUY-DcJY,,
12,FklTPN8SrxQ,Researchers Beware: Avoid These Costly Mistakes When Using AI,https://www.youtube.com/watch?v=FklTPN8SrxQ,,
13,MGYU62X_e7U,3 MEGA USEFUL ChatGPT TOOLS you'll *actually use* for research!,https://www.youtube.com/watch?v=MGYU62X_e7U,,
14,fYZaMXA8Ss0,3 Unbelievable AI Technologies to Automate Your Literature Review,https://www.youtube.com/watch?v=fYZaMXA8Ss0,,
15,IVodZpsge3k,4 Free AI tools you won't believe exist for academia and research,https://www.youtube.com/watch?v=IVodZpsge3k,,
16,wBe53TE1EhE,7 Mind Blowing Websites for Research You Probably Didn't Know About,https://www.youtube.com/watch?v=wBe53TE1EhE,,
17,rblS1fJ5jzU,The Future of Research Is Here! - Chat with *ALL* your data like never before,https://www.youtube.com/watch?v=rblS1fJ5jzU,,
18,MS1HvgN-vSQ,Is this better than ChatGPT for Academia? Tested Side by Side,https://www.youtube.com/watch?v=MS1HvgN-vSQ,,
19,UxQmBTeNcls,Academic AI Tools That Feel like CHEATING,https://www.youtube.com/watch?v=UxQmBTeNcls,,
20,HU7nYUMeNTM,EPIC! ChatGPT vision does INSANE things for research!,https://www.youtube.com/watch?v=HU7nYUMeNTM,,
21,xEEdsVYi6tE,AI Genius Unleashed: ChatGPT Hacks Every Academic Needs to Know!,https://www.youtube.com/watch?v=xEEdsVYi6tE,,
22,wz8lg_3j3Ok,How To Write An Exceptional Literature Review With AI [NEXT LEVEL Tactics],https://www.youtube.com/watch?v=wz8lg_3j3Ok,,
23,kQp7EbxHcKA,Is This the End of Traditional Academic Papers? See What Every Researcher Needs to Know!,https://www.youtube.com/watch?v=kQp7EbxHcKA,,
24,VfoS3q8YdXI,How to use AI to find *ALL* the literature for your research | A blended approach,https://www.youtube.com/watch?v=VfoS3q8YdXI,,
25,8NELGNKfy8k,How to Write an Abstract that's CLEAR and POWERFUL using ChatGPT,https://www.youtube.com/watch?v=8NELGNKfy8k,,
26,oopE9DfRuwQ,What Is A Literature Review? Ditch Old Methods for Cutting-Edge Tech!,https://www.youtube.com/watch?v=oopE9DfRuwQ,,
