index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,BQiRA_-VAd8,How Sam Bankman-Fried made $10 billion by the age of 28 | FTX,https://www.youtube.com/watch?v=BQiRA_-VAd8,1:09:55,How Sam Bankman-Fried made $10 billion by the age of 28 - FTX.md,73591,NotebookLM YouTube transcript import,
2,notebooklm_import_error,2c1xHdWh6m4,FTX CRASH! The CRAZY Story of How Sam Bankman-Fried Became a Crypto Billionaire!?,https://www.youtube.com/watch?v=2c1xHdWh6m4,9:46,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
3,saved,SwxSqwkQCgw,How Sam Bankman Went From 0 To $27 Billion In 4 Years,https://www.youtube.com/watch?v=SwxSqwkQCgw,10:04,How Sam Bankman Went From 0 To $27 Billion In 4 Years.md,11456,NotebookLM YouTube transcript import,
4,notebooklm_import_error,wo-nJi36biQ,[Private video],https://www.youtube.com/watch?v=wo-nJi36biQ,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
5,saved,W0rI10noDEA,Billionaire founder of FTX reveals cryptos that will survive the next crash - Bankman-Fried (Pt.1/2),https://www.youtube.com/watch?v=W0rI10noDEA,19:30,Billionaire founder of FTX reveals cryptos that will survive the next crash - Bankman-Fried (Pt.1-2).md,11029,NotebookLM YouTube transcript import,
6,notebooklm_import_error,SozZeIQUhKk,[Private video],https://www.youtube.com/watch?v=SozZeIQUhKk,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
7,saved,D6E_mHP3elE,Pomp Podcast #389: Sam Bankman-Fried On Capturing Profits In Crypto,https://www.youtube.com/watch?v=D6E_mHP3elE,1:13:43,Pomp Podcast #389- Sam Bankman-Fried On Capturing Profits In Crypto.md,70191,NotebookLM YouTube transcript import,
8,saved,zeYKGX9NLqg,How The Big Money Moves In Crypto with Sam Bankman-Fried,https://www.youtube.com/watch?v=zeYKGX9NLqg,1:14:02,How The Big Money Moves In Crypto with Sam Bankman-Fried.md,75376,NotebookLM YouTube transcript import,
9,saved,Z1lp2_klwcg,This is how the metaverse and DeFi will change our lives - FTX founder Sam Bankman-Fried (Pt. 2/2),https://www.youtube.com/watch?v=Z1lp2_klwcg,10:25,This is how the metaverse and DeFi will change our lives - FTX founder Sam Bankman-Fried (Pt. 2-2).md,10777,NotebookLM YouTube transcript import,
10,saved,5vxYV44pTkA,FTX CEO Sam Bankman-Fried: 'Every Major Finance Firm Is Talking About Crypto',https://www.youtube.com/watch?v=5vxYV44pTkA,14:23,FTX CEO Sam Bankman-Fried- 'Every Major Finance Firm Is Talking About Crypto'.md,14081,NotebookLM YouTube transcript import,
