index,video_id,title,url,duration,upload_date
1,BQiRA_-VAd8,How Sam Bankman-Fried made $10 billion by the age of 28 | FTX,https://www.youtube.com/watch?v=BQiRA_-VAd8,1:09:55,
2,2c1xHdWh6m4,FTX CRASH! The CRAZY Story of How Sam Bankman-Fried Became a Crypto Billionaire!?,https://www.youtube.com/watch?v=2c1xHdWh6m4,9:46,
3,SwxSqwkQCgw,How Sam Bankman Went From 0 To $27 Billion In 4 Years,https://www.youtube.com/watch?v=SwxSqwkQCgw,10:04,
4,wo-nJi36biQ,[Private video],https://www.youtube.com/watch?v=wo-nJi36biQ,,
5,W0rI10noDEA,Billionaire founder of FTX reveals cryptos that will survive the next crash - Bankman-Fried (Pt.1/2),https://www.youtube.com/watch?v=W0rI10noDEA,19:30,
6,SozZeIQUhKk,[Private video],https://www.youtube.com/watch?v=SozZeIQUhKk,,
7,D6E_mHP3elE,Pomp Podcast #389: Sam Bankman-Fried On Capturing Profits In Crypto,https://www.youtube.com/watch?v=D6E_mHP3elE,1:13:43,
8,zeYKGX9NLqg,How The Big Money Moves In Crypto with Sam Bankman-Fried,https://www.youtube.com/watch?v=zeYKGX9NLqg,1:14:02,
9,Z1lp2_klwcg,This is how the metaverse and DeFi will change our lives - FTX founder Sam Bankman-Fried (Pt. 2/2),https://www.youtube.com/watch?v=Z1lp2_klwcg,10:25,
10,5vxYV44pTkA,FTX CEO Sam Bankman-Fried: 'Every Major Finance Firm Is Talking About Crypto',https://www.youtube.com/watch?v=5vxYV44pTkA,14:23,
11,W5-FZQjOxtc,FTX founder Sam Bankman-Fried on latest funding round,https://www.youtube.com/watch?v=W5-FZQjOxtc,2:37,
12,y2bfJ3p-G_M,Fireside Chat: Sam Bankman-Fried,https://www.youtube.com/watch?v=y2bfJ3p-G_M,59:19,
13,K15BVxibrw8,FTX CEO discusses Elon Musk and risks to the crypto market,https://www.youtube.com/watch?v=K15BVxibrw8,4:41,
14,gSDk5PAJss4,"Leaving Wall Street, Entering Crypto Chaos · Sam Bankman-Fried",https://www.youtube.com/watch?v=gSDk5PAJss4,1:04:27,
15,2ozjiX1E7ZA,In Conversation With Sam Bankman-Fried,https://www.youtube.com/watch?v=2ozjiX1E7ZA,20:03,
16,PdNfijP-AAQ,Sam Bankman-Fried on Crypto's Future,https://www.youtube.com/watch?v=PdNfijP-AAQ,23:04,
17,VIMcl-XPjuk,FTX CEO: 'The biggest mistake I made' in crypto 'is not getting involved sooner',https://www.youtube.com/watch?v=VIMcl-XPjuk,18:20,
18,psr8rPysuLs,Crypto Exchange FTX Moves to Bahamas After China Crackdown,https://www.youtube.com/watch?v=psr8rPysuLs,4:44,
19,EsmhjNtlT_Y,Institutions are ‘DESPERATE’ for crypto! | Exclusive interview with Sam Bankman-Fried,https://www.youtube.com/watch?v=EsmhjNtlT_Y,20:38,
20,9GF5WGRI5a4,"FTX founder & CEO on crypto exchange business, regulation and more",https://www.youtube.com/watch?v=9GF5WGRI5a4,4:08,
21,dKHqw9p4xi4,"Sam Bankman-Fried Speaks About McAfee's Legacy, China Crackdown and Why Tether 'Is Not a Worry'",https://www.youtube.com/watch?v=dKHqw9p4xi4,14:48,
22,WmXvgz1zKAs,[Private video],https://www.youtube.com/watch?v=WmXvgz1zKAs,,
23,qci0_O2Qtr8,[Private video],https://www.youtube.com/watch?v=qci0_O2Qtr8,,
24,Azfz0ViSKP0,FTX CEO on SEC and crypto: This doesn't need to be a war,https://www.youtube.com/watch?v=Azfz0ViSKP0,5:03,
25,wdJSNPJF8C4,FTX CEO on his company's $210M deal with TSM and what sets his crypto exchange apart from others,https://www.youtube.com/watch?v=wdJSNPJF8C4,8:40,
26,0_hq3I7qv2g,Learn How To Make $10BILLION in Crypto - Sam Bankman-Fried,https://www.youtube.com/watch?v=0_hq3I7qv2g,1:09:18,
27,fvg9EoeZejA,FTX CEO discusses what he would like to see out of crypto regulation in the U.S.,https://www.youtube.com/watch?v=fvg9EoeZejA,2:58,
28,YLCnGXawUj0,"Building an Arbitrage Infrastructure for Traders, FULL EPISODE with Sam Bankman-Fried, CEO of FTX",https://www.youtube.com/watch?v=YLCnGXawUj0,48:38,
29,qK_fOVTItYA,"FTX CEO Sam Bankman-Fried on $420M Raise, LedgerX Acquisition",https://www.youtube.com/watch?v=qK_fOVTItYA,14:23,
30,tmK4wwdx0l8,DeFi Conference 2021: Keynote Address: The Serum and Solana DeFi Ecosystem,https://www.youtube.com/watch?v=tmK4wwdx0l8,23:05,
31,hagdQ-GIMEk,Blockchain Africa Conference 2021 - Sam Bankman-Fried,https://www.youtube.com/watch?v=hagdQ-GIMEk,23:47,
32,EZRRpi9nr_E,[Private video],https://www.youtube.com/watch?v=EZRRpi9nr_E,,
33,rCQ9v_WGasQ,[Private video],https://www.youtube.com/watch?v=rCQ9v_WGasQ,,
34,QdviGzJhFBo,"FTX raises $400 million in Series C funding round, gives company $32 billion valuation",https://www.youtube.com/watch?v=QdviGzJhFBo,4:12,
35,RQ-7yuMYuXM,"FTX, Sam Bankman-Fried, Founder & CEO",https://www.youtube.com/watch?v=RQ-7yuMYuXM,12:12,
36,grdkeyxQ1YM,Breakpoint 2021: A Chat with Sam Bankman-Fried and FTX,https://www.youtube.com/watch?v=grdkeyxQ1YM,30:29,
37,3OkRC-V4blY,Sam Bankman-Fried on FTX's Crypto Mission,https://www.youtube.com/watch?v=3OkRC-V4blY,5:12,
38,J2V4tg0QkBk,FTX with Sam Bankman-Fried & Mario Gabriele (Extended Cut),https://www.youtube.com/watch?v=J2V4tg0QkBk,1:53:32,
39,uiSOe-ld-Hw,Wormhole Hackathon Office Hours: Sam Bankman-Fried,https://www.youtube.com/watch?v=uiSOe-ld-Hw,1:13:34,
40,--tV8U3BbJk,Fireside Chat with Sam Bankman-Fried,https://www.youtube.com/watch?v=--tV8U3BbJk,56:28,
41,LVjqmDqaLgw,Sam Bankman-Fried on DeFi & Decentralized Exchanges | #𝐒𝐀𝐋𝐓𝐍𝐘,https://www.youtube.com/watch?v=LVjqmDqaLgw,5:40,
42,VwDHoY-blqc,DeFi Alliance - Secrets of Building a Successful Company in Crypto with Sam Bankman-Fried of FTX,https://www.youtube.com/watch?v=VwDHoY-blqc,54:51,
43,EWO8PK8nJig,Secondary Market Problems & Solutions With Wei Zhou & Sam Bankman-Fried @ Binance Blockchain Week,https://www.youtube.com/watch?v=EWO8PK8nJig,34:31,
44,uovChXfhpCs,[Private video],https://www.youtube.com/watch?v=uovChXfhpCs,,
45,0y4Kp6uYVPY,Sam Bankman-Fried On Firm's $900M Funding Round. Paxos General Counsel on Stablecoin Risks.,https://www.youtube.com/watch?v=0y4Kp6uYVPY,41:15,
46,N9D_8WcWR-A,"gm Podcast, Episode 1: FTX CEO Sam Bankman-Fried Tells All",https://www.youtube.com/watch?v=N9D_8WcWR-A,50:04,
47,iPAD8bqvnV4,Trading Derivatives with Sam Bankman-Fried,https://www.youtube.com/watch?v=iPAD8bqvnV4,34:12,
48,hgW3-fWJlBg,FTX CEO Sam Bankman Fried on Crypto's Potential to Change Lives,https://www.youtube.com/watch?v=hgW3-fWJlBg,6:02,
49,woX3Z_sr0Uc,[Private video],https://www.youtube.com/watch?v=woX3Z_sr0Uc,,
50,KMZckrBPw38,[Private video],https://www.youtube.com/watch?v=KMZckrBPw38,,
51,GU2_Q5yXJpk,Can Solana Seize Marketshare From Ethereum With Serum? - Ep.193,https://www.youtube.com/watch?v=GU2_Q5yXJpk,1:12:00,
52,yUB0w4rKfiY,Earning to Give: A Conversation with Sam Bankman-Fried,https://www.youtube.com/watch?v=yUB0w4rKfiY,1:15:34,
53,EKaB8PNZ3Eg,[Private video],https://www.youtube.com/watch?v=EKaB8PNZ3Eg,,
54,u6sDBcL6JFY,How FTX CEO Sam Bankman Fried navigates the new normal of trading | Forkast.News,https://www.youtube.com/watch?v=u6sDBcL6JFY,56:59,
55,hbIvvIG6-EA,"The Richest Person In Crypto Gives His 2022 Predictions | Sam Bankman-Fried, FTX",https://www.youtube.com/watch?v=hbIvvIG6-EA,58:29,
56,v2kSTnxO4hI,[Private video],https://www.youtube.com/watch?v=v2kSTnxO4hI,,
57,PmcdHx8hAMc,[Private video],https://www.youtube.com/watch?v=PmcdHx8hAMc,,
58,avHbErshrAA,[Private video],https://www.youtube.com/watch?v=avHbErshrAA,,
59,OOf8S3SbmMs,[Private video],https://www.youtube.com/watch?v=OOf8S3SbmMs,,
60,y__YwqrJuYE,Miami: Crypto City? Mayor Suarez and Sam Bankman-Fried at Ethereal 2021,https://www.youtube.com/watch?v=y__YwqrJuYE,24:40,
61,rzLo0YyCfJs,Sam & CZ Discuss Building Crypto Empires,https://www.youtube.com/watch?v=rzLo0YyCfJs,48:29,
