index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,Cs-0aC9Rd8g,"Druckenmiller on 2020 Outlook, Monetary Policy, U.S. Election",https://www.youtube.com/watch?v=Cs-0aC9Rd8g,50:09,"Druckenmiller on 2020 Outlook, Monetary Policy, U.S. Election.md",39763,NotebookLM YouTube transcript import,
2,notebooklm_import_error,KOH4EWVYmIc,Untitled,https://www.youtube.com/watch?v=KOH4EWVYmIc,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
3,notebooklm_import_error,uTeFU1qivbs,"Stanley Druckenmiller talks about if we're in a tech bubble, what makes a great investor, and more",https://www.youtube.com/watch?v=uTeFU1qivbs,39:29,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
4,saved,9kH01CNISeQ,"Stanley Druckenmiller on Economy, Stocks, Bonds, Trump, Fed: Full Interview",https://www.youtube.com/watch?v=9kH01CNISeQ,59:56,"Stanley Druckenmiller on Economy, Stocks, Bonds, Trump, Fed- Full Interview.md",46904,NotebookLM YouTube transcript import,
5,saved,rq2lGZyW2yA,Stanley Druckenmiller 2021 Keynote | USC Marshall,https://www.youtube.com/watch?v=rq2lGZyW2yA,1:00:57,Stanley Druckenmiller 2021 Keynote - USC Marshall.md,47636,NotebookLM YouTube transcript import,
6,saved,ELlmZ7WAMgU,Stanley Druckenmiller Explains how he makes 30% return every year!,https://www.youtube.com/watch?v=ELlmZ7WAMgU,33:07,Stanley Druckenmiller Explains how he makes 30% return every year!.md,30235,NotebookLM YouTube transcript import,
7,saved,ScAeHsXIUqI,Stanley Druckenmiller: Current Fed policy is totally inappropriate,https://www.youtube.com/watch?v=ScAeHsXIUqI,10:44,Stanley Druckenmiller- Current Fed policy is totally inappropriate.md,9126,NotebookLM YouTube transcript import,
8,saved,VqBZZ8fKFCY,Druckenmiller Warns Of 'Dire Consequences' Of More Government Spending,https://www.youtube.com/watch?v=VqBZZ8fKFCY,8:29,Druckenmiller Warns Of 'Dire Consequences' Of More Government Spending.md,6379,NotebookLM YouTube transcript import,
9,saved,G-MlrpoMig0,Stanley F. Druckenmiller: Monetary Policy & Markets,https://www.youtube.com/watch?v=G-MlrpoMig0,1:24:39,Stanley F. Druckenmiller- Monetary Policy & Markets.md,63957,NotebookLM YouTube transcript import,
10,notebooklm_import_error,K_u2AI7ZWAk,"Stanley Druckenmiller, Chairman and CEO of Duquesne Family Office",https://www.youtube.com/watch?v=K_u2AI7ZWAk,20:09,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
11,saved,l0YjPekmccs,DealBook Conference 2015 - The Other Investors’ Perspective,https://www.youtube.com/watch?v=l0YjPekmccs,24:49,DealBook Conference 2015 - The Other Investors’ Perspective.md,21331,NotebookLM YouTube transcript import,
12,saved,P7NxHdb4Fp4,George Soros Stanley Druckenmiller Interview Vintage 1994,https://www.youtube.com/watch?v=P7NxHdb4Fp4,12:24,George Soros Stanley Druckenmiller Interview Vintage 1994.md,9820,NotebookLM YouTube transcript import,
13,saved,7njzXBzYnNI,A Conversation With Stanley Druckenmiller - Full Show,https://www.youtube.com/watch?v=7njzXBzYnNI,24:07,A Conversation With Stanley Druckenmiller - Full Show.md,17993,NotebookLM YouTube transcript import,
14,saved,r7kMSqgruOY,Stanley Druckenmiller Interview - The Economic Club of New York (2019),https://www.youtube.com/watch?v=r7kMSqgruOY,1:01:14,Stanley Druckenmiller Interview - The Economic Club of New York (2019).md,45040,NotebookLM YouTube transcript import,
15,saved,XlgBS6ZB5gI,Watch billionaire hedge fund manager Stanley Druckenmiller's full CNBC appearance,https://www.youtube.com/watch?v=XlgBS6ZB5gI,49:06,Watch billionaire hedge fund manager Stanley Druckenmiller's full CNBC appearance.md,43902,NotebookLM YouTube transcript import,
16,saved,DXAEw8psMuQ,No Free Lunches - Seniors Benefit at the Expense of Our Kids: Stan Druckenmiller at TEDxWallStreet,https://www.youtube.com/watch?v=DXAEw8psMuQ,14:18,No Free Lunches - Seniors Benefit at the Expense of Our Kids- Stan Druckenmiller at TEDxWallStreet.md,11016,NotebookLM YouTube transcript import,
17,saved,S_x0n5BS1Pw,Stanley Druckenmiller &  Paul Tudor Jones Interview Robin Hood Conference (2016),https://www.youtube.com/watch?v=S_x0n5BS1Pw,38:58,Stanley Druckenmiller & Paul Tudor Jones Interview Robin Hood Conference (2016).md,31478,NotebookLM YouTube transcript import,
18,saved,03o-2ZpCkgc,"The Bowdoin Endowment, with Paula Volent and Stan Druckenmiller ’75, H’07",https://www.youtube.com/watch?v=03o-2ZpCkgc,54:39,"The Bowdoin Endowment, with Paula Volent and Stan Druckenmiller ’75, H’07.md",47691,NotebookLM YouTube transcript import,
19,saved,DWDgJ_hNFSE,"Legendary Investor Stanley Druckenmiller On The Stock Market, Tax Reform, And His Stock Picks | CNBC",https://www.youtube.com/watch?v=DWDgJ_hNFSE,31:38,"Legendary Investor Stanley Druckenmiller On The Stock Market, Tax Reform, And His Stock Picks - CNBC.md",27852,NotebookLM YouTube transcript import,
20,saved,IzJ7knTSzuM,Stanley Druckenmiller Interview - The Fed Impact on Financial Markets 2021,https://www.youtube.com/watch?v=IzJ7knTSzuM,10:44,Stanley Druckenmiller Interview - The Fed Impact on Financial Markets 2021.md,9137,NotebookLM YouTube transcript import,
21,saved,5eeZKNRpZao,Stan Druckenmiller: This is the most challenging time I ever have experienced ,https://www.youtube.com/watch?v=5eeZKNRpZao,11:48,Stan Druckenmiller- This is the most challenging time I ever have experienced.md,8843,NotebookLM YouTube transcript import,
22,saved,X0Mcw5iGvcI,Geoffrey Canada & Stan Druckenmiller | Generational Equity | Full Interview,https://www.youtube.com/watch?v=X0Mcw5iGvcI,1:57:10,Geoffrey Canada & Stan Druckenmiller - Generational Equity - Full Interview.md,103252,NotebookLM YouTube transcript import,
23,saved,7TYzjM-ATyU,Billionaire Stan Druckenmiller - Risk-reward Does Not Make Sense - 25 May 15 | Finance-Get.com,https://www.youtube.com/watch?v=7TYzjM-ATyU,23:31,Billionaire Stan Druckenmiller - Risk-reward Does Not Make Sense - 25 May 15 - Finance-Get.com.md,19400,NotebookLM YouTube transcript import,
24,saved,qnOoi4GfKOo,Bloomberg Interview: Stanley Druckenmiller,https://www.youtube.com/watch?v=qnOoi4GfKOo,28:56,Bloomberg Interview- Stanley Druckenmiller.md,18606,NotebookLM YouTube transcript import,
25,saved,IwmSxcR8RTI,2018 Alexander Hamilton Awards | Stanley Druckenmiller and Ambassador Nikki Haley,https://www.youtube.com/watch?v=IwmSxcR8RTI,54:38,2018 Alexander Hamilton Awards - Stanley Druckenmiller and Ambassador Nikki Haley.md,37209,NotebookLM YouTube transcript import,
26,saved,YPP-0pY_8iY,Billionaire Investor Stan Druckenmiller 2018 Full Interview,https://www.youtube.com/watch?v=YPP-0pY_8iY,59:56,Billionaire Investor Stan Druckenmiller 2018 Full Interview.md,46875,NotebookLM YouTube transcript import,
27,saved,PdT8fWSgcl4,"Stanley Druckenmiller - The Fed, Seniors v Kids, Gold Bull Market",https://www.youtube.com/watch?v=PdT8fWSgcl4,15:20,"Stanley Druckenmiller - The Fed, Seniors v Kids, Gold Bull Market.md",15538,NotebookLM YouTube transcript import,
28,saved,JGagSyRxHLA,Student Questions | Geoffrey Canada & Stan Druckenmiller,https://www.youtube.com/watch?v=JGagSyRxHLA,18:40,Student Questions - Geoffrey Canada & Stan Druckenmiller.md,18096,NotebookLM YouTube transcript import,
29,saved,aviToCACiNA,CNBC Interview: Stan Druckenmiller on Fed Policy - Nov 2015,https://www.youtube.com/watch?v=aviToCACiNA,24:56,CNBC Interview- Stan Druckenmiller on Fed Policy - Nov 2015.md,21434,NotebookLM YouTube transcript import,
30,notebooklm_import_error,Aql_y9NtsB8,Untitled,https://www.youtube.com/watch?v=Aql_y9NtsB8,,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
31,saved,FfKK6Y18yl8,Druckenmiller: The US is in worse shape for a recession now,https://www.youtube.com/watch?v=FfKK6Y18yl8,7:15,Druckenmiller- The US is in worse shape for a recession now.md,6721,NotebookLM YouTube transcript import,
32,saved,1YnhgL8BO0Q,Financial Crash 2019 Stanley Druckenmiller Interview on Global  Financial Crisis,https://www.youtube.com/watch?v=1YnhgL8BO0Q,55:33,Financial Crash 2019 Stanley Druckenmiller Interview on Global Financial Crisis.md,41068,NotebookLM YouTube transcript import,
33,saved,NERglanBMIk,Druckenmiller on How AI is Dominating His Long Portfolio,https://www.youtube.com/watch?v=NERglanBMIk,32:15,Druckenmiller on How AI is Dominating His Long Portfolio.md,26943,NotebookLM YouTube transcript import,
