index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,nJdCqaIIPHQ,Steve Cohen - America's Most Profitable Day Trader,https://www.youtube.com/watch?v=nJdCqaIIPHQ,19:45,Steve Cohen - America's Most Profitable Day Trader.md,15679,NotebookLM YouTube transcript import,
2,saved,OYY10LsoL8Q,"Legendary Investor Steve Cohen with Glenn Fuhrman: On Investing, Philanthropy and Art",https://www.youtube.com/watch?v=OYY10LsoL8Q,57:34,"Legendary Investor Steve Cohen with Glenn Fuhrman- On Investing, Philanthropy and Art.md",54121,NotebookLM YouTube transcript import,
3,saved,1szayJV505M,"Before The Mets, Steve Cohen Was The Hedge-Fund King (full documentary) | FRONTLINE",https://www.youtube.com/watch?v=1szayJV505M,53:19,"Before The Mets, Steve Cohen Was The Hedge-Fund King (full documentary) - FRONTLINE.md",46323,NotebookLM YouTube transcript import,
4,saved,zCZ_J3a9p94,Interview with Founder and CEO of Point72 Steve Cohen,https://www.youtube.com/watch?v=zCZ_J3a9p94,38:22,Interview with Founder and CEO of Point72 Steve Cohen.md,34630,NotebookLM YouTube transcript import,
5,saved,IzXl-eBfI-A,"Steven Cohen: Bending rules, making billions · Sheelah Kolhatkar",https://www.youtube.com/watch?v=IzXl-eBfI-A,42:41,"Steven Cohen- Bending rules, making billions · Sheelah Kolhatkar.md",41059,NotebookLM YouTube transcript import,
6,saved,GLrvcDhEt5A,Dark Truth Behind Steven Cohen's Billions (Melvin Capital & Insider Trading),https://www.youtube.com/watch?v=GLrvcDhEt5A,12:52,Dark Truth Behind Steven Cohen's Billions (Melvin Capital & Insider Trading).md,11956,NotebookLM YouTube transcript import,
7,saved,Lumur8cJJ1E,"The Hedge Fund Comeback: Steve Cohen, Ilana Weinstein, Dmitry Balyasny & Mike Rockefeller | #𝐒𝐀𝐋𝐓𝐍𝐘",https://www.youtube.com/watch?v=Lumur8cJJ1E,44:22,"The Hedge Fund Comeback- Steve Cohen, Ilana Weinstein, Dmitry Balyasny & Mike Rockefeller - #SALTNY.md",40032,NotebookLM YouTube transcript import,
8,notebooklm_import_error,fDL5fpWl_FA,Steve Cohen's New Hedge Fund Is Worrying Clients,https://www.youtube.com/watch?v=fDL5fpWl_FA,2:23,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
9,saved,0k_3lrCuahc,Hedge fund billionaire Steve Cohen's performance coach reveals how traders can improve mental game,https://www.youtube.com/watch?v=0k_3lrCuahc,4:57,Hedge fund billionaire Steve Cohen's performance coach reveals how traders can improve mental game.md,5863,NotebookLM YouTube transcript import,
10,saved,YAEE0RbtcUs,New report shows high rate of turnover at Steve Cohen's hedge fund Point72,https://www.youtube.com/watch?v=YAEE0RbtcUs,3:19,New report shows high rate of turnover at Steve Cohen's hedge fund Point72.md,3353,NotebookLM YouTube transcript import,
