index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,HVuG3qfcjes,Better Than ChatGPT? Meet the Ultimate AI for Researchers,https://www.youtube.com/watch?v=HVuG3qfcjes,,Better Than ChatGPT- Meet the Ultimate AI for Researchers.md,13318,NotebookLM YouTube transcript import,
2,saved,PpAYTQdFYfQ,How To Paraphrase Using AI Without Getting Detected,https://www.youtube.com/watch?v=PpAYTQdFYfQ,,How To Paraphrase Using AI Without Getting Detected.md,11853,NotebookLM YouTube transcript import,
3,saved,vxBIgfztIQM,How To Write A First Class Essay Using AI in 5 Easy Steps - Powerful ChatGPT Alternative,https://www.youtube.com/watch?v=vxBIgfztIQM,,How To Write A First Class Essay Using AI in 5 Easy Steps - Powerful ChatGPT Alternative.md,14754,NotebookLM YouTube transcript import,
4,saved,NqQl8jAy5f8,10 ChatGPT Academic Writing Prompts That Will Take Your Writing From 0 to 100 | A Beginners Guide,https://www.youtube.com/watch?v=NqQl8jAy5f8,,10 ChatGPT Academic Writing Prompts That Will Take Your Writing From 0 to 100 - A Beginners Guide.md,11000,NotebookLM YouTube transcript import,
5,saved,Fi3Y5MKQlJ0,Write A 50 Page Literature Review With Just ONE Prompt | ThesisAI,https://www.youtube.com/watch?v=Fi3Y5MKQlJ0,,Write A 50 Page Literature Review With Just ONE Prompt - ThesisAI.md,9862,NotebookLM YouTube transcript import,
6,saved,DDGCi-_0-iU,How To Write A Strong Literature Review Using AI | Write In 4 Easy Steps,https://www.youtube.com/watch?v=DDGCi-_0-iU,,How To Write A Strong Literature Review Using AI - Write In 4 Easy Steps.md,12538,NotebookLM YouTube transcript import,
7,saved,CjHXKmf3dC8,How to Read Any Research Paper Faster Than Everyone Else,https://www.youtube.com/watch?v=CjHXKmf3dC8,,How to Read Any Research Paper Faster Than Everyone Else.md,11569,NotebookLM YouTube transcript import,
8,saved,ZynmCBxiauw,"How to Read and Take Notes Like a PhD Using AI - Easy, Fast & Efficient",https://www.youtube.com/watch?v=ZynmCBxiauw,,"How to Read and Take Notes Like a PhD Using AI - Easy, Fast & Efficient.md",13813,NotebookLM YouTube transcript import,
9,saved,_Wtq4XHba6s,5 NEW Hottest FREE AI Tools for Research That Are ACTUALLY Useful!,https://www.youtube.com/watch?v=_Wtq4XHba6s,,5 NEW Hottest FREE AI Tools for Research That Are ACTUALLY Useful!.md,14412,NotebookLM YouTube transcript import,
10,saved,XmZyc6i9rzQ,5 AI Habits That Save Me 20+ Hours a Week Reading Research Papers,https://www.youtube.com/watch?v=XmZyc6i9rzQ,,5 AI Habits That Save Me 20+ Hours a Week Reading Research Papers.md,13552,NotebookLM YouTube transcript import,
11,saved,2Z-NcfEEjFA,4 Ways to Spot a Weak Essay Before Your Examiner Does,https://www.youtube.com/watch?v=2Z-NcfEEjFA,,4 Ways to Spot a Weak Essay Before Your Examiner Does.md,9793,NotebookLM YouTube transcript import,
12,saved,n7Gpu2iCKJ4,"How to Find, Save and Organise Research Papers Easily (From Anywhere)",https://www.youtube.com/watch?v=n7Gpu2iCKJ4,,"How to Find, Save and Organise Research Papers Easily (From Anywhere).md",11332,NotebookLM YouTube transcript import,
13,saved,0w61Ou-F5vo,How To Read A Paper Quickly & Effectively With AI,https://www.youtube.com/watch?v=0w61Ou-F5vo,,How To Read A Paper Quickly & Effectively With AI.md,9448,NotebookLM YouTube transcript import,
14,saved,CcphHOaUODU,How To Write A Personal Statement Using ChatGPT and AI Tools,https://www.youtube.com/watch?v=CcphHOaUODU,,How To Write A Personal Statement Using ChatGPT and AI Tools.md,13363,NotebookLM YouTube transcript import,
15,saved,rR5KgvK8J5M,The Ultimate 5-Step Method To Do A Literature Review (Do It In 30 Minutes),https://www.youtube.com/watch?v=rR5KgvK8J5M,,The Ultimate 5-Step Method To Do A Literature Review (Do It In 30 Minutes).md,13765,NotebookLM YouTube transcript import,
16,saved,CcydF-IDoQc,Stop Using ChatGPT for Research | Use This Liner Workflow Instead,https://www.youtube.com/watch?v=CcydF-IDoQc,,Stop Using ChatGPT for Research - Use This Liner Workflow Instead.md,13610,NotebookLM YouTube transcript import,
