index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,notebooklm_import_error,TW-YB6a8R5s,Victor Niederhoffer Documentary - English Subtitles - 1997,https://www.youtube.com/watch?v=TW-YB6a8R5s,1:12:22,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
2,saved,vP4zEyxaqu4,Victor Niederhoffer interviews Larry Williams. 2021/03/26,https://www.youtube.com/watch?v=vP4zEyxaqu4,43:24,Victor Niederhoffer interviews Larry Williams. 2021-03-26.md,38181,NotebookLM YouTube transcript import,
3,saved,lUoyFhwnPMo,Ep 133- Market Myths and Finding an Edge ft. Victor Niederhoffer with Srivatsan Prakash,https://www.youtube.com/watch?v=lUoyFhwnPMo,1:12:25,Ep 133- Market Myths and Finding an Edge ft. Victor Niederhoffer with Srivatsan Prakash.md,40103,NotebookLM YouTube transcript import,
4,saved,eze3kSwaz44,Ep 147 - An Education from a Speculator: Interview with Legendary Victor Niederhoffer,https://www.youtube.com/watch?v=eze3kSwaz44,56:10,Ep 147 - An Education from a Speculator- Interview with Legendary Victor Niederhoffer.md,32748,NotebookLM YouTube transcript import,
5,saved,Q-tEFwZRop8,Victor Niederhoffer 1998 3/8 (Korean sub),https://www.youtube.com/watch?v=Q-tEFwZRop8,10:02,Victor Niederhoffer 1998 3-8 (Korean sub).md,1349,NotebookLM YouTube transcript import,
6,saved,SZHshj_WwvE,"Bitcoin Prediction, Ethereum undervalued, daily Market Web 2020/12/17",https://www.youtube.com/watch?v=SZHshj_WwvE,1:16:57,"Bitcoin Prediction, Ethereum undervalued, daily Market Web 2020-12-17.md",51518,NotebookLM YouTube transcript import,
7,saved,DKYF01aFtRE,Niederhoffer Sennett Daily Market Web 2021/01/04,https://www.youtube.com/watch?v=DKYF01aFtRE,21:27,Niederhoffer Sennett Daily Market Web 2021-01-04.md,9963,NotebookLM YouTube transcript import,
8,saved,SCgH63lch14,"Transition day today, S&P 4200 is next, but what's coming after? The trial, bonds & Sogi. 2021/04/19",https://www.youtube.com/watch?v=SCgH63lch14,16:50,"Transition day today, S&P 4200 is next, but what's coming after- The trial, bonds & Sogi. 2021-04-19.md",9345,NotebookLM YouTube transcript import,
9,saved,NXCRJMETC1o,"After a small down day today, is the bullish run going to continue? 2021/04/06",https://www.youtube.com/watch?v=NXCRJMETC1o,37:11,"After a small down day today, is the bullish run going to continue- 2021-04-06.md",22567,NotebookLM YouTube transcript import,
10,saved,iifjhEp_2B4,"Potential bearish setup on major equity indexes, Bitcoin & Ethereum update & levels 05/31/21",https://www.youtube.com/watch?v=iifjhEp_2B4,24:18,"Potential bearish setup on major equity indexes, Bitcoin & Ethereum update & levels 05-31-21.md",17866,NotebookLM YouTube transcript import,
11,saved,F7xjzAn510s,Find out what to expect after such a strong 4 day rally in the markets & baseball fallout 2021/04/05,https://www.youtube.com/watch?v=F7xjzAn510s,23:20,Find out what to expect after such a strong 4 day rally in the markets & baseball fallout 2021-04-05.md,13954,NotebookLM YouTube transcript import,
12,saved,yqPeBzKLR9k,"The bullish streak is broken, but the bullish expectation continues. Bernie Madoff & AMZN 2021/04/14",https://www.youtube.com/watch?v=yqPeBzKLR9k,21:58,"The bullish streak is broken, but the bullish expectation continues. Bernie Madoff & AMZN 2021-04-14.md",12639,NotebookLM YouTube transcript import,
13,saved,1MFGvNOgAn0,Talks of tax increase scared the markets after the largest 12-month S&P500 gain since1936 2021/03/23,https://www.youtube.com/watch?v=1MFGvNOgAn0,13:15,Talks of tax increase scared the markets after the largest 12-month S&P500 gain since1936 2021-03-23.md,7880,NotebookLM YouTube transcript import,
14,saved,CteSgDyQgrY,Niederhoffer Sennett Daily Market Web,https://www.youtube.com/watch?v=CteSgDyQgrY,44:57,Niederhoffer Sennett Daily Market Web.md,26313,NotebookLM YouTube transcript import,
15,saved,ERhKbIlwKfo,Niederhoffer Sennett Daily Market Web 2020/12/14,https://www.youtube.com/watch?v=ERhKbIlwKfo,48:19,Niederhoffer Sennett Daily Market Web 2020-12-14.md,24299,NotebookLM YouTube transcript import,
