index,status,video_id,title,url,duration,output_file,transcript_chars,source,note
1,saved,XsXOLZ9U7jI,In Pursuit of the Perfect Porfolio: William F. Sharpe,https://www.youtube.com/watch?v=XsXOLZ9U7jI,49:39,In Pursuit of the Perfect Porfolio- William F. Sharpe.md,38126,NotebookLM YouTube transcript import,
2,saved,pGIzygsvqck,There Are No Shortcuts in Investing: Nobel Laureate William Sharpe,https://www.youtube.com/watch?v=pGIzygsvqck,1:35:15,There Are No Shortcuts in Investing- Nobel Laureate William Sharpe.md,76611,NotebookLM YouTube transcript import,
3,saved,PfVaOn9W3mo,Masters of Finance: William F. Sharpe,https://www.youtube.com/watch?v=PfVaOn9W3mo,25:17,Masters of Finance- William F. Sharpe.md,20610,NotebookLM YouTube transcript import,
4,saved,E-f7ZebbCQU,RISE Lecture Series -- Nobel Laureate William F. Sharpe (Stanford University),https://www.youtube.com/watch?v=E-f7ZebbCQU,1:11:59,RISE Lecture Series -- Nobel Laureate William F. Sharpe (Stanford University).md,51109,NotebookLM YouTube transcript import,
5,saved,-oqCplqRspY,Interview: William Sharpe,https://www.youtube.com/watch?v=-oqCplqRspY,13:59,Interview- William Sharpe.md,11495,NotebookLM YouTube transcript import,
6,saved,sKVqmqLQe38,EFMA 2011 Keynote Address - Professor William F. Sharpe,https://www.youtube.com/watch?v=sKVqmqLQe38,51:29,EFMA 2011 Keynote Address - Professor William F. Sharpe.md,40336,NotebookLM YouTube transcript import,
7,saved,hLc1TmACXgA,William F  Sharpe   Interview,https://www.youtube.com/watch?v=hLc1TmACXgA,33:08,William F Sharpe Interview.md,25370,NotebookLM YouTube transcript import,
8,saved,4L2hF-p0hRE,2015 Wharton-Jacobs Levy Prize: William Sharpe,https://www.youtube.com/watch?v=4L2hF-p0hRE,40:25,2015 Wharton-Jacobs Levy Prize- William Sharpe.md,29969,NotebookLM YouTube transcript import,
9,notebooklm_import_error,KXIaHED-DIY,William Sharpe Iseo Summer School 20 giugno 2013,https://www.youtube.com/watch?v=KXIaHED-DIY,1:18:21,,,,"NotebookLM rejected the YouTube source after repeated standard, short, grouped, and isolated imports."
10,saved,DkIstHOuY_E,Lecture with prof William Sharpe Iseo Summer School 20 giugno 2013,https://www.youtube.com/watch?v=DkIstHOuY_E,38:27,Lecture with prof William Sharpe Iseo Summer School 20 giugno 2013.md,34788,NotebookLM YouTube transcript import,
